"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNORRSHJOMMCDEFKID00611988";3;2018;4;1;82;28000;9333,33;1;793;2;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;3;1;2;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;722
"TQRMNORWPHMMKSCDEHGHJ00597191";3;2018;20;1;78;0;0;1;0;4;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;120
"TQRMNOSXUHJLKTCDEIIAD00615704";3;2018;32;1;2;69000;34500;1;1962;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;1442
"TQRMNOQURHKNKMCDEGJBF00619035";3;2018;13;1;14;20700;4140;1;432;2;2;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;5;2;3;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;446
"TQRMNOQPQHKMLRCDEHJGH00620102";3;2018;23;1;66;18000;9000;1;243;2;1;2;0;1;2;2;2;0;2;0;3;"";4;"ELECTRICO";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;242
"TQRMNOPTQHMMKQCDEIHJF00620863";3;2018;31;1;94;22000;11000;1;102;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;98
"TQRMNORVXHMLKTCDEHLEH00597574";3;2018;25;2;46;0;0;1;0;4;1;2;0;1;1;2;2;0;2;0;6;"";2;"";1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;138
"TQRMNOSVWHKMLQCDEIJAH00621573";3;2018;33;1;6;71300;5484,62;1;2396;3;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;13;3;10;1;"";3;2;"";6;2;2;1;"";1;2;2;2;2;2;2;2;0;3;6;10;0;863
"TQRMNOPPSHMOLPCDEFLID00595347";3;2018;5;1;82;53700;4130,77;1;382;5;4;1;1;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;13;4;9;1;"";5;2;"";4;2;1;1;"";1;1;1;2;2;2;2;1;0;3;4;5;0;338
"TQRMNOPSTHKNOQCDEIIAD00621201";3;2018;32;1;2;19500;19500;1;1332;4;1;1;1;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;2;"";4;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;96;0;0;0;936
"TQRMNOQPSHLNLLCDEFPCH00612828";3;2018;9;1;26;0;0;1;0;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;143
"TQRMNOQSVHMMLPCDEIGED00598424";3;2018;30;1;42;10000;5000;1;206;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;147
"TQRMNORPVHJMRLCDEIJAH00615781";3;2018;33;1;6;20600;6866,67;1;874;4;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;622
"TQRMNOTUUHJNNPCDEIIAD00615469";3;2018;32;1;2;40500;40500;1;2601;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;1919
"TQRMNOQXYHJMOLCDEIJAH00616103";3;2018;33;1;6;34000;17000;1;1359;1;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";4;2;"";2;1;1;2;"";1;1;1;2;2;2;2;1;0;2;0;0;0;1092
"TQRMNOQXUHLKKNCDEHJGH00591835";3;2018;23;1;66;90000;22500;1;227;5;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;2;2;1;"";5;1;"";1;1;1;1;"";1;1;1;1;2;2;2;96;0;1;2;0;0;221
"TQRMNOPVRHKOLPCDEHPJB00620588";3;2018;29;1;90;31000;6200;1;377;2;2;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;1;"";2;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;0;1;4;0;0;364
