CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNOQQXHJLKSCDEJHBB00649874;3;2021;41;1;10;38500;5500;1;72;5;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;7;4;3;1;;5;2;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;68
TQRMNOPRWHKLLOCDEJHBB00649875;3;2021;41;1;10;280000;140000;1;56;5;1;2;0;1;2;2;2;0;2;0;8;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;0;2;1;;3;1;;7;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;52
TQRMNORSQHJLKQCDEJHBB00649877;3;2021;41;1;10;262600;52520;1;122;4;4;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;1;2;2;1;2;1;1;1;1;1;1;2;2;5;0;5;1;;4;1;;2;1;1;1;;1;1;1;2;2;1;2;1;2;4;0;0;0;105
TQRMNORSRHJLKQCDEJHBB00649878;3;2021;41;1;10;43000;21500;1;103;4;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;4;1;;4;1;1;1;;1;1;1;2;2;1;2;1;0;2;0;0;0;96
TQRMNORQTHKLLSCDEJHBB00649881;3;2021;41;1;10;0;0;1;0;3;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;63
TQRMNOQSWHJKKOCDEJHBB00649882;3;2021;41;1;10;40000;40000;1;18;3;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;1;2;2;2;1;0;1;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;19
TQRMNORRYHKLLSCDEJHBB00649884;3;2021;41;1;10;25000;8333,33;1;82;2;2;2;0;1;2;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;1;;2;1;;1;1;1;1;;1;1;1;1;1;2;2;2;0;1;0;0;0;79
TQRMNOPUWHKLLNCDEJHBB00649885;3;2021;41;1;10;92500;23125;1;118;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;1;;2;1;;2;1;1;1;;1;1;1;2;2;2;2;1;2;3;0;0;0;105
TQRMNOSQRHKKLLCDEJHBB00649886;3;2021;41;1;10;25000;12500;1;37;2;2;2;0;1;2;2;2;0;2;0;4;;1;;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;41
TQRMNOPSYHKMKOCDEJHBB00649888;3;2021;41;1;10;30000;30000;1;47;3;1;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;3;2;;7;1;1;1;;1;1;2;2;2;2;2;1;0;98;0;0;0;43
TQRMNOPTRHKMKOCDEJHBB00649889;3;2021;41;1;10;60000;60000;1;90;2;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;1;0;1;1;;2;2;;4;2;1;1;;1;1;2;2;2;2;2;1;0;98;0;0;0;80
TQRMNORVQHKMKOCDEJHBB00649891;3;2021;41;1;10;0;0;1;0;5;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;4;1;;3;1;1;1;;1;1;1;2;2;2;2;1;2;98;0;0;0;54
TQRMNOQUWHJLKNCDEJHBB00649892;3;2021;41;1;10;62000;12400;1;88;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;5;1;4;1;;4;2;;2;1;1;1;;1;1;1;2;2;1;2;1;0;98;0;0;0;81
TQRMNOPXPHJLKOCDEJHBB00649894;3;2021;41;1;10;113000;56500;1;78;6;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;6;2;;7;2;1;1;;1;1;1;2;2;2;2;2;0;98;0;0;0;68
TQRMNOPXXHKLLUCDEJHBB00649895;3;2021;41;1;10;165000;82500;1;119;3;1;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;3;1;;7;2;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;106
TQRMNOPRWHJKKSCDEJHBB00649897;3;2021;41;1;10;52000;10400;1;70;3;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;5;1;4;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;2;3;4;5;0;71
TQRMNOPRXHJKKSCDEJHBB00649898;3;2021;41;1;10;50000;12500;1;59;3;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;4;0;4;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;3;0;0;0;56
TQRMNOQSSHJLLMCDEJHBB00649899;3;2021;41;1;10;47000;23500;1;93;4;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;4;2;;7;2;1;1;;1;1;1;2;2;2;2;1;2;98;0;0;0;88
TQRMNOPUQHKKLOCDEJHBB00649901;3;2021;41;1;10;138600;69300;1;39;3;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2;2;2;0;2;1;;3;1;;3;1;1;1;;1;1;1;2;2;2;2;1;0;2;0;0;0;38
TQRMNOQSUHKKLOCDEJHBB00649902;3;2021;41;1;10;15000;5000;1;37;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;2;2;2;2;3;0;3;1;;3;1;;3;1;1;1;;1;1;1;2;2;2;2;1;0;2;3;0;0;37
TQRMNOPTWHKLLRCDEJHBB00649904;3;2021;41;1;10;47000;15666,67;1;93;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;3;0;3;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;0;98;0;0;0;84
TQRMNOPTXHKLLRCDEJHBB00649905;3;2021;41;1;10;100300;25075;1;116;2;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;2;4;0;4;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;101
TQRMNOTUSHKLLRCDEJHBB00649907;3;2021;41;1;10;21000;4200;1;118;2;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;1;1;2;2;2;2;1;2;1;2;1;2;2;2;2;5;0;5;1;;2;2;;7;2;1;1;;1;1;1;2;2;2;2;1;2;3;0;0;0;119
TQRMNOSTTHKLLRCDEJHBB00649908;3;2021;41;1;10;6200;1033,33;1;132;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;2;1;1;2;2;2;6;1;5;1;;4;2;;1;1;1;1;;1;1;1;2;2;2;2;1;4;98;0;0;0;149
TQRMNOPUPHKLLQCDEJHBB00649910;3;2021;41;1;10;55000;55000;1;59;2;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;2;1;;4;1;1;1;;1;1;1;2;2;2;2;1;0;98;0;0;0;49
TQRMNOPYWHKKLOCDEJHBB00649911;3;2021;41;1;10;138000;46000;1;48;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;2;1;1;2;2;2;2;3;0;3;1;;4;1;;2;1;1;1;;1;1;1;2;2;2;2;1;0;2;3;0;0;46
TQRMNORWTHJKKSCDEJHBB00649912;3;2021;41;1;10;72000;72000;1;50;6;1;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;6;2;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;47
TQRMNOPRVHJKKSCDEJHBB00649914;3;2021;41;1;10;33000;11000;1;41;3;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;3;0;0;0;41
TQRMNORWWHKLLUCDEJHBB00649916;3;2021;41;1;10;25000;12500;1;91;1;1;2;0;2;2;2;0;0;0;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;;1;2;;2;2;1;2;;1;1;2;3;2;2;2;1;2;98;0;0;0;91
TQRMNOPTXHKMKPCDEJHBB00649917;3;2021;41;1;10;30000;30000;1;64;2;1;2;0;1;2;2;2;0;2;0;4;;2;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;2;2;1;0;1;1;;2;1;;1;1;1;1;;1;2;1;2;2;2;2;1;0;98;0;0;0;58
