"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOPPXHKKKUCDEJMDB00603846";3;2016;46;1;30;20000;20000;1;500;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;320
"TQRMNOSRRHKKKTCDEJMDB00604200";3;2016;46;1;30;9200;4600;1;460;3;1;2;0;1;1;1;2;0;2;0;3;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;379
"TQRMNOQYUHKMLMCDEKOHJ00604999";3;2016;58;1;78;0;0;1;0;5;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;3;0;0;0;111
"TQRMNOQSQHKLLQCDEJMDB00603907";3;2016;46;1;30;25000;6250;1;478;3;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;4;2;2;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;440
"TQRMNORWTHJLKUCDEKOHJ00642695";3;2016;58;1;78;20000;3333,33;1;123;3;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;6;2;4;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;3;4;0;0;93
"TQRMNORWRHJLKUCDEKOHJ00642703";3;2016;58;1;78;25000;5000;1;109;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;5;1;4;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;93
"TQRMNORWQHJLKUCDEKOHJ00642700";3;2016;58;1;78;6500;6500;1;98;2;1;2;0;1;2;2;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;93
"TQRMNORWUHJLKUCDEKOHJ00642697";3;2016;58;1;78;16800;2800;1;147;3;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;6;0;6;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;93
"TQRMNORSRHKMLPCDEJMDB00604110";3;2016;46;1;30;0;0;1;0;5;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;5;0;5;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;335
"TQRMNORSSHKMLPCDEJMDB00604113";3;2016;46;1;30;10000;3333,33;1;377;1;1;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;3;1;2;1;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;335
"TQSMNORSSHKMLPCDEJMDB00604118";3;2016;46;1;30;8000;8000;1;379;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;"";2;3;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;335
"TQTMNORSSHKMLPCDEJMDB00604107";3;2016;46;1;30;16000;8000;1;386;1;1;2;0;1;1;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;335
"TQRMNORTXHKOKQCDEJMDB00603898";3;2016;46;1;30;15000;5000;1;177;2;2;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;3;0;3;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;164
"TQRMNORUPHKOKQCDEJMDB00603911";3;2016;46;1;30;13200;3300;1;193;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;3;0;0;0;164
"TQRMNOQRVHKMLNCDEJMDB00604064";3;2016;46;1;30;4500;4500;1;527;3;1;2;0;1;2;1;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;466
"TQRMNOQRXHKMLNCDEJMDB00604280";3;2016;46;1;30;0;0;1;0;5;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;466
"TQRMNORRPHKOKPCDEJMDB00642313";3;2016;46;1;30;11800;5900;1;204;2;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;187
"TQRMNOPRWHKLMSCDEJMDB00642253";3;2016;46;1;30;11600;5800;1;293;3;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";4;2;1;1;"";1;1;1;1;1;2;2;2;0;1;0;0;0;219
"TQRMNOPSPHKLMSCDEJMDB00642280";3;2016;46;1;30;11000;11000;1;296;4;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;96;0;0;0;219
"TQRMNOQTXHKKKRCDEJMDB00603877";3;2016;46;1;30;18000;18000;1;467;3;1;2;0;1;1;1;2;0;2;0;2;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;321
"TQRMNOPUTHKOKPCDEJMDB00604125";3;2016;46;1;30;6000;1500;1;166;2;2;2;0;1;2;2;2;0;2;0;7;"";2;"";4;2;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;4;2;2;1;"";2;2;"";4;2;1;1;"";2;0;0;0;2;2;2;1;0;98;0;0;0;187
"TQRMNORQUHKNKPCDEJMDB00642316";3;2016;46;1;30;8000;8000;1;209;3;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;1;1;2;2;2;2;1;0;1;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;97;0;0;0;174
"TQRMNOQSXHKLMOCDEJMDB00603876";3;2016;46;1;30;9700;4850;1;397;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;2;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;323
"TQRMNOQSYHKLMOCDEJMDB00604116";3;2016;46;1;30;11600;5800;1;373;5;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;323
"TQSMNOQTPHKLMOCDEJMDB00604117";3;2016;46;1;30;11850;3950;1;378;2;1;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;"";2;2;"";4;2;1;1;"";1;2;1;1;2;2;2;1;0;98;0;0;0;323
"TQRMNORYVHKLMOCDEJMDB00604127";3;2016;46;1;30;20700;4140;1;423;4;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;1;4;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;0;98;0;0;0;323
"TQRMNOQSSHKLLQCDEJMDB00603908";3;2016;46;1;30;4000;1333,33;1;505;2;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;440
"TQRMNORXSHKLLQCDEJMDB00604208";3;2016;46;1;30;27500;13750;1;513;3;1;2;0;1;1;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;440
"TQRMNOPTVHKLMPCDEJMDB00604121";3;2016;46;1;30;0;0;1;0;2;2;2;0;1;1;2;2;0;2;0;2;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;3;3;1;"";2;1;"";2;2;1;1;"";1;1;1;1;2;2;2;1;0;5;0;0;0;365
"TQRMNOPTYHKLMPCDEJMDB00603882";3;2016;46;1;30;0;0;1;0;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";2;1;"";2;2;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;365
"TQRMNOPTWHKLMPCDEJMDB00603854";3;2016;46;1;30;0;0;1;0;3;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;0;5;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;1;4;0;0;365
"TQRMNOPYVHJLKSCDEJMDB00642318";3;2016;46;1;30;15500;7750;1;517;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;388
"TQRMNOPYYHJLKSCDEJMDB00642304";3;2016;46;1;30;0;0;1;0;2;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";2;1;"";1;2;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;388
"TQRMNOQPPHJLKSCDEJMDB00642232";3;2016;46;1;30;11000;5500;1;517;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";2;2;1;1;"";1;1;1;1;2;2;2;2;0;97;0;0;0;388
"TQRMNOPYXHJLKSCDEJMDB00642208";3;2016;46;1;30;0;0;1;0;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;388
"TQRMNORTYHKLMLCDEJMDB00604040";3;2016;46;1;30;17000;5666,67;1;378;2;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;268
"TQRMNORUPHKLMLCDEJMDB00604175";3;2016;46;1;30;36300;7260;1;374;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;5;1;4;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;96;0;0;0;268
"TQRMNORWSHKKLLCDEJMDB00603964";3;2016;46;1;30;10000;10000;1;414;1;1;2;0;1;1;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;2;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;340
"TQRMNOQUXHKLLTCDEJLCH00599790";3;2016;45;1;26;0;0;1;0;2;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;0;2;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;109
"TQSMNOPQYHKLLPCDEJMDB00604286";3;2016;46;1;30;14700;2940;1;992;2;2;2;0;1;1;2;2;0;2;0;2;"";2;"";1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;3;1;"";2;2;"";4;2;1;1;"";1;1;2;1;2;1;2;1;0;2;0;0;0;801
"TQRMNOSPWHKLLTCDEJLCH00599797";3;2016;45;1;26;26300;2390,91;1;84;4;4;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;1;1;2;2;2;2;11;4;7;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;109
"TQRMNOSPXHKLLTCDEJLCH00599758";3;2016;45;1;26;99000;12375;1;120;3;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;1;2;2;8;1;7;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;4;0;0;0;109
