CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNOSUXHKMKRCDEHIBB00790060;3;2022;22;1;10;42000;14000;1;153;4;3;2;0;1;2;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;153
TQRMNOQTRHKOLRCDEHPJB00790816;3;2022;29;1;90;64000;32000;1;468;2;1;2;0;1;2;2;2;0;2;0;1;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;2;1;;4;2;1;1;;1;2;1;2;2;2;2;1;0;98;0;0;0;402
TQRMNOQTSHKOLSCDEHPJB00790872;3;2022;29;1;90;135000;135000;1;353;2;1;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;1;;2;1;;4;1;1;1;;1;1;1;2;1;1;2;97;0;1;0;0;0;327
TQRMNOQTXHKOLSCDEHPJB00790858;3;2022;29;1;90;202500;40500;1;537;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;1;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;5;1;4;1;;3;2;;4;2;1;1;;1;1;1;2;1;1;2;1;0;98;0;0;0;427
TQRMNOPVSHKKKSCDEIMBF00792564;3;2022;36;1;14;0;0;1;0;3;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;149
TQRMNOQWQHKMLNCDEIMBF00792561;3;2022;36;1;14;150000;150000;1;144;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;1;0;1;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;132
TQRMNOQWRHKMLNCDEIMBF00792562;3;2022;36;1;14;270000;67500;1;245;5;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;4;0;4;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;4;0;0;0;187
TQRMNOQVPHKOMSCDEIJAH00791704;3;2022;33;2;6;36000;36000;1;1259;1;1;2;0;2;2;2;0;0;0;0;6;;1;;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;4;1;;4;1;1;2;;1;1;1;1;2;2;2;1;0;98;0;0;0;1098
TQRMNOSXPHKOKMCDEGOIH00789652;3;2022;18;1;86;52000;17333,33;1;264;1;1;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;1;;1;1;;4;2;1;1;;1;1;1;2;2;2;2;1;0;98;0;0;0;251
TQRMNOSQVHLKLPCDEIJAH00791698;3;2022;33;1;6;0;0;1;0;2;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;2;1;;3;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;938
TQRMNOPSRHKMLNCDEHIBB00789993;3;2022;22;1;10;217500;54375;1;114;3;2;2;0;1;2;2;2;0;2;0;4;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;4;0;4;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;1;2;98;0;0;0;99
TQRMNOPWSHKOLQCDEIMBF00792672;3;2022;36;1;14;101000;16833,33;1;152;3;3;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;6;1;5;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;1;3;98;0;0;0;130
TQRMNOQUUHKMKRCDEGIBJ00788781;3;2022;12;1;18;117000;58500;1;192;3;2;2;0;2;2;2;0;0;0;0;2;;2;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;2;97;0;0;0;197
TQRMNORYQHKMKRCDEGIBJ00788820;3;2022;12;1;18;77000;77000;1;228;3;1;2;0;2;2;2;0;0;0;0;2;;2;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;227
TQRMNOPSWHKNNOCDEIJAH00791564;3;2022;33;1;6;72000;36000;1;636;2;1;2;0;2;2;2;0;0;0;0;1;;1;;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;455
TQRMNOQWPHKONPCDEIJAH00791767;3;2022;33;1;6;53000;53000;1;858;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;;2;1;;3;2;1;2;;1;1;1;2;2;2;2;1;0;98;0;0;0;777
