"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V3";"V4";"V6";"V7";"V8";"V9";"V10";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA";"V2_01";"V21_01";"V22_01";"V2_02";"V21_02";"V22_02";"V2_03";"V21_03";"V22_03";"V5_01";"V5_02";"V5_03";"V11_01";"V11_02"
"TQRMNOPPXHMKKPCDEIJAH00869122";3;2024;33;1;6;1800000;600000;1;3975;3;2;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;1;2;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;2351;0;2;2;0;2;2;0;2;2;2;2;2;1;2
"TQRMNOQYQHLKPLCDEIJAH00807824";3;2024;33;1;6;0;0;1;0;4;3;1;1;1;2;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;96;0;0;0;1273;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQQSHJLKTCDEGLDF00869123";3;2024;15;1;34;995000;331666,67;1;242;4;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";4;1;"";4;1;1;1;"";1;1;1;2;2;2;2;1;0;98;0;0;0;187;2;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNOQVSHKMKRCDEGLDF00869124";3;2024;15;1;34;673000;224333,33;1;358;2;2;2;0;1;1;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;2;"";2;1;"";2;2;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;326;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNORVXHKMKSCDEGLDF00869125";3;2024;15;1;34;1425000;356250;1;165;3;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;4;0;3;0;0;0;123;1;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNOQYVHLLKTCDEGLDF00805159";3;2024;15;1;34;950000;475000;1;154;2;1;2;0;1;1;2;2;0;2;0;2;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";2;1;"";2;2;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;131;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQUPHLOKUCDEGLDF00805165";3;2024;15;1;34;807000;403500;1;132;3;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;2;2;2;2;0;2;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;128;1;2;2;2;2;2;1;2;1;2;2;2;2;2
"TQRMNORPPHKMLLCDEGLDF00869126";3;2024;15;1;34;300000;300000;1;159;1;1;2;0;2;2;2;0;0;0;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";1;1;"";3;2;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;149;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQPPHKMLMCDEGLDF00869127";3;2024;15;1;34;0;0;1;0;3;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;3;4;1;2;0;0;259;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQSMNOUPYHKOLOCDEGLDF00869128";3;2024;15;1;34;80000;80000;1;341;1;1;2;0;2;2;2;0;0;0;0;6;"";2;"";2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";1;2;"";4;2;1;1;"";1;2;1;1;2;2;2;1;0;98;0;0;0;352;0;2;2;0;2;2;0;2;2;2;2;2;2;2
