"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V3";"V4";"V6";"V7";"V8";"V9";"V10";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA";"V2_01";"V21_01";"V22_01";"V2_02";"V21_02";"V22_02";"V2_03";"V21_03";"V22_03";"V5_01";"V5_02";"V5_03";"V11_01";"V11_02"
"TQRMNOQVWHJMLLCDEHLEH00865819";3;2024;25;1;46;850000;170000;1;186;3;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;5;2;3;1;"";3;1;"";4;2;1;1;"";1;1;1;1;2;2;2;2;1;98;0;0;0;156;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOSPSHLOLNCDEHLEH00806143";3;2024;25;1;46;590000;147500;1;239;3;3;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;1;"";3;1;"";1;2;1;1;"";1;1;1;1;1;2;2;2;4;1;0;0;0;207;1;2;2;2;2;2;2;2;2;1;2;2;2;2
"TQRMNOSTQHJOLNCDEHLEH00865831";3;2024;25;1;46;492000;246000;1;203;2;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;166;1;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNOQYPHKMLLCDEHNHB00866877";3;2024;27;1;70;1057000;211400;1;473;6;3;1;1;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;1;"";6;1;"";1;1;1;1;"";1;1;1;2;2;2;2;96;0;98;0;0;0;411;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNORSWHJLLMCDEHNHB00865974";3;2024;27;1;70;0;0;1;0;5;3;1;1;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;1;2;2;2;2;1;2;1;2;1;2;2;2;4;0;4;1;"";5;1;"";1;1;1;1;"";1;1;2;2;2;2;2;2;0;1;0;0;0;475;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOTPYHJOLNCDEHNHB00865812";3;2024;27;1;70;1350000;1350000;1;323;4;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;2;"";4;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;297;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPPUHJOLOCDEHNHB00866630";3;2024;27;1;70;617500;123500;1;400;3;2;2;0;1;2;2;2;0;2;0;6;"";2;"";3;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;2;3;1;"";3;2;"";7;2;2;1;"";1;2;1;1;2;2;2;1;2;98;0;0;0;390;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOPVWHJMLRCDEHNHB00866671";3;2024;27;1;70;1085580;361860;1;351;1;1;2;0;2;2;2;0;0;0;0;5;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";1;1;"";7;2;1;1;"";1;1;1;2;2;2;2;2;0;98;0;0;0;380;1;2;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOPWSHMLLTCDEHNHB00811343";3;2024;27;1;70;759483;189870,75;1;477;5;2;2;0;1;1;1;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;4;1;3;1;"";5;1;"";1;1;1;1;"";1;1;1;2;2;2;2;1;2;4;0;0;0;424;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOPTQHLMLRCDEHNHB00806398";3;2024;27;1;70;431160;431160;1;322;3;1;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;1;"";2;1;1;1;"";1;1;1;2;2;2;2;1;0;98;0;0;0;317;1;2;2;1;2;2;2;2;2;2;2;2;2;2
"TQRMNOPRVHMMLOCDEFIAH00808533";3;2024;2;1;6;1550000;516666,67;1;1475;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;1;2;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;846;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORUQHMMLOCDEFIAH00808571";3;2024;2;2;6;350000;350000;1;478;2;1;2;0;1;2;1;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;358;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQVTHLMLPCDEFIAH00866878";3;2024;2;1;6;350000;350000;1;456;2;1;2;0;2;2;2;0;0;0;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;2;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;341;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORWYHMMLPCDEFIAH00851576";3;2024;2;1;6;900000;450000;1;1291;3;1;1;1;2;2;2;0;0;0;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;2;0;2;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;905;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORXRHMMLPCDEFIAH00808534";3;2024;2;1;6;3100000;775000;1;1392;3;2;2;0;1;1;1;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;1;"";3;1;"";5;1;1;1;"";1;1;1;1;2;2;2;1;2;3;4;0;0;509;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOSSSHLOLQCDEFIAH00803427";3;2024;2;1;6;1050000;262500;1;2061;4;2;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1;"";4;1;"";1;2;1;1;"";1;1;1;2;2;2;2;1;2;3;0;0;0;1267;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQSXHKKSMCDEIJAH00866879";3;2024;33;1;6;5300000;883333,33;1;2936;4;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;0;6;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;96;0;98;0;0;0;2625;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQWUHJLLSCDEGJBF00865641";3;2024;13;1;14;800000;200000;1;801;4;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;2;2;4;0;4;1;"";4;1;"";1;1;1;1;"";1;1;1;2;2;2;2;1;0;98;0;0;0;754;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPSWHLMLUCDEGJBF00809924";3;2024;13;1;14;400000;400000;1;643;5;1;2;0;1;2;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";5;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;590;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPSTHJNLUCDEGJBF00865643";3;2024;13;1;14;581733;193911;1;725;4;2;1;1;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;1;2;2;2;2;1;1;2;2;1;2;2;2;2;3;1;2;1;"";4;2;"";4;2;1;1;"";1;1;1;2;2;2;2;2;0;1;0;0;0;653;1;2;1;2;2;2;2;2;2;1;2;2;2;2
"TQRMNOSWWHMNLPCDEHMHF00811225";3;2024;26;1;74;640000;213333,33;1;133;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;2;"";2;1;"";1;1;1;1;"";1;2;1;1;2;2;2;3;0;98;0;0;0;118;1;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNOQTRHKOLMCDEGGFB00866880";3;2024;10;1;50;0;0;1;0;2;1;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;5;3;2;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;681;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQTUHKOLMCDEGGFB00866881";3;2024;10;1;50;0;0;1;0;3;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;567;1;2;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOQRSHJMLQCDEGGFB00866827";3;2024;10;1;50;600000;600000;1;351;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;1;0;1;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;97;0;97;0;0;0;416;1;1;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOSPUHKKKRCDEHLEH00866882";3;2024;25;1;46;350000;350000;1;105;1;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;2;"";1;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;94;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQTQHKOKSCDEHLEH00866883";3;2024;25;1;46;0;0;1;0;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;0;4;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;3;4;0;0;0;202;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORRYHMMKSCDEHLEH00811103";3;2024;25;1;46;865000;288333,33;1;162;4;3;2;0;1;1;1;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;3;0;3;1;"";4;1;"";1;1;1;1;"";1;1;1;2;2;2;2;1;0;2;3;0;0;158;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORWPHMMKSCDEHLEH00811120";3;2024;25;1;46;585000;292500;1;210;3;1;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";3;1;"";2;1;1;1;"";1;1;1;2;2;2;2;2;0;1;0;0;0;149;2;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNORTQHJKKUCDEGGFB00866764";3;2024;10;1;50;0;0;1;0;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;3;0;3;2;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;96;0;0;0;701;1;2;2;1;2;2;2;2;2;2;2;2;2;2
"TQRMNOPPVHLMLLCDEGGFB00804518";3;2024;10;1;50;0;0;1;0;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;572;2;2;2;1;1;1;2;2;2;2;2;2;2;2
"TQRMNOUPXHJKLNCDEFLID00866692";3;2024;5;1;82;0;0;1;0;2;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1;"";2;1;"";3;1;1;1;"";1;1;1;1;2;2;2;96;0;1;2;0;0;441;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOSQSHKOLPCDEFLID00866884";3;2024;5;1;82;900000;900000;1;440;2;1;2;0;1;1;1;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;373;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPSWHKOLQCDEFLID00866885";3;2024;5;1;82;0;0;1;0;4;3;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1;"";4;2;"";4;2;1;1;"";1;1;1;3;2;2;2;1;2;4;0;0;0;279;2;2;2;1;2;1;2;2;2;2;2;2;2;2
"TQRMNOPWQHKMLRCDEFLID00866886";3;2024;5;1;82;1270000;635000;1;847;2;2;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;374;1;1;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOSTQHKMLRCDEFLID00866887";3;2024;5;1;82;0;0;1;0;3;3;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;2;3;0;0;379;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORUSHLLLTCDEFLID00803825";3;2024;5;1;82;0;0;1;0;6;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;3;1;2;1;"";6;1;"";2;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;767;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQQTHMOLQCDEFLID00809087";3;2024;5;1;82;300000;300000;1;504;2;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;402;1;1;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOTTTHMMLRCDEFLID00809088";3;2024;5;1;82;180000;180000;1;472;3;1;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;1;0;1;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;355;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOTTWHMMLRCDEFLID00809089";3;2024;5;1;82;0;0;1;0;3;2;2;0;1;2;2;2;0;2;0;6;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;2;"";3;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;354;0;2;2;0;2;2;0;2;2;1;2;2;2;2
"TQRMNOUPQHLOLRCDEIJAH00812487";3;2024;33;1;6;117000;117000;1;1321;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;1;"";2;1;1;2;"";1;1;2;3;2;2;2;1;0;98;0;0;0;1165;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOTQYHKOMTCDEIJAH00866888";3;2024;33;1;6;1060000;212000;1;3251;4;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;5;1;4;2;"";4;1;"";3;1;1;2;"";1;1;1;1;2;1;2;2;0;1;3;4;5;1889;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPPVHKNNOCDEIJAH00866889";3;2024;33;1;6;379000;379000;1;411;3;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;2;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;365;1;1;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOQVQHJMQLCDEIJAH00866890";3;2024;33;1;6;917000;458500;1;2469;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;"";2;1;"";2;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;1509;1;1;1;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOSSXHLOPOCDEIJAH00866891";3;2024;33;1;6;214500;214500;1;1958;2;1;2;0;1;2;2;2;0;2;0;2;"";1;"";1;1;2;2;2;2;1;2;2;2;1;1;1;2;2;2;2;2;2;1;0;1;1;"";2;1;"";4;2;1;2;"";1;1;1;3;2;2;2;1;0;98;0;0;0;1426;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORSYHLMPPCDEIJAH00807444";3;2024;33;1;6;0;0;1;0;4;3;2;0;1;2;2;2;0;1;1;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;0;3;1;"";4;1;"";3;1;1;1;"";1;1;1;3;2;1;2;1;2;3;0;0;0;1741;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOPPTHLLPQCDEIJAH00807441";3;2024;33;1;6;450000;225000;1;2100;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;1478;1;1;2;2;2;2;1;1;2;2;2;2;2;2
"TQRMNOPWYHJMQNCDEIJAH00866180";3;2024;33;1;6;556000;185333,33;1;2579;3;2;2;0;1;1;1;2;0;2;0;6;"";1;"";1;1;1;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;3;0;3;1;"";3;1;"";2;1;1;1;"";1;1;1;1;2;1;2;1;2;98;98;0;0;1809;2;2;2;2;2;2;1;2;2;2;2;2;2;2
"TQRMNOPVTHLLQLCDEIJAH00807365";3;2024;33;1;6;850000;283333,33;1;3658;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;1;2;1;2;98;0;0;0;1878;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQVSHMKKRCDEFKID00851784";3;2024;4;1;82;2400000;800000;1;2751;2;1;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;1;2;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;1644;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPUQHKOKTCDEFKID00866892";3;2024;4;1;82;0;0;1;0;3;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;4;2;2;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;1;98;0;0;0;1009;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNORPUHKOLTCDEHPJB00866893";3;2024;29;1;90;0;0;1;0;3;3;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;5;0;5;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;2;1;98;0;0;0;275;2;2;2;2;2;2;1;1;1;2;2;2;2;2
"TQRMNOPSQHKOLOCDEFKID00866894";3;2024;4;1;82;2250000;1125000;1;976;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;2;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;2;0;0;0;654;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQWPHMOKOCDEIHJF00811854";3;2024;31;1;94;500000;250000;1;112;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;107;1;2;2;1;2;2;2;2;2;2;2;2;2;2
"TQRMNOSSYHKNLTCDEFKID00866895";3;2024;4;1;82;900000;450000;1;679;4;1;2;0;1;1;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;1;"";4;1;"";4;1;1;1;"";1;1;1;2;2;2;2;1;2;98;0;0;0;578;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQSTHKMLMCDEIJAH00866896";3;2024;33;1;6;1250000;312500;1;4679;6;2;2;0;1;1;2;2;0;2;0;4;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;2;2;4;2;2;1;"";6;1;"";4;1;1;1;"";1;1;1;2;2;1;2;1;2;98;0;0;0;3218;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPUPHKOLOCDEIJAH00866897";3;2024;33;1;6;798000;199500;1;133;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;4;1;3;1;"";2;2;"";4;1;1;1;"";1;1;1;3;2;2;2;2;0;98;0;0;0;45;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOQQTHKOLOCDEIJAH00866898";3;2024;33;1;6;0;0;1;0;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;6;1;5;1;"";2;2;"";4;1;1;1;"";1;1;1;2;2;2;2;6;0;98;0;0;0;52;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOTVQHLMKUCDEIJAH00807193";3;2024;33;1;6;700000;175000;1;281;2;2;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;4;0;4;1;"";2;2;"";2;1;1;2;"";1;1;2;3;2;2;2;2;0;98;0;0;0;179;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPVQHLMLLCDEIJAH00807194";3;2024;33;1;6;1700000;425000;1;6471;4;1;2;0;2;2;2;0;0;0;0;3;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;1;"";3;1;"";4;1;1;1;"";1;1;1;2;2;2;2;1;2;98;0;0;0;4260;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPSUHMOLNCDEIJAH00812141";3;2024;33;1;6;850000;283333,33;1;12332;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;3;0;3;1;"";4;1;"";3;1;1;2;"";1;1;1;3;2;2;2;1;2;98;0;0;0;5773;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOSYRHJOLTCDEIJAH00861778";3;2024;33;1;6;666000;95142,86;1;5074;3;2;2;0;1;2;2;2;0;2;0;3;"";2;"";1;1;2;2;2;1;1;2;2;2;1;2;1;2;1;2;2;2;2;7;2;5;1;"";3;1;"";4;2;1;1;"";1;1;2;3;2;1;2;1;2;3;4;5;0;3416;0;2;2;0;2;2;0;2;2;1;2;2;1;2
"TQRMNOPYXHLOLNCDEIJAH00812142";3;2024;33;1;6;1695000;565000;1;1168;4;2;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;575;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOSRXHLMLOCDEIJAH00866899";3;2024;33;1;6;0;0;1;0;1;1;2;0;2;2;2;0;0;0;0;2;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";1;1;"";1;1;1;1;"";1;1;1;3;2;2;2;1;0;2;0;0;0;1975;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOPVUHKMLPCDEIJAH00866900";3;2024;33;1;6;250000;125000;1;2380;3;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;0;2;1;"";3;1;"";4;1;1;2;"";1;1;1;2;2;2;2;1;2;98;0;0;0;2142;2;2;2;2;2;2;1;1;1;2;2;2;2;2
"TQRMNOPUVHMONOCDEIIAD00812139";3;2024;32;1;2;0;0;1;0;4;3;2;0;1;2;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;2;98;0;0;0;5264;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOUQRHMONOCDEIIAD00812140";3;2024;32;1;2;0;0;1;0;2;1;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;3129;1;2;2;2;2;2;2;2;2;2;2;2;2;2
"TQRMNOQYXHJLNNCDEIIAD00861779";3;2024;32;1;2;1400000;1400000;1;1673;3;1;2;0;1;1;2;2;0;2;0;2;"";1;"";1;1;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;1223;0;2;2;0;2;2;0;2;2;2;2;2;2;2
"TQRMNOSTUHMONQCDEIIAD00866901";3;2024;32;1;2;2149000;429800;1;5978;4;3;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;1;2;2;1;2;2;1;2;2;2;2;2;5;1;4;2;"";4;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;3794;0;2;2;0;2;2;0;2;2;2;2;2;2;2
