fecha,la_rioja_region,hogares_NBI_TOT,hogares_NBI_HAC,hogares_NBI_VIV,hogares_NBI_SAN,hogares_NBI_ESC,hogares_NBI_SUB,hogares_base,pct_hogares_NBI_TOT,pct_hogares_NBI_HAC,pct_hogares_NBI_VIV,pct_hogares_NBI_SAN,pct_hogares_NBI_ESC,pct_hogares_NBI_SUB
2007-Q1,1. Resto país,396541,316119,46941,53670,0,0,396541,100,79.71912109970974,11.837615782478988,13.534539934079955,0,0
2007-Q1,2. NOA-Resto,61189,46159,6460,17309,0,0,61189,100,75.43676150942163,10.55745313700175,28.287764140613508,0,0
2007-Q1,3. La Rioja,3814,2509,808,563,0,0,3814,100,65.7839538542213,21.18510749868904,14.76140534871526,0,0
2007-Q2,1. Resto país,374421,293479,48216,59145,0,0,374421,100,78.38208861148279,12.877482833494916,15.7963896255819,0,0
2007-Q2,2. NOA-Resto,58289,42455,6357,17605,0,0,58289,100,72.83535486970098,10.906002847878673,30.202954245226373,0,0
2007-Q2,3. La Rioja,4030,3346,150,534,0,0,4030,100,83.0272952853598,3.722084367245657,13.25062034739454,0,0
2008-Q1,1. Resto país,355148,286566,42226,46599,0,0,355148,100,80.6891774696746,11.889691058375664,13.121008706229514,0,0
2008-Q1,2. NOA-Resto,60864,39334,7969,21277,0,0,60864,100,64.62605152471083,13.093125657202945,34.958267613038906,0,0
2008-Q1,3. La Rioja,3192,2596,349,247,0,0,3192,100,81.32832080200501,10.93358395989975,7.738095238095238,0,0
2008-Q2,1. Resto país,331774,265613,48087,44560,0,0,331774,100,80.05841325721727,14.493902475781706,13.430829420026885,0,0
2008-Q2,2. NOA-Resto,61258,40567,9849,19466,0,0,61258,100,66.22318717555258,16.07790002938392,31.777074014822553,0,0
2008-Q2,3. La Rioja,3842,3212,505,125,0,0,3842,100,83.6022904737116,13.144195731389901,3.2535137948984905,0,0
2008-Q3,1. Resto país,346713,283576,48202,40078,0,0,346713,100,81.78983770438374,13.902564945646686,11.559416577976597,0,0
2008-Q3,2. NOA-Resto,66482,42644,11882,19688,0,0,66482,100,64.14367798802684,17.872506843957765,29.614030865497426,0,0
2008-Q3,3. La Rioja,3999,3533,366,137,0,0,3999,100,88.34708677169293,9.152288072018004,3.425856464116029,0,0
2008-Q4,1. Resto país,327613,269880,33672,35935,0,0,327613,100,82.37768342526091,10.277980422022324,10.968734451929564,0,0
2008-Q4,2. NOA-Resto,61902,39963,9190,19932,0,0,61902,100,64.55849568673064,14.846046977480535,32.199282737229815,0,0
2008-Q4,3. La Rioja,3610,3199,136,465,0,0,3610,100,88.61495844875347,3.7673130193905813,12.880886426592797,0,0
2009-Q1,1. Resto país,335485,260795,47448,41981,0,0,335485,100,77.73670953991981,14.14310624916166,12.513525194867134,0,0
2009-Q1,2. NOA-Resto,55654,37265,8377,14681,0,0,55654,100,66.95834980414705,15.051927983613037,26.379056312214754,0,0
2009-Q1,3. La Rioja,3828,3631,102,290,0,0,3828,100,94.85370950888192,2.664576802507837,7.575757575757576,0,0
2009-Q2,1. Resto país,331805,277363,35680,36056,0,0,331805,100,83.59217009990807,10.753303898374044,10.866623468603548,0,0
2009-Q2,2. NOA-Resto,63666,44398,9315,13934,0,0,63666,100,69.7358087519241,14.631043256997456,21.886093048094747,0,0
2009-Q2,3. La Rioja,4262,3939,250,219,0,0,4262,100,92.42139840450493,5.865790708587518,5.138432660722665,0,0
2009-Q3,1. Resto país,325560,283244,27479,31646,0,0,325560,100,87.00208870868657,8.44053323504116,9.72048163165008,0,0
2009-Q3,2. NOA-Resto,66952,46754,11758,14339,0,0,66952,100,69.83211853268013,17.56183534472458,21.416835942167523,0,0
2009-Q3,3. La Rioja,3305,2732,477,513,0,0,3305,100,82.6626323751891,14.432677760968229,15.521936459909227,0,0
2009-Q4,1. Resto país,298132,231264,43197,35417,0,0,298132,100,77.57100881488736,14.489219540337835,11.879637207679819,0,0
2009-Q4,2. NOA-Resto,58798,39792,11551,12952,0,0,58798,100,67.67577128473758,19.645226028096193,22.02796013469846,0,0
2009-Q4,3. La Rioja,4153,3697,143,773,0,0,4153,100,89.01998555261257,3.4432940043342164,18.6130508066458,0,0
2010-Q1,1. Resto país,316356,253141,47206,43953,0,0,316356,100,80.01776479662152,14.921796962915195,13.893525016121078,0,0
2010-Q1,2. NOA-Resto,56933,38978,8928,12461,0,0,56933,100,68.46293011083203,15.68159064163139,21.887130486712454,0,0
2010-Q1,3. La Rioja,3325,3225,0,151,0,0,3325,100,96.99248120300751,0,4.541353383458647,0,0
2010-Q2,1. Resto país,350782,297143,32584,37795,0,0,350782,100,84.70873648020708,9.28896009487374,10.77449812134032,0,0
2010-Q2,2. NOA-Resto,62591,47040,8322,9752,0,0,62591,100,75.15457493888897,13.295841255132526,15.580514770494162,0,0
2010-Q2,3. La Rioja,3142,2833,162,239,0,0,3142,100,90.16549968173138,5.155951623169956,7.606619987269256,0,0
2010-Q3,1. Resto país,332647,284257,28460,32840,0,0,332647,100,85.45304782547265,8.555616013371532,9.872327121543258,0,0
2010-Q3,2. NOA-Resto,64242,49617,9649,10356,0,0,64242,100,77.2345194732418,15.019768998474516,16.12029513402447,0,0
2010-Q3,3. La Rioja,3185,2655,130,743,0,0,3185,100,83.35949764521193,4.081632653061225,23.328100470957615,0,0
2010-Q4,1. Resto país,315558,253996,46580,33706,0,0,315558,100,80.49106661849802,14.76115325867194,10.68139613002998,0,0
2010-Q4,2. NOA-Resto,59389,40681,12568,11800,0,0,59389,100,68.49921702672212,21.16216807826365,19.868999309636465,0,0
2010-Q4,3. La Rioja,4101,3909,0,502,0,0,4101,100,95.31821506949525,0,12.24091684954889,0,0
2011-Q1,1. Resto país,337592,278354,47290,34305,0,0,337592,100,82.45278324130904,14.008033365719566,10.161674447261783,0,0
2011-Q1,2. NOA-Resto,57016,41336,10251,10144,0,0,57016,100,72.49894766381367,17.979163743510593,17.791497123614423,0,0
2011-Q1,3. La Rioja,3899,3743,156,246,0,0,3899,100,95.99897409592202,4.001025904077968,6.309310079507566,0,0
2011-Q2,1. Resto país,325935,278100,35270,28010,0,0,325935,100,85.32376087256661,10.821176001349961,8.593738015248439,0,0
2011-Q2,2. NOA-Resto,59679,46755,9473,8450,0,0,59679,100,78.34414115518021,15.873255248915028,14.159084435060908,0,0
2011-Q2,3. La Rioja,3748,3158,277,539,0,0,3748,100,84.25827107790822,7.390608324439701,14.381003201707577,0,0
2011-Q3,1. Resto país,323346,272328,31388,30916,0,0,323346,100,84.2218552262901,9.707248582014314,9.561274919126879,0,0
2011-Q3,2. NOA-Resto,55324,41205,10589,8268,0,0,55324,100,74.47943026534595,19.13997541754031,14.94468946569301,0,0
2011-Q3,3. La Rioja,3319,2636,217,466,0,0,3319,100,79.4215125037662,6.53811388972582,14.040373606507984,0,0
2011-Q4,1. Resto país,299121,234075,52414,31033,0,0,299121,100,78.25428505521177,17.52267477041064,10.374731296030703,0,0
