geocodigo,provincia,anio,rec_prov,rec_nac,rec_total,pct_propios,la_rioja_region
AR-Y,Jujuy,2011,506.53999999999996,3807.3664,4313.9064,0.11742025742607674,2. NOA-Resto
AR-L,La Pampa,2011,801.9198000000001,2472.223,3274.1428,0.24492511444522216,1. Resto país
AR-F,La Rioja,2011,223.60332999999997,2711.9202,2935.52353,0.07617153387286935,3. La Rioja
AR-M,Mendoza,2011,2912.32,5548.0739,8460.393900000001,0.34422983544536856,1. Resto país
AR-N,Misiones,2011,1308.135,4556.0770999999995,5864.2121,0.22307088790325302,1. Resto país
AR-Q,Neuquén,2011,2004.42804,2414.7457999999997,4419.1738399999995,0.4535752863707213,1. Resto país
AR-R,Río Negro,2011,1104.01896,3361.9793,4465.99826,0.247205416510843,1. Resto país
AR-A,Salta,2011,1397.14294,5223.9497,6621.09264,0.21101395433730105,2. NOA-Resto
AR-J,San Juan,2011,880.49,4403.1212000000005,5283.6112,0.16664549427861006,1. Resto país
AR-D,San Luis,2011,867.18412,3013.4387,3880.62282,0.22346519108497126,1. Resto país
AR-Z,Santa Cruz,2011,937.72478,2166.4227,3104.14748,0.3020877023536266,1. Resto país
AR-S,Santa Fe,2011,6605.96083,11905.144900000001,18511.105730000003,0.35686473441151906,1. Resto país
AR-G,Santiago del Estero,2011,665.08056,5487.5408,6152.62136,0.10809710545880236,2. NOA-Resto
AR-V,Tierra del Fuego,2011,572.27072,1663.253,2235.52372,0.2559895539824556,1. Resto país
AR-T,Tucumán,2011,2300.44785,6325.4015,8625.84935,0.26669232868065335,2. NOA-Resto
AR-B,Buenos Aires,2012,46127.68,32749.8802,78877.5602,0.5848010496653266,1. Resto país
AR-C,CABA,2012,27950.54149337,3297.1934,31247.73489337,0.8944821629071238,1. Resto país
AR-K,Catamarca,2012,543.55598,4517.3072,5060.86318,0.1074038085337055,2. NOA-Resto
AR-H,Chaco,2012,1294.41893,8451.2557,9745.67463,0.13281983845586276,1. Resto país
AR-U,Chubut,2012,1591.75287,2810.7376,4402.49047,0.3615573686863654,1. Resto país
AR-W,Corrientes,2012,1009.49,6462.1632,7471.6532,0.13510932225815836,1. Resto país
AR-X,Córdoba,2012,8714.8229999999985,14902.2465,23617.069499999998,0.3690052654500593,1. Resto país
AR-E,Entre Ríos,2012,2834.66,8202.3609,11037.0209,0.25683198624730336,1. Resto país
AR-P,Formosa,2012,438.90155,6101.541,6540.44255,0.0671057878185934,1. Resto país
AR-Y,Jujuy,2012,629.3026400000001,4839.8033,5469.1059399999995,0.1150649936029581,2. NOA-Resto
AR-L,La Pampa,2012,989.68648212,3139.3621000000003,4129.04858212,0.23968874728324457,1. Resto país
AR-F,La Rioja,2012,311.37532,3445.1285,3756.50382,0.08288965882111095,3. La Rioja
