fecha,la_rioja_region,sector,salario_promedio
2020-Q3,1. Resto país,Público,43992.77631467685
2020-Q3,2. NOA-Resto,Privado,32455.89342972805
2020-Q3,2. NOA-Resto,Público,34692.45535266259
2020-Q3,3. La Rioja,Privado,31693.75037775763
2020-Q3,3. La Rioja,Público,31685.36056948313
2020-Q4,1. Resto país,Privado,43094.14006895092
2020-Q4,1. Resto país,Público,47862.28880285269
2020-Q4,2. NOA-Resto,Privado,34229.59187427095
2020-Q4,2. NOA-Resto,Público,38960.48650751871
2020-Q4,3. La Rioja,Privado,30498.04412933195
2020-Q4,3. La Rioja,Público,31750.455140499893
2021-Q1,1. Resto país,Privado,50673.25680015884
2021-Q1,1. Resto país,Público,53247.67106975334
2021-Q1,2. NOA-Resto,Privado,37715.75453951407
2021-Q1,2. NOA-Resto,Público,43659.16241846188
2021-Q1,3. La Rioja,Privado,34907.898153491056
2021-Q1,3. La Rioja,Público,34148.78549229052
2021-Q2,1. Resto país,Privado,58315.76377144431
2021-Q2,1. Resto país,Público,57769.53081418835
2021-Q2,2. NOA-Resto,Privado,41289.742450361635
2021-Q2,2. NOA-Resto,Público,46342.57096848401
2021-Q2,3. La Rioja,Privado,39922.334827519
2021-Q2,3. La Rioja,Público,37426.383293838866
2021-Q3,1. Resto país,Privado,61039.310881911806
2021-Q3,1. Resto país,Público,64929.305474187444
2021-Q3,2. NOA-Resto,Privado,45367.377484468045
2021-Q3,2. NOA-Resto,Público,50582.90085399827
2021-Q3,3. La Rioja,Privado,42186.99772100276
2021-Q3,3. La Rioja,Público,38521.71334431631
2021-Q4,1. Resto país,Privado,67192.33276482292
2021-Q4,1. Resto país,Público,72298.97666867146
2021-Q4,2. NOA-Resto,Privado,50804.85514304026
2021-Q4,2. NOA-Resto,Público,55966.25146810541
2021-Q4,3. La Rioja,Privado,46572.39895083731
2021-Q4,3. La Rioja,Público,39145.063502363955
2022-Q1,1. Resto país,Privado,79769.33204399662
2022-Q1,1. Resto país,Público,81466.63547373007
2022-Q1,2. NOA-Resto,Privado,61597.730333574335
2022-Q1,2. NOA-Resto,Público,63733.67260608173
2022-Q1,3. La Rioja,Privado,52428.55493331794
2022-Q1,3. La Rioja,Público,50946.32464830285
2022-Q2,1. Resto país,Privado,87744.2736390006
2022-Q2,1. Resto país,Público,93431.04795024374
2022-Q2,2. NOA-Resto,Privado,67613.7066458157
2022-Q2,2. NOA-Resto,Público,71095.59479710317
2022-Q2,3. La Rioja,Privado,57904.13904771543
2022-Q2,3. La Rioja,Público,58540.27451795954
2022-Q3,1. Resto país,Privado,99898.35948437138
2022-Q3,1. Resto país,Público,114526.81092776937
2022-Q3,2. NOA-Resto,Privado,75897.38499924183
2022-Q3,2. NOA-Resto,Público,83666.88304614117
2022-Q3,3. La Rioja,Privado,72335.81995987963
2022-Q3,3. La Rioja,Público,61493.173609438956
2022-Q4,1. Resto país,Privado,122753.56521020847
2022-Q4,1. Resto país,Público,130680.04027979083
2022-Q4,2. NOA-Resto,Privado,94131.73468883286
2022-Q4,2. NOA-Resto,Público,95335.19631519583
2022-Q4,3. La Rioja,Privado,76492.02073592193
2022-Q4,3. La Rioja,Público,68743.90661133462
2023-Q1,1. Resto país,Privado,150533.4115084825
2023-Q1,1. Resto país,Público,158974.2113583154
2023-Q1,2. NOA-Resto,Privado,112685.89794303797
2023-Q1,2. NOA-Resto,Público,111677.95935644375
2023-Q1,3. La Rioja,Privado,92097.22796855606
2023-Q1,3. La Rioja,Público,83153.80687093778
2023-Q2,1. Resto país,Privado,182275.80713700256
2023-Q2,1. Resto país,Público,197200.60513329887
2023-Q2,2. NOA-Resto,Privado,143256.6360343216
2023-Q2,2. NOA-Resto,Público,154090.61562826432
2023-Q2,3. La Rioja,Privado,124528.39153097468
2023-Q2,3. La Rioja,Público,102396.1869519749
2023-Q3,1. Resto país,Privado,229409.11722979855
2023-Q3,1. Resto país,Público,259040.0912810675
2023-Q3,2. NOA-Resto,Privado,169914.05059639955
2023-Q3,2. NOA-Resto,Público,193000.79311292243
2023-Q3,3. La Rioja,Privado,150343.01270417424
2023-Q3,3. La Rioja,Público,114518.26570968215
2023-Q4,1. Resto país,Privado,318799.37147219304
2023-Q4,1. Resto país,Público,344050.39624104823
2023-Q4,2. NOA-Resto,Privado,229175.9561442802
2023-Q4,2. NOA-Resto,Público,247267.84020837987
2023-Q4,3. La Rioja,Privado,211341.14906062558
2023-Q4,3. La Rioja,Público,181459.48714946432
2024-Q1,1. Resto país,Privado,457052.84500517295
2024-Q1,1. Resto país,Público,438103.8854237022
2024-Q1,2. NOA-Resto,Privado,314825.68430344167
2024-Q1,2. NOA-Resto,Público,328978.3476709019
2024-Q1,3. La Rioja,Privado,293480.86706480867
2024-Q1,3. La Rioja,Público,227194.5320715037
2024-Q2,1. Resto país,Privado,640328.8917332198
2024-Q2,1. Resto país,Público,626377.0865057346
2024-Q2,2. NOA-Resto,Privado,498838.6553178964
2024-Q2,2. NOA-Resto,Público,471762.3101023102
2024-Q2,3. La Rioja,Privado,369142.55739323626
2024-Q2,3. La Rioja,Público,306090.5380333952
2024-Q3,1. Resto país,Privado,824933.6204893572
2024-Q3,1. Resto país,Público,775066.7829557494
2024-Q3,2. NOA-Resto,Privado,641298.8273242901
2024-Q3,2. NOA-Resto,Público,582220.8103300612
2024-Q3,3. La Rioja,Privado,475302.70974465867
2024-Q3,3. La Rioja,Público,364816.7803891837
2024-Q4,1. Resto país,Privado,952259.2861450446
2024-Q4,1. Resto país,Público,885158.6996182731
2024-Q4,2. NOA-Resto,Privado,704713.963056334
2024-Q4,2. NOA-Resto,Público,685960.4895951309
2024-Q4,3. La Rioja,Privado,535730.9051470921
2024-Q4,3. La Rioja,Público,479615.76864859124
2025-Q1,1. Resto país,Privado,1025611.646462565
2025-Q1,1. Resto país,Público,961436.2118272893
2025-Q1,2. NOA-Resto,Privado,839143.0439511335
2025-Q1,2. NOA-Resto,Público,821516.1706384025
2025-Q1,3. La Rioja,Privado,708187.7547239718
2025-Q1,3. La Rioja,Público,503131.94181266945
2025-Q2,1. Resto país,Privado,1179889.3363779234
2025-Q2,1. Resto país,Público,1059222.7713152163
2025-Q2,2. NOA-Resto,Privado,894396.7397904639
2025-Q2,2. NOA-Resto,Público,889426.8010380779
2025-Q2,3. La Rioja,Privado,725785.8989305084
2025-Q2,3. La Rioja,Público,504887.3120459537
2025-Q3,1. Resto país,Privado,1212765.3989665576
2025-Q3,1. Resto país,Público,1124411.7046485234
2025-Q3,2. NOA-Resto,Privado,991259.23633341
2025-Q3,2. NOA-Resto,Público,961335.3717143978
2025-Q3,3. La Rioja,Privado,845791.5611814345
2025-Q3,3. La Rioja,Público,545139.6630648024
2025-Q4,1. Resto país,Privado,1327327.2625918095
2025-Q4,1. Resto país,Público,1323207.6110916522
2025-Q4,2. NOA-Resto,Privado,1147854.783001142
2025-Q4,2. NOA-Resto,Público,1022933.2861649126
2025-Q4,3. La Rioja,Privado,883624.2716678806
2025-Q4,3. La Rioja,Público,652456.563575746
