jurisdiccion,fecha,salario_promedio,ipc_nacional,ipc_regional,ipc_region,salario_real_nac,salario_real_reg,salario_real_nac_ma12,salario_real_reg_ma12
Salta,2017-01-01,16589.494969462005,101.5859,101.6014,NOA,16330.509420561324,16328.018087803912,NA,NA
San Juan,2017-01-01,19039.963401110876,101.5859,101.7074,Cuyo,18742.722563968895,18720.332444945867,NA,NA
San Luis,2017-01-01,21149.97586773719,101.5859,101.7074,Cuyo,20819.79474290939,20794.923346518728,NA,NA
Santa Cruz,2017-01-01,39102.91069341721,101.5859,102.5593,Patagonia,38492.45878947493,38127.12322862696,NA,NA
Santa Fe,2017-01-01,21483.189339971523,101.5859,101.7874,Pampeana,21147.806280174238,21105.941737357985,NA,NA
Santiago del Estero,2017-01-01,15031.010916096277,101.5859,101.6014,NOA,14796.355513999753,14794.098227087696,NA,NA
Tierra del Fuego,2017-01-01,33540.9199280843,101.5859,102.5593,Patagonia,33017.29858974947,32703.92829132444,NA,NA
Tucumán,2017-01-01,17612.011273388245,101.5859,101.6014,NOA,17337.062794529797,17334.417905056667,NA,NA
Buenos Aires,2017-02-01,21302.004672346386,103.6859,103.8085,GBA,20544.745883814852,20520.482111143487,NA,NA
C.A.B.A.,2017-02-01,26564.698581343237,103.6859,103.8085,GBA,25620.35781272404,25590.099636680272,NA,NA
Catamarca,2017-02-01,17365.261372916866,103.6859,103.7115,NOA,16747.9487306537,16743.814690672552,NA,NA
Chaco,2017-02-01,16878.630933269815,103.6859,103.4617,NEA,16278.61737542888,16313.892902658486,NA,NA
Chubut,2017-02-01,35483.11064568737,103.6859,104.2827,Patagonia,34221.73183208842,34025.88410703537,NA,NA
Corrientes,2017-02-01,16478.373847520244,103.6859,103.4617,NEA,15892.588912783942,15927.027921946234,NA,NA
Córdoba,2017-02-01,19227.11717841734,103.6859,103.5312,Pampeana,18543.61796388645,18571.32649714998,NA,NA
Entre Ríos,2017-02-01,17630.930160748972,103.6859,103.5312,Pampeana,17004.173335765976,17029.58157613258,NA,NA
Formosa,2017-02-01,17573.394286546194,103.6859,103.4617,NEA,16948.68278767527,16985.410336913268,NA,NA
Jujuy,2017-02-01,16869.072195743036,103.6859,103.7115,NOA,16269.39843869131,16265.38252338751,NA,NA
La Pampa,2017-02-01,19910.088590831732,103.6859,103.5312,Pampeana,19202.310623558005,19231.003398812853,NA,NA
La Rioja,2017-02-01,13660.630768377676,103.6859,103.7115,NOA,13175.012965482942,13171.760863913525,NA,NA
Mendoza,2017-02-01,17256.364063185614,103.6859,103.2652,Cuyo,16642.922579816168,16710.725455609067,NA,NA
Misiones,2017-02-01,15879.02409281839,103.6859,103.4617,NEA,15314.545268757265,15347.731665745287,NA,NA
Neuquén,2017-02-01,32799.33560920286,103.6859,104.2827,Patagonia,31633.361536335087,31452.326808955713,NA,NA
Río Negro,2017-02-01,20650.490226599268,103.6859,104.2827,Patagonia,19916.39193622206,19802.41231441003,NA,NA
Salta,2017-02-01,16622.222662492568,103.6859,103.7115,NOA,16031.324087935358,16027.36693856763,NA,NA
San Juan,2017-02-01,18918.93138299104,103.6859,103.2652,Cuyo,18246.38777595704,18320.723131307586,NA,NA
San Luis,2017-02-01,19693.97463920079,103.6859,103.2652,Cuyo,18993.879244140997,19071.259862180865,NA,NA
Santa Cruz,2017-02-01,41774.03034192877,103.6859,104.2827,Patagonia,40289.017447819584,40058.44722272128,NA,NA
Santa Fe,2017-02-01,20688.390662776834,103.6859,103.5312,Pampeana,19952.945060781487,19982.759460700574,NA,NA
Santiago del Estero,2017-02-01,14817.609648120511,103.6859,103.7115,NOA,14290.862738444195,14287.335202094764,NA,NA
Tierra del Fuego,2017-02-01,35048.90174759694,103.6859,104.2827,Patagonia,33802.95850023671,33609.507375237634,NA,NA
Tucumán,2017-02-01,16712.083978839808,103.6859,103.7115,NOA,16117.99095039905,16114.012408305547,NA,NA
Buenos Aires,2017-03-01,22614.42116442496,106.1476,106.2627,GBA,21304.69380789105,21281.617316730102,NA,NA
C.A.B.A.,2017-03-01,28423.879188259187,106.1476,106.2627,GBA,26777.693690916407,26748.689039765777,NA,NA
Catamarca,2017-03-01,17722.611171719014,106.1476,107.055,NOA,16696.195836475825,16554.67859672039,NA,NA
Chaco,2017-03-01,16929.888209167904,106.1476,105.988,NEA,15949.383885427373,15973.400959701008,NA,NA
Chubut,2017-03-01,33952.78423554015,106.1476,106.5167,Patagonia,31986.3889862231,31875.55025225167,NA,NA
Corrientes,2017-03-01,16579.573516503253,106.1476,105.988,NEA,15619.357871966255,15642.877982887925,NA,NA
Córdoba,2017-03-01,19865.57213800411,106.1476,105.8173,Pampeana,18715.045971839318,18773.46344879723,NA,NA
Entre Ríos,2017-03-01,17834.48557109652,106.1476,105.8173,Pampeana,16801.59096493611,16854.03574944411,NA,NA
Formosa,2017-03-01,17498.967958783618,106.1476,105.988,NEA,16485.50505031072,16510.329432373113,NA,NA
Jujuy,2017-03-01,17825.582058151234,106.1476,107.055,NOA,16793.203104122214,16650.863629117026,NA,NA
La Pampa,2017-03-01,19209.658800208646,106.1476,105.8173,Pampeana,18097.1202365467,18153.608909137394,NA,NA
La Rioja,2017-03-01,13586.329163131091,106.1476,107.055,NOA,12799.469006488222,12690.980489590482,NA,NA
Mendoza,2017-03-01,17966.376636720946,106.1476,105.9238,Cuyo,16925.843482773937,16961.605075271986,NA,NA
Misiones,2017-03-01,15703.873903560916,106.1476,105.988,NEA,14794.374911501453,14816.65273763154,NA,NA
Neuquén,2017-03-01,34998.841138635435,106.1476,106.5167,Patagonia,32971.8628952849,32857.6093125636,NA,NA
Río Negro,2017-03-01,21539.852386600196,106.1476,106.5167,Patagonia,20292.359305910068,20222.04254037179,NA,NA
Salta,2017-03-01,16959.04282938973,106.1476,107.055,NOA,15976.849998859825,15841.429946653338,NA,NA
San Juan,2017-03-01,18766.08266510666,106.1476,105.9238,Cuyo,17679.234071337138,17716.587457310503,NA,NA
San Luis,2017-03-01,20541.749584459565,106.1476,105.9238,Cuyo,19352.06220815126,19392.950011668356,NA,NA
Santa Cruz,2017-03-01,40760.56856925563,106.1476,106.5167,Patagonia,38399.89653016708,38266.833810337375,NA,NA
Santa Fe,2017-03-01,21182.345659178303,106.1476,105.8173,Pampeana,19955.55778856828,20017.847421147868,NA,NA
Santiago del Estero,2017-03-01,15773.510234401509,106.1476,107.055,NOA,14859.978213733999,14734.024785765734,NA,NA
Tierra del Fuego,2017-03-01,35441.069451394935,106.1476,106.5167,Patagonia,33388.47929806697,33272.782062714046,NA,NA
Tucumán,2017-03-01,16689.087803202845,106.1476,107.055,NOA,15722.529575047241,15589.26514707659,NA,NA
Buenos Aires,2017-04-01,22342.49081216177,108.9667,109.0613,GBA,20503.962047269273,20486.176867653117,NA,NA
C.A.B.A.,2017-04-01,27506.23913498236,108.9667,109.0613,GBA,25242.79356443974,25220.897912442233,NA,NA
Catamarca,2017-04-01,18213.54408633287,108.9667,109.9626,NOA,16714.77991563741,16563.398906840026,NA,NA
Chaco,2017-04-01,17350.666124071533,108.9667,108.3473,NEA,15922.906836741438,16013.934933377695,NA,NA
Chubut,2017-04-01,34229.46721459826,108.9667,108.6517,Patagonia,31412.777678500184,31503.84873370436,NA,NA
Corrientes,2017-04-01,16806.904508550073,108.9667,108.3473,NEA,15423.890517515969,15512.065836942935,NA,NA
Córdoba,2017-04-01,20598.33252276533,108.9667,108.6912,Pampeana,18903.32782654272,18951.24216382313,NA,NA
Entre Ríos,2017-04-01,18066.61899049686,108.9667,108.6912,Pampeana,16579.945057065008,16621.970307160893,NA,NA
Formosa,2017-04-01,18149.507950032817,108.9667,108.3473,NEA,16656.013213241124,16751.232333461765,NA,NA
Jujuy,2017-04-01,18453.03250686383,108.9667,109.9626,NOA,16934.561207106235,16781.189701647498,NA,NA
La Pampa,2017-04-01,19822.49400131607,108.9667,108.6912,Pampeana,18191.331848460188,18237.441486814085,NA,NA
La Rioja,2017-04-01,15455.251466208416,108.9667,109.9626,NOA,14183.462898489552,14055.00730812878,NA,NA
Mendoza,2017-04-01,18302.88601250796,108.9667,109.4506,Cuyo,16796.77003388004,16722.508613482212,NA,NA
Misiones,2017-04-01,15594.976252621977,108.9667,108.3473,NEA,14311.689949885584,14393.50703951273,NA,NA
Neuquén,2017-04-01,34326.584214604845,108.9667,108.6517,Patagonia,31501.90307186034,31593.23251693701,NA,NA
Río Negro,2017-04-01,21960.100283246345,108.9667,108.6517,Patagonia,20153.03783930902,20211.464968561326,NA,NA
Salta,2017-04-01,17636.6479708844,108.9667,109.9626,NOA,16185.355682868621,16038.76951880403,NA,NA
San Juan,2017-04-01,18407.24742422704,108.9667,109.4506,Cuyo,16892.543707597863,16817.858855252543,NA,NA
San Luis,2017-04-01,20809.622069716806,108.9667,109.4506,Cuyo,19097.230685812094,19012.798531681696,NA,NA
Santa Cruz,2017-04-01,39304.537982553215,108.9667,108.6517,Patagonia,36070.22877865734,36174.802587123086,NA,NA
Santa Fe,2017-04-01,21010.27352652781,108.9667,108.6912,Pampeana,19281.370846807153,19330.243411175707,NA,NA
Santiago del Estero,2017-04-01,15375.138675872688,108.9667,109.9626,NOA,14109.942464874763,13982.152728175479,NA,NA
Tierra del Fuego,2017-04-01,36369.30343652333,108.9667,108.6517,Patagonia,33376.530111055334,33473.29442293432,NA,NA
Tucumán,2017-04-01,15833.302783910423,108.9667,109.9626,NOA,14530.404962167728,14398.807216190255,NA,NA
Buenos Aires,2017-05-01,22599.34541832885,110.5301,110.4607,GBA,20446.326763776426,20459.172735940338,NA,NA
C.A.B.A.,2017-05-01,27129.626144743444,110.5301,110.4607,GBA,24545.01185174305,24560.432936549783,NA,NA
Catamarca,2017-05-01,18601.90066846175,110.5301,111.636,NOA,16829.71486360887,16662.99461505406,NA,NA
Chaco,2017-05-01,17618.692010941766,110.5301,110.4331,NEA,15940.175581983336,15954.176792050363,NA,NA
Chubut,2017-05-01,35260.341753430424,110.5301,110.4897,Patagonia,31901.12173374531,31912.786217566365,NA,NA
Corrientes,2017-05-01,16896.264778164303,110.5301,110.4331,NEA,15286.573320900192,15300.00043299002,NA,NA
Córdoba,2017-05-01,20732.841296408787,110.5301,110.3005,Pampeana,18757.642756505953,18796.68840704148,NA,NA
Entre Ríos,2017-05-01,18528.02712472353,110.5301,110.3005,Pampeana,16762.879183791138,16797.77256197708,NA,NA
Formosa,2017-05-01,18513.87078863993,110.5301,110.4331,NEA,16750.07150870209,16764.78409882538,NA,NA
Jujuy,2017-05-01,18673.47573108636,110.5301,111.636,NOA,16894.47103647455,16727.10929367441,NA,NA
La Pampa,2017-05-01,20354.52075015818,110.5301,110.3005,Pampeana,18415.36445742669,18453.697626174115,NA,NA
La Rioja,2017-05-01,16071.636069159931,110.5301,111.636,NOA,14540.506223336384,14396.463568347068,NA,NA
Mendoza,2017-05-01,19071.446322150827,110.5301,111.3091,Cuyo,17254.52733884329,17133.771023349236,NA,NA
Misiones,2017-05-01,15812.47624630665,110.5301,110.4331,NEA,14306.036316176906,14318.602163940568,NA,NA
Neuquén,2017-05-01,35055.51400071657,110.5301,110.4897,Patagonia,31715.807730850298,31727.404455543427,NA,NA
Río Negro,2017-05-01,22857.526243066302,110.5301,110.4897,Patagonia,20679.910941061575,20687.4724459079,NA,NA
Salta,2017-05-01,18031.18331442648,110.5301,111.636,NOA,16313.369221982499,16151.764049613455,NA,NA
San Juan,2017-05-01,19544.260994946868,110.5301,111.3091,Cuyo,17682.297396769627,17558.547319982707,NA,NA
San Luis,2017-05-01,21602.07758497231,110.5301,111.3091,Cuyo,19544.067710942367,19407.287980023473,NA,NA
Santa Cruz,2017-05-01,42172.226062886664,110.5301,110.4897,Patagonia,38154.51724271186,38168.46824897404,NA,NA
Santa Fe,2017-05-01,21972.884523990822,110.5301,110.3005,Pampeana,19879.548217174164,19920.929210648024,NA,NA
Santiago del Estero,2017-05-01,16030.404921015044,110.5301,111.636,NOA,14503.203128392215,14359.530009150314,NA,NA
Tierra del Fuego,2017-05-01,37252.188520766795,110.5301,110.4897,Patagonia,33703.207108983705,33715.53051620811,NA,NA
Tucumán,2017-05-01,16095.832701868436,110.5301,111.636,NOA,14562.397665313281,14418.138147074811,NA,NA
Buenos Aires,2017-06-01,33409.57311491395,111.8477,111.9943,GBA,29870.594670175557,29831.494205431834,NA,NA
C.A.B.A.,2017-06-01,39603.977350958136,111.8477,111.9943,GBA,35408.84376787197,35362.49376169871,NA,NA
Catamarca,2017-06-01,28064.37116590231,111.8477,112.6924,NOA,25091.594342934462,24903.517154575027,NA,NA
Chaco,2017-06-01,25775.292736179377,111.8477,111.9403,NEA,23044.991301724913,23025.927870641208,NA,NA
Chubut,2017-06-01,54736.213106328825,111.8477,111.7051,Patagonia,48938.16601175422,49000.63927817873,NA,NA
Corrientes,2017-06-01,24952.78796031823,111.8477,111.9403,NEA,22309.61205310277,22291.15694733553,NA,NA
