anio,la_rioja_region,ingresos_totales,gastos_totales,resultado_financiero,resultado_primario,resultado_sobre_ingresos,primario_sobre_ingresos
2005,1. Resto país,68130.58521763387,66343.99352109243,1786.5916965414326,3421.6239891194873,0.026223049322626674,0.05022155582826092
2005,2. NOA-Resto,8869.490175024222,8468.672338573804,400.8178364504183,651.0399924468763,0.045190628608968914,0.07340218880676513
2005,3. La Rioja,1142.0514134700002,1172.1246014968865,-30.073188026886328,-3.523810739999714,-0.026332604357550058,-0.0030855097226253543
2006,1. Resto país,84797.54845104649,84350.20182987173,447.3466211747625,2445.625146402087,0.005275466441497599,0.028840752958960165
2006,2. NOA-Resto,11080.911786825764,11079.521093667514,1.3906931582489506,288.86447324878793,1.2550349510970417e-4,0.026068655612999515
2006,3. La Rioja,1427.82917487,1348.1634957479573,79.66567912204277,97.76424241000022,0.05579496519903798,0.06847054544805851
2007,1. Resto país,107360.56289349392,108053.97926898437,-693.4163754904503,1516.729285188965,-0.006458762480393734,0.014127434174256543
2007,2. NOA-Resto,14972.21166259,14995.69981207395,-23.4881494839492,246.12811446424624,-0.001568782890148245,0.016438995120489047
2007,3. La Rioja,1729.9065450599999,1579.0606288241179,150.845916235882,169.37910568714292,0.08719888173534257,0.09791228674799204
2008,1. Resto país,139507.0539325803,143003.43479575505,-3496.3808631747506,-1112.6647264547316,-0.02506239480094282,-0.007975687931826372
2008,2. NOA-Resto,18924.625697329997,19339.720571781905,-415.0948744519055,-148.5338949497944,-0.021934112784617436,-0.007848709788260196
2008,3. La Rioja,2172.3992626000004,2018.5724323044913,153.82683029550913,171.40720103000052,0.07080964947088225,0.07890225520738514
2009,1. Resto país,164148.2516002658,174200.84842376495,-10052.596823499176,-7145.092429411445,-0.06124096190789338,-0.04352828835978827
2009,2. NOA-Resto,21812.344165860475,21823.41604931151,-11.071883451035319,350.6492993144907,-5.075971370543678e-4,0.016075727425175528
2009,3. La Rioja,2586.1527947160594,2641.3425424108736,-55.18974769481429,-34.053044273940905,-0.02134048220490921,-0.013167452574154529
2010,1. Resto país,220939.9504641375,218252.85812285444,2687.092341283076,6177.495871680829,0.012162093526490761,0.027960067243174052
2010,2. NOA-Resto,30509.725444531963,28028.25837525717,2481.4670692747904,2783.683370315113,0.08133364142480429,0.09123921404589408
2010,3. La Rioja,3432.3088873992524,3312.610069977636,119.69881742161624,161.21156684266674,0.03487413905579899,0.046968839964989524
2011,1. Resto país,281142.82331872184,297922.17703865195,-16779.353719930157,-12916.335128657869,-0.059682667769569875,-0.04594225446052048
2011,2. NOA-Resto,38223.8126568411,38536.33342425348,-312.52076741237306,-167.76984477800158,-0.00817607521829562,-0.004389144701083998
2011,3. La Rioja,4360.302692018399,4351.381342922197,8.921349096201993,50.367607996998615,0.00204603893957469,0.011551401715572934
2012,1. Resto país,352600.644334168,366562.9062398044,-13962.261905636391,-8567.026835039913,-0.03959794779162123,-0.024296685138557882
2012,2. NOA-Resto,47768.920049958935,47424.23306408952,344.6869858694099,575.9224033020026,0.0072157165267483624,0.012056425029070712
2012,3. La Rioja,5168.9900440406,5452.961760863847,-283.97171682324733,-224.45669462099954,-0.05493756312234384,-0.043423704187586655
2013,1. Resto país,471211.8321619011,479470.49883079925,-8258.666668898128,-1219.7195188780722,-0.017526441623945847,-0.002588473878684344
2013,2. NOA-Resto,63050.089860443004,64128.91498867391,-1078.8251282309102,-724.8422035269958,-0.017110604134249686,-0.011496291363444266
2013,3. La Rioja,6888.665000927999,6985.765673320294,-97.10067239229465,-25.843145262000874,-0.014095717004559496,-0.003751546236973266
2014,1. Resto país,655474.20014258835,660947.9204524673,-5473.720309878943,5565.205339155544,-0.008350779189612984,0.008490349945039666
2014,2. NOA-Resto,88014.42138964275,87641.20838707889,373.21300256386166,819.0471740733974,0.00424036193922852,0.009305829216867182
2014,3. La Rioja,9661.2635459356,9561.492489970004,99.77105596559704,205.3375658659998,0.01032691588333389,0.02125369677472294
2015,1. Resto país,871253.594607377,928907.097055032,-57653.50244765504,-42455.16644411328,-0.06617304399603206,-0.04872882787157434
2015,2. NOA-Resto,117986.27806418845,119440.01911061646,-1453.7410464280147,-931.2618747069887,-0.012321272187577028,-0.007892967639850045
2015,3. La Rioja,12468.537962792798,12160.218814581534,308.3191482112634,439.3434432210066,0.02472777074034779,0.03523616357684002
2016,1. Resto país,1218964.3043682454,1290479.6892965098,-71515.38492826455,-43467.19273030334,-0.05866897387559593,-0.03565911862598072
2016,2. NOA-Resto,148654.97886926276,154302.81483285944,-5647.835963596684,-4182.785663849404,-0.03799291491315453,-0.028137541679838576
2016,3. La Rioja,15620.160041360201,15434.538937563524,185.62110379667683,324.99928069500123,0.011883431623310882,0.02080639889952756
2017,1. Resto país,1631542.5053976187,1713934.702394405,-82392.19699678606,-40580.45451217859,-0.05049957124880819,-0.024872447011295512
2017,2. NOA-Resto,199967.64140116877,208191.33487101944,-8223.69346985066,-5087.597204458395,-0.04112512110573203,-0.025442102376213048
2017,3. La Rioja,21735.161599056915,23920.92661684929,-2185.765017792375,-1721.6876473190857,-0.10056355034817017,-0.07921209324681484
2018,1. Resto país,2184158.624792736,2236670.8861562577,-52512.261363521735,40661.555440418866,-0.02404232951189836,0.01861657618584246
2018,2. NOA-Resto,268974.2045791432,261070.4616939475,7903.742885195723,14237.799677023204,0.029384761626351865,0.05293369934600499
2018,3. La Rioja,27541.61063623916,29847.605438001432,-2305.9948017622737,-1210.0115662667931,-0.08372766691894386,-0.04393394352451792
2019,1. Resto país,3117167.148816288,3248622.9835930895,-131455.83477680135,33381.392657594224,-0.04217157069255024,0.01070888760978713
2019,2. NOA-Resto,376575.98234872206,383252.12897547334,-6676.146626751281,2460.6316316706807,-0.01772855131416465,0.006534223495411486
2019,3. La Rioja,39720.79313216766,41530.52515677644,-1809.7320246087838,120.3104531677584,-0.045561326496856444,0.0030289035963465107
2020,1. Resto país,4167105.615451666,4253178.367095787,-86072.7516441208,41956.973900933786,-0.020655284407710292,0.010068613030914537
2020,2. NOA-Resto,527765.4109164932,511113.6018944348,16651.809022058398,27287.20428290421,0.03155153535572108,0.05170328278148904
2020,3. La Rioja,58939.82108245,56887.10241200843,2052.7186704415653,3820.28995454,0.03482736514537513,0.06481678913133883
2021,1. Resto país,6678784.7556300955,6606862.674680729,71922.08094936585,231131.79732107586,0.010768737664248997,0.03460686423922195
2021,2. NOA-Resto,861261.0964174296,838137.8910794542,23123.205337975378,36427.650265939694,0.026848078282138258,0.04229571080995886
2021,3. La Rioja,98455.42967738606,99186.07223792074,-730.6425605346885,2209.5718763459613,-0.007421048924663905,0.022442356745444904
2022,1. Resto país,12265025.288869767,12066202.852334037,198822.43653572982,459191.50357413775,0.01621051990134555,0.03743909961529746
2022,2. NOA-Resto,1591759.6154277797,1518442.7398234422,73316.87560433772,100440.43320883323,0.04606026870749204,0.06310025222108692
2022,3. La Rioja,181895.95852807869,182284.90843442007,-388.9499063413823,2958.5053032886167,-0.002138309776032442,0.01626482153440436
2023,1. Resto país,28494781.334427506,29011625.511319082,-516844.17689157586,109720.67304267624,-0.0181382047058253,0.003850553255873253
2023,2. NOA-Resto,3647361.9024218093,3646334.17085621,1027.7315655992134,56815.99128982203,2.8177394870435273e-4,0.01557728374913847
2023,3. La Rioja,395487.6579696072,401718.77391893486,-6231.11594932765,1456.8113348375018,-0.015755525675105908,0.0036835822951255186
2024,1. Resto país,79650445.8781658,79505896.9937225,144548.8844433045,1553511.693705422,0.0018147906499407182,0.01950411798173347
2024,2. NOA-Resto,9983332.321521249,9193607.98316752,789724.3383537277,908264.5568676359,0.07910428230975591,0.09097809505045462
2024,3. La Rioja,953668.4364067954,926507.4801720969,27160.956234698533,42862.077570643785,0.02848050244489039,0.04494442296123199
2025,1. Resto país,114479799.4562449,118073313.08105345,-3593513.6248085545,-1290402.8832003137,-0.03138993640692063,-0.011271882806656348
2025,2. NOA-Resto,15285283.527095545,14433611.185917852,851672.3411776917,1026775.504453718,0.0557184523053151,0.06717412226169037
2025,3. La Rioja,1364783.1415390796,1403298.5345735534,-38515.39303447376,-30108.543550634648,-0.028220888624869416,-0.02206104591582289
