fecha,ANO4,TRIMESTRE,serie,empleados_publicos,pob_tot,n_obs_publicos,empleados_publicos_cada_1000,tipo,n_provincias,n_provincias_esperadas,cobertura_completa
2022-Q3,2022,3,Tucumán,111839,1402905,322,79.71958186762468,provincia_noa,1,1,TRUE
2023-Q3,2023,3,1. Resto país,3279115,37673828,5717,87.03960213440482,agregado,18,18,TRUE
2023-Q3,2023,3,2. NOA-Resto,451742,4495130,1834,100.49586997483944,agregado,5,5,TRUE
2023-Q3,2023,3,3. La Rioja,73053,359105,573,203.4307514515253,agregado,1,1,TRUE
2023-Q3,2023,3,Catamarca,50686,338773,442,149.61640980833775,provincia_noa,1,1,TRUE
2023-Q3,2023,3,Jujuy,87976,699388,440,125.7899763793488,provincia_noa,1,1,TRUE
2023-Q3,2023,3,La Rioja,73053,359105,573,203.4307514515253,provincia_noa,1,1,TRUE
2023-Q3,2023,3,Salta,110141,1314719,308,83.77531624628533,provincia_noa,1,1,TRUE
2023-Q3,2023,3,Santiago del Estero,79516,733659,301,108.38277728481488,provincia_noa,1,1,TRUE
2023-Q3,2023,3,Tucumán,123423,1408591,343,87.62160201222356,provincia_noa,1,1,TRUE
2024-Q3,2024,3,1. Resto país,3053197,38022375,5357,80.30000756133724,agregado,18,18,TRUE
2024-Q3,2024,3,2. NOA-Resto,425658,4550457,1726,93.54181349257888,agregado,5,5,TRUE
2024-Q3,2024,3,3. La Rioja,74983,364082,541,205.9508572244714,agregado,1,1,TRUE
2024-Q3,2024,3,Catamarca,55051,342572,481,160.69906472216059,provincia_noa,1,1,TRUE
2024-Q3,2024,3,Jujuy,81106,706991,373,114.71998936337238,provincia_noa,1,1,TRUE
2024-Q3,2024,3,La Rioja,74983,364082,541,205.9508572244714,provincia_noa,1,1,TRUE
2024-Q3,2024,3,Salta,91062,1332132,265,68.35809063966634,provincia_noa,1,1,TRUE
2024-Q3,2024,3,Santiago del Estero,70596,743800,267,94.91261091691315,provincia_noa,1,1,TRUE
2024-Q3,2024,3,Tucumán,127843,1424962,340,89.71677841233661,provincia_noa,1,1,TRUE
2025-Q3,2025,3,1. Resto país,2771856,38363730,4708,72.25199426645949,agregado,18,18,TRUE
2025-Q3,2025,3,2. NOA-Resto,371116,4604736,1573,80.59441409887559,agregado,5,5,TRUE
2025-Q3,2025,3,3. La Rioja,73064,368904,515,198.05694706481904,agregado,1,1,TRUE
2025-Q3,2025,3,Catamarca,57882,346334,478,167.1276859909798,provincia_noa,1,1,TRUE
2025-Q3,2025,3,Jujuy,74194,714400,369,103.85498320268756,provincia_noa,1,1,TRUE
2025-Q3,2025,3,La Rioja,73064,368904,515,198.05694706481904,provincia_noa,1,1,TRUE
2025-Q3,2025,3,Salta,84162,1349336,246,62.37290044881334,provincia_noa,1,1,TRUE
2025-Q3,2025,3,Santiago del Estero,58806,753712,219,78.02184388732036,provincia_noa,1,1,TRUE
2025-Q3,2025,3,Tucumán,96072,1440954,261,66.67249613797526,provincia_noa,1,1,TRUE
