fecha,la_rioja_region,pob_NBI_TOT,pob_NBI_HAC,pob_NBI_VIV,pob_NBI_SAN,pob_NBI_ESC,pob_NBI_SUB,pob_base,pct_pob_NBI_TOT,pct_pob_NBI_HAC,pct_pob_NBI_VIV,pct_pob_NBI_SAN,pct_pob_NBI_ESC,pct_pob_NBI_SUB
2008-Q3,2. NOA-Resto,342669,259129,32621,99155,0,0,342669,100,75.62078857439687,9.519682258972944,28.936087011080662,0,0
2008-Q3,3. La Rioja,22471,21189,480,1098,0,0,22471,100,94.29486894219215,2.136086511503716,4.88629789506475,0,0
2008-Q4,1. Resto país,1770010,1601574,79669,158536,0,0,1770010,100,90.48389557121146,4.501048016677872,8.95678555488387,0,0
2008-Q4,2. NOA-Resto,324344,245492,26352,93898,0,0,324344,100,75.68877488099055,8.124707101102533,28.950127025627108,0,0
2008-Q4,3. La Rioja,20938,19507,266,2185,0,0,20938,100,93.16553634540071,1.2704174228675136,10.43557168784029,0,0
2009-Q1,1. Resto país,1679540,1473292,114781,171436,0,0,1679540,100,87.71997094442526,6.834073615394691,10.207318670588375,0,0
2009-Q1,2. NOA-Resto,307349,237356,22807,73479,0,0,307349,100,77.22686587560071,7.42055448366515,23.90734962534448,0,0
2009-Q1,3. La Rioja,23527,23140,102,1209,0,0,23527,100,98.35508139584307,0.4335444383049262,5.1387767246142735,0,0
2009-Q2,1. Resto país,1636005,1487901,100940,138166,0,0,1636005,100,90.94721593149166,6.169907793680337,8.445328712320562,0,0
2009-Q2,2. NOA-Resto,338385,270805,21445,67125,0,0,338385,100,80.02866557323759,6.337455856494821,19.836872201781993,0,0
2009-Q2,3. La Rioja,23706,22969,652,973,0,0,23706,100,96.89108242638994,2.7503585590145954,4.104446131780984,0,0
2009-Q3,1. Resto país,1683653,1553894,89631,139547,0,0,1683653,100,92.29300811984417,5.323602903923789,8.288346826810512,0,0
2009-Q3,2. NOA-Resto,346811,284906,27417,67046,0,0,346811,100,82.15022014872653,7.905458592720531,19.332143444123744,0,0
2009-Q3,3. La Rioja,16352,15218,1105,2296,0,0,16352,100,93.06506849315068,6.757583170254403,14.04109589041096,0,0
2009-Q4,1. Resto país,1518134,1338590,123689,124232,0,0,1518134,100,88.17337599974707,8.147436260567249,8.183203854205228,0,0
2009-Q4,2. NOA-Resto,308371,248391,29341,61946,0,0,308371,100,80.54940315399308,9.514837646860437,20.088140583907048,0,0
2009-Q4,3. La Rioja,23149,22177,203,2864,0,0,23149,100,95.8011145189857,0.8769277290595706,12.37202470949069,0,0
2010-Q1,1. Resto país,1676785,1486651,151422,194264,0,0,1676785,100,88.66080028149106,9.030495859636149,11.585504402770779,0,0
