fecha,la_rioja_region,desoc,pea,tasa_desoc
2023-Q4,2. NOA-Resto,54500,1224649,4.450254726048035
2023-Q4,3. La Rioja,3640,110575,3.291883337101515
2024-Q1,1. Resto país,1009842,12907796,7.823504492943645
2024-Q1,2. NOA-Resto,72969,1186743,6.148677514845253
2024-Q1,3. La Rioja,5431,107631,5.045944012412781
2024-Q2,1. Resto país,1019949,13083220,7.79585606601433
2024-Q2,2. NOA-Resto,61274,1195134,5.126956475173495
2024-Q2,3. La Rioja,7003,107773,6.497916917966466
2024-Q3,1. Resto país,939866,13070559,7.190710053028336
2024-Q3,2. NOA-Resto,50946,1184148,4.302333829892885
2024-Q3,3. La Rioja,3522,107667,3.2711973027947283
2024-Q4,1. Resto país,871098,13208437,6.595011960915588
2024-Q4,2. NOA-Resto,60820,1211290,5.021093214671962
2024-Q4,3. La Rioja,4829,113504,4.2544756131942485
2025-Q1,1. Resto país,1069272,13090087,8.168562974409568
2025-Q1,2. NOA-Resto,62278,1195623,5.208832550059676
2025-Q1,3. La Rioja,4116,108765,3.784305613018894
2025-Q2,1. Resto país,1028982,13081886,7.865700710126965
2025-Q2,2. NOA-Resto,55813,1203834,4.636270449247986
2025-Q2,3. La Rioja,5803,109259,5.311232941908676
2025-Q3,1. Resto país,895994,13253671,6.760345869457601
2025-Q3,2. NOA-Resto,56852,1199306,4.740408202743921
2025-Q3,3. La Rioja,5072,111214,4.5605769057852426
2025-Q4,1. Resto país,1036441,13256182,7.818548357287189
2025-Q4,2. NOA-Resto,52570,1222303,4.300897567951646
2025-Q4,3. La Rioja,3968,117877,3.366220721599634
