anio,geocodigo,provincia,vab_millones_2004,la_rioja_region
2007,AR-S,Santa Fe,43484.70850450467,1. Resto país
2007,AR-G,Santiago del Estero,7164.796823714861,2. NOA-Resto
2007,AR-V,Tierra del Fuego,4259.4774937869715,1. Resto país
2007,AR-T,Tucumán,9767.33266263302,2. NOA-Resto
2008,AR-B,Buenos Aires,173707.72288392417,1. Resto país
2008,AR-C,CABA,117138.63951063761,1. Resto país
2008,AR-K,Catamarca,4556.185409043035,2. NOA-Resto
2008,AR-H,Chaco,7893.518770556102,1. Resto país
2008,AR-U,Chubut,11326.755684149424,1. Resto país
2008,AR-W,Corrientes,6342.719388541876,1. Resto país
2008,AR-X,Córdoba,46370.611280916615,1. Resto país
2008,AR-E,Entre Ríos,14105.849672978107,1. Resto país
2008,AR-P,Formosa,2948.366633568503,1. Resto país
2008,AR-Y,Jujuy,4639.601079863431,2. NOA-Resto
2008,AR-L,La Pampa,5579.9730548436255,1. Resto país
2008,AR-F,La Rioja,3083.524513554362,3. La Rioja
2008,AR-M,Mendoza,20460.114481890458,1. Resto país
2008,AR-N,Misiones,6302.007198376821,1. Resto país
2008,AR-Q,Neuquén,14018.740378224305,1. Resto país
2008,AR-R,Río Negro,7498.568888700255,1. Resto país
2008,AR-A,Salta,9596.607711476448,2. NOA-Resto
2008,AR-J,San Juan,6697.675487043129,1. Resto país
2008,AR-D,San Luis,5474.115235259079,1. Resto país
2008,AR-Z,Santa Cruz,8255.085305455861,1. Resto país
2008,AR-S,Santa Fe,44719.21186460518,1. Resto país
2008,AR-G,Santiago del Estero,7458.351562397037,2. NOA-Resto
2008,AR-V,Tierra del Fuego,4252.289666112132,1. Resto país
2008,AR-T,Tucumán,10291.690214785407,2. NOA-Resto
2009,AR-B,Buenos Aires,162737.54341611377,1. Resto país
2009,AR-C,CABA,113930.44540423097,1. Resto país
2009,AR-K,Catamarca,4158.00598505981,2. NOA-Resto
2009,AR-H,Chaco,7518.486481732507,1. Resto país
2009,AR-U,Chubut,10719.48141688076,1. Resto país
2009,AR-W,Corrientes,6146.1577979929325,1. Resto país
2009,AR-X,Córdoba,42137.31899589594,1. Resto país
2009,AR-E,Entre Ríos,13016.476178825573,1. Resto país
2009,AR-P,Formosa,2946.380913351659,1. Resto país
2009,AR-Y,Jujuy,4582.22455427787,2. NOA-Resto
2009,AR-L,La Pampa,5166.174207744922,1. Resto país
2009,AR-F,La Rioja,2972.1802210852984,3. La Rioja
2009,AR-M,Mendoza,19279.829530663348,1. Resto país
2009,AR-N,Misiones,5984.913455072045,1. Resto país
2009,AR-Q,Neuquén,13330.074204895616,1. Resto país
2009,AR-R,Río Negro,7265.080509000964,1. Resto país
2009,AR-A,Salta,9187.251850941399,2. NOA-Resto
2009,AR-J,San Juan,6765.919110486781,1. Resto país
2009,AR-D,San Luis,5194.003597768014,1. Resto país
2009,AR-Z,Santa Cruz,8437.505678054747,1. Resto país
2009,AR-S,Santa Fe,40020.19608239431,1. Resto país
2009,AR-G,Santiago del Estero,6377.302546295839,2. NOA-Resto
2009,AR-V,Tierra del Fuego,3831.3029018269544,1. Resto país
2009,AR-T,Tucumán,9844.599150312168,2. NOA-Resto
2010,AR-B,Buenos Aires,182269.33693986316,1. Resto país
2010,AR-C,CABA,120655.15237519846,1. Resto país
2010,AR-K,Catamarca,4259.239751162789,2. NOA-Resto
2010,AR-H,Chaco,8467.187833029226,1. Resto país
2010,AR-U,Chubut,11458.768602323511,1. Resto país
2010,AR-W,Corrientes,6496.763868723674,1. Resto país
2010,AR-X,Córdoba,47523.28149297794,1. Resto país
2010,AR-E,Entre Ríos,14954.008385108513,1. Resto país
2010,AR-P,Formosa,3100.3046268192775,1. Resto país
2010,AR-Y,Jujuy,5060.90252510888,2. NOA-Resto
2010,AR-L,La Pampa,5516.95175858215,1. Resto país
2010,AR-F,La Rioja,3282.873845962584,3. La Rioja
2010,AR-M,Mendoza,20145.172945051294,1. Resto país
2010,AR-N,Misiones,6468.6908635545315,1. Resto país
2010,AR-Q,Neuquén,13371.949372475256,1. Resto país
2010,AR-R,Río Negro,7692.065976336182,1. Resto país
2010,AR-A,Salta,9918.13896510284,2. NOA-Resto
2010,AR-J,San Juan,7882.314679278436,1. Resto país
2010,AR-D,San Luis,5561.41246261179,1. Resto país
2010,AR-Z,Santa Cruz,8624.743771582336,1. Resto país
2010,AR-S,Santa Fe,46304.36523266648,1. Resto país
2010,AR-G,Santiago del Estero,8390.523250390761,2. NOA-Resto
2010,AR-V,Tierra del Fuego,4812.189528128276,1. Resto país
2010,AR-T,Tucumán,10474.030477857297,2. NOA-Resto
2011,AR-B,Buenos Aires,193638.3165152875,1. Resto país
2011,AR-C,CABA,126646.75399574771,1. Resto país
2011,AR-K,Catamarca,4231.855095013623,2. NOA-Resto
2011,AR-H,Chaco,9356.35750823711,1. Resto país
2011,AR-U,Chubut,11917.564547769187,1. Resto país
2011,AR-W,Corrientes,7129.12807891337,1. Resto país
2011,AR-X,Córdoba,49660.89707397725,1. Resto país
2011,AR-E,Entre Ríos,15653.316549820926,1. Resto país
2011,AR-P,Formosa,3372.559232613471,1. Resto país
2011,AR-Y,Jujuy,5317.735136918633,2. NOA-Resto
2011,AR-L,La Pampa,5899.745282450161,1. Resto país
2011,AR-F,La Rioja,3460.6633689226396,3. La Rioja
2011,AR-M,Mendoza,21286.625291997534,1. Resto país
2011,AR-N,Misiones,6890.465907207836,1. Resto país
2011,AR-Q,Neuquén,13374.221019897424,1. Resto país
2011,AR-R,Río Negro,8273.49624116294,1. Resto país
2011,AR-A,Salta,10461.221803958191,2. NOA-Resto
2011,AR-J,San Juan,8298.24585670661,1. Resto país
2011,AR-D,San Luis,5907.646956054552,1. Resto país
2011,AR-Z,Santa Cruz,8600.132145826134,1. Resto país
2011,AR-S,Santa Fe,47627.4867516752,1. Resto país
2011,AR-G,Santiago del Estero,8891.230805307678,2. NOA-Resto
2011,AR-V,Tierra del Fuego,5967.517359276793,1. Resto país
2011,AR-T,Tucumán,11366.17830163894,2. NOA-Resto
2012,AR-B,Buenos Aires,192659.467346774,1. Resto país
2012,AR-C,CABA,124780.94368182395,1. Resto país
2012,AR-K,Catamarca,4326.093906418369,2. NOA-Resto
2012,AR-H,Chaco,8524.385441823115,1. Resto país
2012,AR-U,Chubut,11490.8649725293,1. Resto país
2012,AR-W,Corrientes,7167.112387447054,1. Resto país
2012,AR-X,Córdoba,47383.62463873097,1. Resto país
2012,AR-E,Entre Ríos,15594.778391664342,1. Resto país
2012,AR-P,Formosa,3375.4382698715826,1. Resto país
2012,AR-Y,Jujuy,5446.28169601939,2. NOA-Resto
2012,AR-L,La Pampa,5904.047691236079,1. Resto país
2012,AR-F,La Rioja,3333.5046082027775,3. La Rioja
2012,AR-M,Mendoza,21445.538408003198,1. Resto país
2012,AR-N,Misiones,6971.963933073057,1. Resto país
2012,AR-Q,Neuquén,12838.23082268295,1. Resto país
2012,AR-R,Río Negro,8428.350503925463,1. Resto país
2012,AR-A,Salta,9929.634629378415,2. NOA-Resto
2012,AR-J,San Juan,8372.92429618724,1. Resto país
2012,AR-D,San Luis,5823.114665609325,1. Resto país
2012,AR-Z,Santa Cruz,9212.686501727394,1. Resto país
2012,AR-S,Santa Fe,45930.21647172726,1. Resto país
2012,AR-G,Santiago del Estero,8183.76504136105,2. NOA-Resto
2012,AR-V,Tierra del Fuego,6426.001554341259,1. Resto país
2012,AR-T,Tucumán,11257.054084287522,2. NOA-Resto
2013,AR-B,Buenos Aires,196304.0611707295,1. Resto país
2013,AR-C,CABA,124883.37075653733,1. Resto país
2013,AR-K,Catamarca,4137.898631744011,2. NOA-Resto
2013,AR-H,Chaco,8943.206457758806,1. Resto país
2013,AR-U,Chubut,11845.076630322814,1. Resto país
2013,AR-W,Corrientes,7353.947986551492,1. Resto país
2013,AR-X,Córdoba,50922.606885005785,1. Resto país
2013,AR-E,Entre Ríos,16112.887389498033,1. Resto país
2013,AR-P,Formosa,3460.1020785069295,1. Resto país
2013,AR-Y,Jujuy,5467.744686933372,2. NOA-Resto
2013,AR-L,La Pampa,5959.897276703966,1. Resto país
2013,AR-F,La Rioja,3489.539524733442,3. La Rioja
2013,AR-M,Mendoza,21583.071611350122,1. Resto país
2013,AR-N,Misiones,7275.60287575051,1. Resto país
2013,AR-Q,Neuquén,12817.811729117544,1. Resto país
2013,AR-R,Río Negro,8704.659686288845,1. Resto país
2013,AR-A,Salta,9513.381554070746,2. NOA-Resto
2013,AR-J,San Juan,8581.759295078282,1. Resto país
2013,AR-D,San Luis,6233.473941982881,1. Resto país
2013,AR-Z,Santa Cruz,9310.183369911552,1. Resto país
2013,AR-S,Santa Fe,47948.06867151824,1. Resto país
2013,AR-G,Santiago del Estero,9193.92253352994,2. NOA-Resto
2013,AR-V,Tierra del Fuego,6431.323604196878,1. Resto país
2013,AR-T,Tucumán,11206.705392361893,2. NOA-Resto
2014,AR-B,Buenos Aires,189414.56342704743,1. Resto país
2014,AR-C,CABA,122315.64532211225,1. Resto país
2014,AR-K,Catamarca,4262.849545695977,2. NOA-Resto
2014,AR-H,Chaco,9653.221992207664,1. Resto país
2014,AR-U,Chubut,12152.826072432475,1. Resto país
2014,AR-W,Corrientes,7382.160614032075,1. Resto país
2014,AR-X,Córdoba,50256.4252599618,1. Resto país
2014,AR-E,Entre Ríos,15885.138940041174,1. Resto país
2014,AR-P,Formosa,3418.3239517550514,1. Resto país
2014,AR-Y,Jujuy,5513.580542780318,2. NOA-Resto
2014,AR-L,La Pampa,5680.719856299529,1. Resto país
2014,AR-F,La Rioja,3366.1925939243497,3. La Rioja
2014,AR-M,Mendoza,21037.522004319362,1. Resto país
2014,AR-N,Misiones,7340.602956224029,1. Resto país
2014,AR-Q,Neuquén,13275.002822234464,1. Resto país
2014,AR-R,Río Negro,8528.237966104673,1. Resto país
2014,AR-A,Salta,10031.923707575545,2. NOA-Resto
2014,AR-J,San Juan,8172.512306221966,1. Resto país
2014,AR-D,San Luis,6090.028678574018,1. Resto país
2014,AR-Z,Santa Cruz,9423.042164097466,1. Resto país
2014,AR-S,Santa Fe,46297.799345092375,1. Resto país
2014,AR-G,Santiago del Estero,10641.944702790763,2. NOA-Resto
2014,AR-V,Tierra del Fuego,5720.507279805044,1. Resto país
2014,AR-T,Tucumán,10967.686398797348,2. NOA-Resto
2015,AR-B,Buenos Aires,195353.40957580585,1. Resto país
2015,AR-C,CABA,124107.99636069649,1. Resto país
2015,AR-K,Catamarca,3854.91070259197,2. NOA-Resto
2015,AR-H,Chaco,9543.211289147106,1. Resto país
2015,AR-U,Chubut,12251.615443188412,1. Resto país
2015,AR-W,Corrientes,7585.72312320897,1. Resto país
2015,AR-X,Córdoba,52252.09352634016,1. Resto país
2015,AR-E,Entre Ríos,16447.984584973347,1. Resto país
2015,AR-P,Formosa,3621.6033192418004,1. Resto país
2015,AR-Y,Jujuy,5771.744856525733,2. NOA-Resto
2015,AR-L,La Pampa,5989.238107158972,1. Resto país
2015,AR-F,La Rioja,3440.8448954392106,3. La Rioja
2015,AR-M,Mendoza,21786.253841590482,1. Resto país
2015,AR-N,Misiones,7555.406211776997,1. Resto país
2015,AR-Q,Neuquén,13975.134470269695,1. Resto país
2015,AR-R,Río Negro,8788.932137618656,1. Resto país
2015,AR-A,Salta,10806.70486699804,2. NOA-Resto
2015,AR-J,San Juan,7904.443368712265,1. Resto país
2015,AR-D,San Luis,6432.568971569377,1. Resto país
2015,AR-Z,Santa Cruz,10294.44991128173,1. Resto país
2015,AR-S,Santa Fe,47210.34517120949,1. Resto país
2015,AR-G,Santiago del Estero,10470.096565766697,2. NOA-Resto
2015,AR-V,Tierra del Fuego,5913.048245643804,1. Resto país
2015,AR-T,Tucumán,11278.710654484237,2. NOA-Resto
2016,AR-B,Buenos Aires,191212.38691017136,1. Resto país
2016,AR-C,CABA,123069.3193121094,1. Resto país
2016,AR-K,Catamarca,3857.1527766440363,2. NOA-Resto
2016,AR-H,Chaco,9428.18462037238,1. Resto país
2016,AR-U,Chubut,11777.00934232591,1. Resto país
2016,AR-W,Corrientes,7432.8506902449035,1. Resto país
2016,AR-X,Córdoba,51437.995500033445,1. Resto país
2016,AR-E,Entre Ríos,15682.531774171626,1. Resto país
2016,AR-P,Formosa,3607.714274678607,1. Resto país
2016,AR-Y,Jujuy,5561.802770859292,2. NOA-Resto
2016,AR-L,La Pampa,6197.514048229146,1. Resto país
2016,AR-F,La Rioja,3390.732274539304,3. La Rioja
2016,AR-M,Mendoza,20738.70823267396,1. Resto país
2016,AR-N,Misiones,7372.985553595276,1. Resto país
2016,AR-Q,Neuquén,13721.911144564549,1. Resto país
2016,AR-R,Río Negro,8535.025388469452,1. Resto país
2016,AR-A,Salta,10443.627416951096,2. NOA-Resto
2016,AR-J,San Juan,7529.823500885285,1. Resto país
2016,AR-D,San Luis,6231.761709297074,1. Resto país
2016,AR-Z,Santa Cruz,9512.294785071352,1. Resto país
2016,AR-S,Santa Fe,44693.68049964766,1. Resto país
2016,AR-G,Santiago del Estero,10765.440389927964,2. NOA-Resto
2016,AR-V,Tierra del Fuego,5633.012679839971,1. Resto país
2016,AR-T,Tucumán,11461.029315911988,2. NOA-Resto
2017,AR-B,Buenos Aires,196053.7386380993,1. Resto país
2017,AR-C,CABA,125851.40755819695,1. Resto país
2017,AR-K,Catamarca,3797.491593175459,2. NOA-Resto
2017,AR-H,Chaco,9798.786524271296,1. Resto país
2017,AR-U,Chubut,12100.409690285172,1. Resto país
2017,AR-W,Corrientes,7791.113605031898,1. Resto país
2017,AR-X,Córdoba,52518.31448647719,1. Resto país
2017,AR-E,Entre Ríos,16467.48357522382,1. Resto país
2017,AR-P,Formosa,3700.083498746916,1. Resto país
2017,AR-Y,Jujuy,5729.807658597462,2. NOA-Resto
2017,AR-L,La Pampa,6017.231881698818,1. Resto país
2017,AR-F,La Rioja,3500.4297548849117,3. La Rioja
2017,AR-M,Mendoza,20987.501030313364,1. Resto país
2017,AR-N,Misiones,7552.488313134425,1. Resto país
2017,AR-Q,Neuquén,13632.347899218712,1. Resto país
2017,AR-R,Río Negro,8635.749256561829,1. Resto país
2017,AR-A,Salta,10832.79776298491,2. NOA-Resto
2017,AR-J,San Juan,7705.027767105922,1. Resto país
2017,AR-D,San Luis,6317.333997739299,1. Resto país
2017,AR-Z,Santa Cruz,9289.215381475307,1. Resto país
2017,AR-S,Santa Fe,47304.20878126334,1. Resto país
2017,AR-G,Santiago del Estero,11407.750990289485,2. NOA-Resto
2017,AR-V,Tierra del Fuego,5667.262069982659,1. Resto país
