tipo,serie,ANO4,TRIMESTRE,rama,empleados_publicos,empleados_publicos_tot,share,n_obs
agregado,2. NOA-Resto,2023,3,Salud y asistencia social,69053,451742,0.1528593754842366,242
agregado,2. NOA-Resto,2023,3,"Electricidad, gas y agua",1372,451742,0.0030371318141771187,5
agregado,2. NOA-Resto,2023,3,Transporte,1981,451742,0.004385246445980227,9
agregado,2. NOA-Resto,2023,3,Finanzas y seguros,2293,451742,0.00507590615882517,9
agregado,2. NOA-Resto,2023,3,Construcción,5666,451742,0.012542557477498217,25
agregado,2. NOA-Resto,2023,3,Servicios de seguridad / edificios,16273,451742,0.03602277406130048,56
agregado,2. NOA-Resto,2023,3,Otros,28528,451742,0.06315109066679653,109
agregado,2. NOA-Resto,2023,3,Sin clasificar / NsNr,605,451742,0.0013392600200999687,2
agregado,3. La Rioja,2023,3,Adm. pública y defensa,42698,73053,0.5844797612692155,337
agregado,3. La Rioja,2023,3,Enseñanza,15881,73053,0.21739011402680247,131
agregado,3. La Rioja,2023,3,Salud y asistencia social,8241,73053,0.1128085088908053,60
agregado,3. La Rioja,2023,3,"Electricidad, gas y agua",593,73053,0.008117394220634334,6
agregado,3. La Rioja,2023,3,Transporte,511,73053,0.006994921495352689,4
agregado,3. La Rioja,2023,3,Finanzas y seguros,111,73053,0.0015194447866617388,1
agregado,3. La Rioja,2023,3,Construcción,1079,73053,0.014770098421693838,5
agregado,3. La Rioja,2023,3,Servicios de seguridad / edificios,126,73053,0.0017247751632376493,1
agregado,3. La Rioja,2023,3,Otros,3388,73053,0.04637728772261235,24
agregado,3. La Rioja,2023,3,Sin clasificar / NsNr,425,73053,0.005817694002984135,4
agregado,1. Resto país,2024,3,Adm. pública y defensa,1330096,3053197,0.4356404123284544,2382
agregado,1. Resto país,2024,3,Enseñanza,968450,3053197,0.3171921104337519,1734
agregado,1. Resto país,2024,3,Salud y asistencia social,399270,3053197,0.13077112285908835,643
agregado,1. Resto país,2024,3,"Electricidad, gas y agua",37669,3053197,0.012337559613742579,62
agregado,1. Resto país,2024,3,Transporte,49439,3053197,0.016192535234378917,70
agregado,1. Resto país,2024,3,Finanzas y seguros,35894,3053197,0.011756201778005152,41
agregado,1. Resto país,2024,3,Construcción,12406,3053197,0.004063281864878028,48
agregado,1. Resto país,2024,3,Servicios de seguridad / edificios,33761,3053197,0.011057589798496461,63
agregado,1. Resto país,2024,3,Otros,176850,3053197,0.0579228919719232,305
agregado,1. Resto país,2024,3,Sin clasificar / NsNr,9362,3053197,0.0030662941172810007,9
agregado,2. NOA-Resto,2024,3,Adm. pública y defensa,202790,425658,0.4764153381353105,825
agregado,2. NOA-Resto,2024,3,Enseñanza,119029,425658,0.2796352940623693,514
agregado,2. NOA-Resto,2024,3,Salud y asistencia social,65213,425658,0.1532051553124809,227
agregado,2. NOA-Resto,2024,3,"Electricidad, gas y agua",1874,425658,0.004402595510950106,4
agregado,2. NOA-Resto,2024,3,Transporte,2914,425658,0.006845871568254326,12
agregado,2. NOA-Resto,2024,3,Finanzas y seguros,732,425658,0.0017196904557179708,4
agregado,2. NOA-Resto,2024,3,Construcción,4542,425658,0.010670538319495933,27
agregado,2. NOA-Resto,2024,3,Servicios de seguridad / edificios,11636,425658,0.027336500194992223,42
agregado,2. NOA-Resto,2024,3,Otros,16638,425658,0.039087718309065024,70
agregado,2. NOA-Resto,2024,3,Sin clasificar / NsNr,290,425658,6.81298131363677e-4,1
agregado,3. La Rioja,2024,3,Adm. pública y defensa,36864,74983,0.4916314364589307,269
agregado,3. La Rioja,2024,3,Enseñanza,14863,74983,0.19821826280623608,121
agregado,3. La Rioja,2024,3,Salud y asistencia social,8806,74983,0.11743995305602603,57
agregado,3. La Rioja,2024,3,"Electricidad, gas y agua",602,74983,0.008028486456930238,5
agregado,3. La Rioja,2024,3,Transporte,285,74983,0.0038008615286131524,3
agregado,3. La Rioja,2024,3,Finanzas y seguros,158,74983,0.0021071442860381684,2
agregado,3. La Rioja,2024,3,Construcción,2891,74983,0.03855540589200219,16
