fecha,la_rioja_region,salario_nominal,salario_sa,salario_real_sa,ipc_nacional,indice_salario_real_sa,indice_salario_sa,indice_ipc,fecha_base
2016-12-01,1. Resto país,32284.56373311702,24085.5859775312,24085.5859775312,100,112.08694431093839,1.4252944139860124,1.2715971719526304,2025-01-01
2016-12-01,2. NOA-Resto,24044.03610351159,17870.9456122143,17870.9456122143,100,113.9521789456452,1.4490126848512253,1.2715971719526304,2025-01-01
2016-12-01,3. La Rioja,24539.49816725487,17096.8875968484,17096.8875968484,100,116.54558734645404,1.4819903927330922,1.2715971719526304,2025-01-01
2017-01-01,1. Resto país,23213.073496087127,24169.9180692225,23792.59136279986,101.5859,110.72343706243579,1.4302848700753723,1.2917634315026272,2025-01-01
2017-01-01,2. NOA-Resto,17223.695363067825,17480.1787263482,17207.288340555333,101.5859,109.72043912506328,1.4173285095016686,1.2917634315026272,2025-01-01
2017-01-01,3. La Rioja,17322.16823027145,17305.1615024109,17035.003383748044,101.5859,116.12373676561594,1.5000439668325982,1.2917634315026272,2025-01-01
2017-02-01,1. Resto país,22986.54398127843,24470.2090616294,23600.32469374274,103.6859,109.82868683931235,1.448054961882445,1.3184669721136324,2025-01-01
2017-02-01,2. NOA-Resto,16477.249971622557,17883.9937741069,17248.240864097144,103.6859,109.98156852426658,1.4500706564049772,1.3184669721136324,2025-01-01
2017-02-01,3. La Rioja,13660.630768377676,17081.3984845742,16474.176801835354,103.6859,112.30070973696733,1.4806477673311123,1.3184669721136324,2025-01-01
2017-03-01,1. Resto país,23322.777265383385,24699.0636282559,23268.602990793857,106.1476,108.28495557697782,1.461597714619797,1.3497698796955904,2025-01-01
2017-03-01,2. NOA-Resto,16993.966819372865,17975.5732775963,16934.507494843314,106.1476,107.98108115162312,1.457496109154261,1.3497698796955904,2025-01-01
2017-03-01,3. La Rioja,13586.329163131091,17039.1743120989,16052.340620135454,106.1476,109.42514859861937,1.4769876965963058,1.3497698796955904,2025-01-01
2017-04-01,1. Resto país,23386.56958119469,25552.2033605593,23449.55234999252,108.9667,109.12703850435693,1.512083316088489,1.385617475570107,2025-01-01
2017-04-01,2. NOA-Resto,17102.333204772844,18380.9537448073,16868.413694098563,108.9667,107.55964107939123,1.4903651834565286,1.385617475570107,2025-01-01
2017-04-01,3. La Rioja,15455.251466208416,17599.8764829849,16151.61006342754,108.9667,110.10184577572221,1.5255904159936546,1.385617475570107,2025-01-01
2017-05-01,1. Resto país,24054.11836474128,25886.9207443096,23420.697840958794,110.5301,108.99275845195545,1.5318906322886578,1.4054976257564145,2025-01-01
2017-05-01,2. NOA-Resto,17486.559467371615,18983.4785781318,17174.94020011906,110.5301,109.5141746571644,1.5392191246731788,1.4054976257564145,2025-01-01
2017-05-01,3. La Rioja,16071.636069159931,18025.4938927153,16308.221826195128,110.5301,111.16943247965986,1.5624837340684996,1.4054976257564145,2025-01-01
2017-06-01,1. Resto país,35442.20673155964,26911.1967999062,24060.57236751958,111.8477,111.97053862684987,1.5925034378804903,1.4222521900940623,2025-01-01
2017-06-01,2. NOA-Resto,25756.970973333446,19710.9755391006,17623.04950311951,111.8477,112.37149584154623,1.5982060606478496,1.4222521900940623,2025-01-01
2017-06-01,3. La Rioja,24248.67705305436,18447.3643618678,16493.288965144387,111.8477,112.43099299967787,1.5990522602824202,1.4222521900940623,2025-01-01
2017-07-01,1. Resto país,25857.19349918251,27624.2626659137,24277.553377692086,113.7852,112.98030182822785,1.634699994633259,1.4468893853006446,2025-01-01
2017-07-01,2. NOA-Resto,18692.517637973542,20226.4642572356,17776.006244428623,113.7852,113.34680819125683,1.6400029362963766,1.4468893853006446,2025-01-01
2017-07-01,3. La Rioja,18343.034417199902,19040.7100420418,16733.907434395507,113.7852,114.0712342813978,1.650484580498975,1.4468893853006446,2025-01-01
2017-08-01,1. Resto país,25851.524679725277,27819.2401573372,24110.575538569916,115.3819,112.20323807846869,1.6462380294412216,1.4671929773452121,2025-01-01
2017-08-01,2. NOA-Resto,18898.77452747855,20551.4249272619,17811.654104553574,115.3819,113.57411296986974,1.6663514095760468,1.4671929773452121,2025-01-01
2017-08-01,3. La Rioja,18880.71206884711,19588.9835820411,16977.518642040995,115.3819,115.73187637887852,1.698009962780748,1.4671929773452121,2025-01-01
2017-09-01,1. Resto país,25975.41493263634,28172.8350608266,23962.21806471325,117.5719,111.51282780878306,1.6671624462782255,1.495040955410975,2025-01-01
2017-09-01,2. NOA-Resto,18768.4746708924,20625.2300418974,17542.65265926416,117.5719,111.85885394019054,1.6723356786591916,1.495040955410975,2025-01-01
2017-09-01,3. La Rioja,19171.878931297742,20026.1296299937,17033.091776175854,117.5719,116.11070577234217,1.7359026049132502,1.495040955410975,2025-01-01
2017-10-01,1. Resto país,26970.292031197012,28739.56622844,24079.50733325066,119.3528,112.058656161188,1.700699465812842,1.5176868294462793,2025-01-01
2017-10-01,2. NOA-Resto,19965.193837205945,21018.7958463155,17610.64327465757,119.3528,112.29238884875403,1.7042467960281422,1.5176868294462793,2025-01-01
2017-10-01,3. La Rioja,20460.86562929458,20377.78869999,17073.574059418796,119.3528,116.38666427361605,1.7663850749125292,1.5176868294462793,2025-01-01
2017-11-01,1. Resto país,26871.91164768706,28905.5388553649,23890.059718138833,120.994,111.17702495218653,1.7105211018009108,1.5385562822323657,2025-01-01
2017-11-01,2. NOA-Resto,19976.346856429867,21233.5121616455,17549.227368006264,120.994,111.9007768693602,1.7216564323903634,1.5385562822323657,2025-01-01
2017-11-01,3. La Rioja,20479.93843330994,20651.2284500455,17067.977296432466,120.994,116.3485124155199,1.7900873470528855,1.5385562822323657,2025-01-01
2017-12-01,1. Resto país,39971.47207389307,29818.1524164705,23893.59273601834,124.7956,111.19346653590716,1.764526140830691,1.5868973203213168,2025-01-01
2017-12-01,2. NOA-Resto,28949.64572029925,21531.983893146,17253.800529142056,124.7956,110.01701913554494,1.7458571285593527,1.5868973203213168,2025-01-01
2017-12-01,3. La Rioja,30736.249821360423,21123.1126809215,16926.16781434722,124.7956,115.38182948640198,1.830991160257424,1.5868973203213168,2025-01-01
2018-01-01,1. Resto país,28890.65258839591,30026.5013343638,23645.01828459052,126.9887,110.03667712998181,1.7768554463792614,1.61478471789941,2025-01-01
2018-01-01,2. NOA-Resto,21463.10884405889,21795.3973490275,17163.257320554898,126.9887,109.43968002148124,1.7672152283048927,1.61478471789941,2025-01-01
2018-01-01,3. La Rioja,21188.54865055828,21484.9461264319,16918.785786791974,126.9887,115.33150788649905,1.8623555642741396,1.61478471789941,2025-01-01
2018-02-01,1. Resto país,28600.57345226149,30373.9994307668,23353.72851637375,130.0606,108.68110371528817,1.7974190770974847,1.6538469114246228,2025-01-01
2018-02-01,2. NOA-Resto,20213.203552613097,21909.8276566633,16845.860819236033,130.0606,107.41583507786005,1.7764934708161548,1.6538469114246228,2025-01-01
