anio,la_rioja_region,sector_macro,vab_millones_2004,share
2004,1. Resto país,Agro,36615.52979048912,0.0957886795970303
2004,1. Resto país,Minería,21646.87047770027,0.05662966376101552
2004,1. Resto país,Industria,87200.87374411413,0.22812332918437503
2004,1. Resto país,Construcción,13745.587532701406,0.03595937809931333
2004,1. Resto país,Comercio,54984.546305682314,0.14384325773789994
2004,1. Resto país,Adm. pública,19121.293361549568,0.05002258478221044
2004,1. Resto país,Servicios,148938.50391101546,0.38963310683815533
2004,2. NOA-Resto,Agro,3836.268030944455,0.14021552762583897
2004,2. NOA-Resto,Minería,2669.889717045632,0.09758442120275708
2004,2. NOA-Resto,Industria,3948.9576218586462,0.14433433014967706
2004,2. NOA-Resto,Construcción,1037.1810861127224,0.0379089500680777
2004,2. NOA-Resto,Comercio,4648.355387667153,0.1698973059277354
2004,2. NOA-Resto,Adm. pública,1863.9960018973377,0.06812902038915794
2004,2. NOA-Resto,Servicios,9355.146721459696,0.34193044463675576
2004,3. La Rioja,Agro,115.89539392946644,0.04598383965128286
2004,3. La Rioja,Minería,5.045624548647811,0.00200195350582096
2004,3. La Rioja,Industria,716.4991240978976,0.2842855070914554
2004,3. La Rioja,Construcción,121.95677068560474,0.04838881337258458
2004,3. La Rioja,Comercio,401.69374917943225,0.1593801127457343
2004,3. La Rioja,Adm. pública,305.655939916205,0.1212751711092409
2004,3. La Rioja,Servicios,853.6039122660541,0.33868460252388105
2005,1. Resto país,Agro,44064.303714265996,0.1054104703471268
2005,1. Resto país,Minería,21343.5526954641,0.05105797071245141
2005,1. Resto país,Industria,93815.72928278426,0.22442565333116457
2005,1. Resto país,Construcción,15263.802995980885,0.03651401514308553
2005,1. Resto país,Comercio,60948.743651149874,0.14580136740602043
2005,1. Resto país,Adm. pública,20319.37313057141,0.04860793200639779
2005,1. Resto país,Servicios,162270.3658607623,0.3881825910537534
2005,2. NOA-Resto,Agro,3994.204338252148,0.1357894831923867
2005,2. NOA-Resto,Minería,2895.947953967361,0.09845246830645576
2005,2. NOA-Resto,Industria,4085.804847771954,0.1389035917342889
2005,2. NOA-Resto,Construcción,1312.3778083765908,0.04461642151002151
2005,2. NOA-Resto,Comercio,4888.71278850951,0.16619975514778262
2005,2. NOA-Resto,Adm. pública,2024.7813387649744,0.06883574005850675
2005,2. NOA-Resto,Servicios,10212.851975857997,0.34720254005055773
2005,3. La Rioja,Agro,131.23783211117882,0.04827282078873504
2005,3. La Rioja,Minería,6.848471305281802,0.00251905279657924
2005,3. La Rioja,Industria,784.1803908542379,0.2884427368601921
2005,3. La Rioja,Construcción,187.06410253018015,0.06880723151381406
2005,3. La Rioja,Comercio,451.26744027071743,0.16598835809422047
2005,3. La Rioja,Adm. pública,244.23074763718083,0.08983466826700315
2005,3. La Rioja,Servicios,913.8402367468816,0.33613513167945586
2006,1. Resto país,Agro,42880.484901297306,0.0955654242886141
2006,1. Resto país,Minería,22611.06354687742,0.05039205798273943
2006,1. Resto país,Industria,102321.50415969636,0.2280384184408964
2006,1. Resto país,Construcción,17249.601872891064,0.03844325747684431
2006,1. Resto país,Comercio,66908.44472381541,0.14911524259207376
2006,1. Resto país,Adm. pública,21010.786761688796,0.04682560740952906
2006,1. Resto país,Servicios,175721.03374029312,0.39161999180930285
2006,2. NOA-Resto,Agro,4933.167669526483,0.1506079475349024
2006,2. NOA-Resto,Minería,2936.960474865334,0.08966441417407933
2006,2. NOA-Resto,Industria,4535.363896023259,0.1384631323041015
2006,2. NOA-Resto,Construcción,1388.746457153959,0.04239796162825359
2006,2. NOA-Resto,Comercio,5827.156984514432,0.17790114023949827
2006,2. NOA-Resto,Adm. pública,2082.737752207584,0.06358528214054177
2006,2. NOA-Resto,Servicios,11050.89563550517,0.33738012197862305
2006,3. La Rioja,Agro,122.8317711644902,0.04307296380210495
2006,3. La Rioja,Minería,8.054395037867838,0.00282440497784036
2006,3. La Rioja,Industria,809.035663771623,0.28370154993190605
2006,3. La Rioja,Construcción,199.44514977218657,0.06993869448596131
2006,3. La Rioja,Comercio,481.11485152304664,0.16871076911002136
2006,3. La Rioja,Adm. pública,230.3510258571195,0.0807763439740239
2006,3. La Rioja,Servicios,1000.8810794588118,0.35097527371814197
2007,1. Resto país,Agro,46745.1805821272,0.09642952972873692
2007,1. Resto país,Minería,22041.294805953097,0.0454684668297796
2007,1. Resto país,Industria,109985.31910919244,0.2268861188830144
2007,1. Resto país,Construcción,19153.747635427917,0.03951181392447989
2007,1. Resto país,Comercio,74704.22070337615,0.15410557369699482
2007,1. Resto país,Adm. pública,22171.449498084057,0.04573695987222548
2007,1. Resto país,Servicios,189958.80582235922,0.3918615370647688
2007,2. NOA-Resto,Agro,5149.174000574054,0.14584081226089146
2007,2. NOA-Resto,Minería,2883.5049631200804,0.0816699350095494
2007,2. NOA-Resto,Industria,4923.33571080071,0.13944436117641013
2007,2. NOA-Resto,Construcción,1525.123362651207,0.043196293227286
2007,2. NOA-Resto,Comercio,6519.562841045413,0.1846545368670755
2007,2. NOA-Resto,Adm. pública,2234.5283623358837,0.0632888753316034
2007,2. NOA-Resto,Servicios,12071.581800560438,0.34190518612718407
2007,3. La Rioja,Agro,134.74680947263494,0.04306554525126695
2007,3. La Rioja,Minería,6.382592775833033,0.00203989867429008
