jurisdiccion,fecha,puestos_miles
Corrientes,2011-10-01,71.133
Córdoba,2011-10-01,501.221
Entre Ríos,2011-10-01,134.716
Formosa,2011-10-01,26.31
Jujuy,2011-10-01,55.514
La Pampa,2011-10-01,36.786
La Rioja,2011-10-01,30.351
Mendoza,2011-10-01,243.028
Misiones,2011-10-01,96.632
Neuquén,2011-10-01,90.536
Río Negro,2011-10-01,100.617
Salta,2011-10-01,111.755
San Juan,2011-10-01,84.724
San Luis,2011-10-01,55.971
Santa Cruz,2011-10-01,59.555
Santa Fe,2011-10-01,491.194
Santiago del Estero,2011-10-01,48.233
Tierra del Fuego,2011-10-01,35.512
Tucumán,2011-10-01,161.699
Buenos Aires,2011-11-01,1900.645
C.A.B.A.,2011-11-01,1537.03
Catamarca,2011-11-01,30.99
Chaco,2011-11-01,66.683
Chubut,2011-11-01,94.71
Corrientes,2011-11-01,71.488
Córdoba,2011-11-01,502.391
Entre Ríos,2011-11-01,135.885
Formosa,2011-11-01,26.344
Jujuy,2011-11-01,55.439
La Pampa,2011-11-01,36.644
La Rioja,2011-11-01,30.198
Mendoza,2011-11-01,242.63
Misiones,2011-11-01,96.917
Neuquén,2011-11-01,90.554
Río Negro,2011-11-01,100.776
Salta,2011-11-01,112.364
San Juan,2011-11-01,85.507
San Luis,2011-11-01,55.843
Santa Cruz,2011-11-01,59.863
Santa Fe,2011-11-01,492.516
Santiago del Estero,2011-11-01,47.999
Tierra del Fuego,2011-11-01,35.779
Tucumán,2011-11-01,161.174
Buenos Aires,2011-12-01,1901.586
C.A.B.A.,2011-12-01,1537.57
Catamarca,2011-12-01,30.929
Chaco,2011-12-01,66.73
Chubut,2011-12-01,94.858
Corrientes,2011-12-01,71.195
Córdoba,2011-12-01,501.779
Entre Ríos,2011-12-01,135.693
Formosa,2011-12-01,26.152
Jujuy,2011-12-01,55.781
La Pampa,2011-12-01,36.349
La Rioja,2011-12-01,30.253
Mendoza,2011-12-01,242.043
Misiones,2011-12-01,97.022
Neuquén,2011-12-01,90.287
Río Negro,2011-12-01,100.145
Salta,2011-12-01,111.299
San Juan,2011-12-01,85.436
San Luis,2011-12-01,56.105
Santa Cruz,2011-12-01,60.228
Santa Fe,2011-12-01,492.951
Santiago del Estero,2011-12-01,47.915
Tierra del Fuego,2011-12-01,35.961
Tucumán,2011-12-01,161.593
Buenos Aires,2012-01-01,1909.681
C.A.B.A.,2012-01-01,1533.388
Catamarca,2012-01-01,30.759
Chaco,2012-01-01,66.877
Chubut,2012-01-01,94.461
Corrientes,2012-01-01,71.162
Córdoba,2012-01-01,499.441
Entre Ríos,2012-01-01,135.627
Formosa,2012-01-01,26.227
Jujuy,2012-01-01,55.756
La Pampa,2012-01-01,36.055
La Rioja,2012-01-01,30.498
Mendoza,2012-01-01,240.251
Misiones,2012-01-01,96.556
Neuquén,2012-01-01,89.512
Río Negro,2012-01-01,100.046
Salta,2012-01-01,110.466
San Juan,2012-01-01,85.823
San Luis,2012-01-01,56.231
Santa Cruz,2012-01-01,60.542
Santa Fe,2012-01-01,492.625
Santiago del Estero,2012-01-01,47.782
Tierra del Fuego,2012-01-01,35.492
Tucumán,2012-01-01,161.839
Buenos Aires,2012-02-01,1910.636
C.A.B.A.,2012-02-01,1531.528
Catamarca,2012-02-01,30.222
Chaco,2012-02-01,67.003
Chubut,2012-02-01,94.049
Corrientes,2012-02-01,71.043
Córdoba,2012-02-01,497.994
Entre Ríos,2012-02-01,135.851
Formosa,2012-02-01,26.465
Jujuy,2012-02-01,55.862
La Pampa,2012-02-01,35.81
La Rioja,2012-02-01,27.696
Mendoza,2012-02-01,241.819
Misiones,2012-02-01,93.176
Neuquén,2012-02-01,89.532
Río Negro,2012-02-01,99.865
Salta,2012-02-01,109.758
San Juan,2012-02-01,85.814
San Luis,2012-02-01,56.223
Santa Cruz,2012-02-01,60.602
Santa Fe,2012-02-01,492.547
Santiago del Estero,2012-02-01,47.529
Tierra del Fuego,2012-02-01,35.819
Tucumán,2012-02-01,161.714
Buenos Aires,2012-03-01,1918.239
C.A.B.A.,2012-03-01,1533.504
Catamarca,2012-03-01,30.395
Chaco,2012-03-01,67.443
Chubut,2012-03-01,94.148
Corrientes,2012-03-01,71.07
Córdoba,2012-03-01,497.987
Entre Ríos,2012-03-01,135.585
Formosa,2012-03-01,26.16
Jujuy,2012-03-01,55.401
La Pampa,2012-03-01,35.563
La Rioja,2012-03-01,28.676
Mendoza,2012-03-01,243.441
Misiones,2012-03-01,96.375
Neuquén,2012-03-01,90.049
Río Negro,2012-03-01,100.854
Salta,2012-03-01,108.823
San Juan,2012-03-01,86.415
San Luis,2012-03-01,56.474
Santa Cruz,2012-03-01,61.223
Santa Fe,2012-03-01,492.513
Santiago del Estero,2012-03-01,47.475
Tierra del Fuego,2012-03-01,36.506
Tucumán,2012-03-01,159.601
Buenos Aires,2012-04-01,1910.398
C.A.B.A.,2012-04-01,1529.929
Catamarca,2012-04-01,30.025
Chaco,2012-04-01,67.473
Chubut,2012-04-01,93.925
Corrientes,2012-04-01,71.182
Córdoba,2012-04-01,496.37
Entre Ríos,2012-04-01,134.643
Formosa,2012-04-01,25.936
Jujuy,2012-04-01,55.081
La Pampa,2012-04-01,35.463
La Rioja,2012-04-01,28.421
Mendoza,2012-04-01,244.205
Misiones,2012-04-01,95.948
Neuquén,2012-04-01,90.716
Río Negro,2012-04-01,100.28
Salta,2012-04-01,108.86
San Juan,2012-04-01,86.503
San Luis,2012-04-01,56.387
Santa Cruz,2012-04-01,61.236
Santa Fe,2012-04-01,492.498
Santiago del Estero,2012-04-01,47.109
Tierra del Fuego,2012-04-01,36.8
Tucumán,2012-04-01,156.761
Buenos Aires,2012-05-01,1914.971
C.A.B.A.,2012-05-01,1528.966
Catamarca,2012-05-01,29.967
Chaco,2012-05-01,67.69
Chubut,2012-05-01,94.403
Corrientes,2012-05-01,70.884
Córdoba,2012-05-01,496.407
Entre Ríos,2012-05-01,135.371
Formosa,2012-05-01,25.889
Jujuy,2012-05-01,54.968
La Pampa,2012-05-01,35.51
La Rioja,2012-05-01,28.864
Mendoza,2012-05-01,243.818
Misiones,2012-05-01,96.015
Neuquén,2012-05-01,90.795
Río Negro,2012-05-01,101.212
Salta,2012-05-01,109.291
San Juan,2012-05-01,87.13
San Luis,2012-05-01,56.389
Santa Cruz,2012-05-01,61.257
Santa Fe,2012-05-01,492.332
Santiago del Estero,2012-05-01,47.036
Tierra del Fuego,2012-05-01,37.208
Tucumán,2012-05-01,161.121
Buenos Aires,2012-06-01,1913.608
C.A.B.A.,2012-06-01,1527.152
Catamarca,2012-06-01,29.97
Chaco,2012-06-01,67.585
Chubut,2012-06-01,94.674
Corrientes,2012-06-01,71.075
Córdoba,2012-06-01,496.965
Entre Ríos,2012-06-01,134.605
Formosa,2012-06-01,25.483
Jujuy,2012-06-01,54.786
La Pampa,2012-06-01,35.573
La Rioja,2012-06-01,28.88
Mendoza,2012-06-01,244.558
Misiones,2012-06-01,95.997
Neuquén,2012-06-01,91.259
Río Negro,2012-06-01,100.952
Salta,2012-06-01,109.744
San Juan,2012-06-01,87.307
San Luis,2012-06-01,56.267
Santa Cruz,2012-06-01,60.988
Santa Fe,2012-06-01,491.725
Santiago del Estero,2012-06-01,46.721
Tierra del Fuego,2012-06-01,37.43
Tucumán,2012-06-01,161.927
Buenos Aires,2012-07-01,1914.891
C.A.B.A.,2012-07-01,1524.696
Catamarca,2012-07-01,30.228
Chaco,2012-07-01,67.563
Chubut,2012-07-01,94.616
Corrientes,2012-07-01,71.238
Córdoba,2012-07-01,495.996
Entre Ríos,2012-07-01,134.176
Formosa,2012-07-01,25.031
Jujuy,2012-07-01,54.814
La Pampa,2012-07-01,35.435
La Rioja,2012-07-01,29.203
Mendoza,2012-07-01,244.7
Misiones,2012-07-01,95.766
Neuquén,2012-07-01,91.432
Río Negro,2012-07-01,101.013
Salta,2012-07-01,110.212
San Juan,2012-07-01,87.79
San Luis,2012-07-01,56.236
Santa Cruz,2012-07-01,60.664
Santa Fe,2012-07-01,491.193
Santiago del Estero,2012-07-01,47.142
Tierra del Fuego,2012-07-01,37.65
Tucumán,2012-07-01,161.441
Buenos Aires,2012-08-01,1916.244
C.A.B.A.,2012-08-01,1522.688
Catamarca,2012-08-01,30.648
Chaco,2012-08-01,67.197
Chubut,2012-08-01,94.944
Corrientes,2012-08-01,70.926
Córdoba,2012-08-01,496.356
Entre Ríos,2012-08-01,134.048
Formosa,2012-08-01,24.976
Jujuy,2012-08-01,54.456
La Pampa,2012-08-01,35.443
La Rioja,2012-08-01,29.584
Mendoza,2012-08-01,244.704
Misiones,2012-08-01,96.007
Neuquén,2012-08-01,91.332
Río Negro,2012-08-01,101.587
Salta,2012-08-01,109.284
San Juan,2012-08-01,88.28
San Luis,2012-08-01,55.888
Santa Cruz,2012-08-01,60.651
Santa Fe,2012-08-01,489.602
Santiago del Estero,2012-08-01,47.221
Tierra del Fuego,2012-08-01,37.629
Tucumán,2012-08-01,161.204
Buenos Aires,2012-09-01,1914.355
C.A.B.A.,2012-09-01,1521.674
Catamarca,2012-09-01,31.052
Chaco,2012-09-01,66.813
Chubut,2012-09-01,94.641
Corrientes,2012-09-01,70.943
Córdoba,2012-09-01,496.343
Entre Ríos,2012-09-01,133.895
Formosa,2012-09-01,24.887
Jujuy,2012-09-01,54.989
La Pampa,2012-09-01,35.365
La Rioja,2012-09-01,29.973
Mendoza,2012-09-01,244.673
Misiones,2012-09-01,96.128
Neuquén,2012-09-01,91.99
Río Negro,2012-09-01,101.411
Salta,2012-09-01,109.469
San Juan,2012-09-01,89.075
San Luis,2012-09-01,55.808
Santa Cruz,2012-09-01,60.523
Santa Fe,2012-09-01,490.25
Santiago del Estero,2012-09-01,47.45
Tierra del Fuego,2012-09-01,37.874
Tucumán,2012-09-01,160.708
Buenos Aires,2012-10-01,1916.462
C.A.B.A.,2012-10-01,1521.846
Catamarca,2012-10-01,31.167
Chaco,2012-10-01,66.908
Chubut,2012-10-01,94.782
Corrientes,2012-10-01,70.678
Córdoba,2012-10-01,496.679
Entre Ríos,2012-10-01,134.814
Formosa,2012-10-01,24.855
Jujuy,2012-10-01,54.978
La Pampa,2012-10-01,35.193
La Rioja,2012-10-01,29.795
Mendoza,2012-10-01,244.618
Misiones,2012-10-01,96.039
Neuquén,2012-10-01,92.297
Río Negro,2012-10-01,101.269
Salta,2012-10-01,109.225
San Juan,2012-10-01,89.046
San Luis,2012-10-01,55.754
Santa Cruz,2012-10-01,60.72
Santa Fe,2012-10-01,490.668
Santiago del Estero,2012-10-01,47.691
Tierra del Fuego,2012-10-01,37.945
Tucumán,2012-10-01,158.969
Buenos Aires,2012-11-01,1913.911
C.A.B.A.,2012-11-01,1521.007
Catamarca,2012-11-01,31.097
Chaco,2012-11-01,67.121
Chubut,2012-11-01,94.978
Corrientes,2012-11-01,70.996
Córdoba,2012-11-01,498.161
Entre Ríos,2012-11-01,134.814
Formosa,2012-11-01,24.875
Jujuy,2012-11-01,55.103
La Pampa,2012-11-01,35.755
La Rioja,2012-11-01,30.023
Mendoza,2012-11-01,245.293
Misiones,2012-11-01,97.411
Neuquén,2012-11-01,92.587
Río Negro,2012-11-01,101.63
Salta,2012-11-01,109.018
San Juan,2012-11-01,89.515
San Luis,2012-11-01,55.688
Santa Cruz,2012-11-01,60.515
Santa Fe,2012-11-01,489.676
Santiago del Estero,2012-11-01,48.128
Tierra del Fuego,2012-11-01,38.225
Tucumán,2012-11-01,158.911
Buenos Aires,2012-12-01,1927.4
C.A.B.A.,2012-12-01,1523.852
Catamarca,2012-12-01,31.155
Chaco,2012-12-01,67.61
Chubut,2012-12-01,94.307
Corrientes,2012-12-01,71.276
Córdoba,2012-12-01,499.649
Entre Ríos,2012-12-01,135.489
Formosa,2012-12-01,25.039
Jujuy,2012-12-01,54.883
La Pampa,2012-12-01,36.163
La Rioja,2012-12-01,30.592
Mendoza,2012-12-01,245.692
Misiones,2012-12-01,97.998
Neuquén,2012-12-01,93.028
Río Negro,2012-12-01,101.987
Salta,2012-12-01,109.161
San Juan,2012-12-01,90.549
San Luis,2012-12-01,55.62
Santa Cruz,2012-12-01,60.806
Santa Fe,2012-12-01,491.494
Santiago del Estero,2012-12-01,48.18
Tierra del Fuego,2012-12-01,38.877
Tucumán,2012-12-01,159
Buenos Aires,2013-01-01,1924.314
C.A.B.A.,2013-01-01,1523.538
Catamarca,2013-01-01,31.151
Chaco,2013-01-01,67.698
Chubut,2013-01-01,94.202
Corrientes,2013-01-01,71.15
Córdoba,2013-01-01,499.177
Entre Ríos,2013-01-01,135.782
Formosa,2013-01-01,25.277
Jujuy,2013-01-01,54.605
La Pampa,2013-01-01,36.586
La Rioja,2013-01-01,30.559
Mendoza,2013-01-01,244.974
Misiones,2013-01-01,99.083
Neuquén,2013-01-01,93.847
Río Negro,2013-01-01,103.541
Salta,2013-01-01,109.049
San Juan,2013-01-01,90.866
San Luis,2013-01-01,55.414
Santa Cruz,2013-01-01,60.681
Santa Fe,2013-01-01,492.807
Santiago del Estero,2013-01-01,48.162
Tierra del Fuego,2013-01-01,39.271
Tucumán,2013-01-01,159.356
Buenos Aires,2013-02-01,1927.066
C.A.B.A.,2013-02-01,1522.681
Catamarca,2013-02-01,31.531
Chaco,2013-02-01,68.204
Chubut,2013-02-01,94.405
Corrientes,2013-02-01,71.219
Córdoba,2013-02-01,499.38
Entre Ríos,2013-02-01,135.679
Formosa,2013-02-01,25.364
Jujuy,2013-02-01,54.436
La Pampa,2013-02-01,36.492
La Rioja,2013-02-01,30.874
Mendoza,2013-02-01,247.264
Misiones,2013-02-01,99.717
Neuquén,2013-02-01,94.51
Río Negro,2013-02-01,102.682
Salta,2013-02-01,108.439
San Juan,2013-02-01,91.847
San Luis,2013-02-01,55.446
Santa Cruz,2013-02-01,61.163
Santa Fe,2013-02-01,493.88
Santiago del Estero,2013-02-01,48.166
Tierra del Fuego,2013-02-01,39.53
Tucumán,2013-02-01,159.276
Buenos Aires,2013-03-01,1928.209
C.A.B.A.,2013-03-01,1520.958
Catamarca,2013-03-01,31.442
Chaco,2013-03-01,68.495
Chubut,2013-03-01,93.939
Corrientes,2013-03-01,71.177
Córdoba,2013-03-01,500.41
Entre Ríos,2013-03-01,135.403
Formosa,2013-03-01,25.367
Jujuy,2013-03-01,54.201
La Pampa,2013-03-01,36.44
La Rioja,2013-03-01,31.13
Mendoza,2013-03-01,249.322
Misiones,2013-03-01,99.762
Neuquén,2013-03-01,94.977
Río Negro,2013-03-01,102.935
Salta,2013-03-01,108.181
San Juan,2013-03-01,92.675
San Luis,2013-03-01,55.805
Santa Cruz,2013-03-01,61.241
Santa Fe,2013-03-01,494.432
Santiago del Estero,2013-03-01,48.815
Tierra del Fuego,2013-03-01,39.872
Tucumán,2013-03-01,161.584
Buenos Aires,2013-04-01,1928.854
C.A.B.A.,2013-04-01,1521.57
Catamarca,2013-04-01,31.777
Chaco,2013-04-01,68.846
Chubut,2013-04-01,94.302
Corrientes,2013-04-01,71.211
Córdoba,2013-04-01,501.118
Entre Ríos,2013-04-01,135.796
Formosa,2013-04-01,25.553
Jujuy,2013-04-01,55.966
La Pampa,2013-04-01,36.478
La Rioja,2013-04-01,31.076
Mendoza,2013-04-01,250.399
Misiones,2013-04-01,99.631
Neuquén,2013-04-01,95.195
Río Negro,2013-04-01,102.393
Salta,2013-04-01,108.58
San Juan,2013-04-01,93.354
San Luis,2013-04-01,56.289
Santa Cruz,2013-04-01,61.294
Santa Fe,2013-04-01,494.802
Santiago del Estero,2013-04-01,49.02
Tierra del Fuego,2013-04-01,39.668
Tucumán,2013-04-01,163.408
Buenos Aires,2013-05-01,1928.428
C.A.B.A.,2013-05-01,1520.193
Catamarca,2013-05-01,31.805
Chaco,2013-05-01,69.03
Chubut,2013-05-01,94.624
Corrientes,2013-05-01,71.026
Córdoba,2013-05-01,501.157
Entre Ríos,2013-05-01,135.15
Formosa,2013-05-01,25.625
Jujuy,2013-05-01,56.239
La Pampa,2013-05-01,36.508
La Rioja,2013-05-01,30.765
Mendoza,2013-05-01,246.278
Misiones,2013-05-01,99.84
Neuquén,2013-05-01,95.569
Río Negro,2013-05-01,104.123
Salta,2013-05-01,108.803
San Juan,2013-05-01,92.716
San Luis,2013-05-01,56.173
Santa Cruz,2013-05-01,61.108
Santa Fe,2013-05-01,496.267
Santiago del Estero,2013-05-01,48.957
Tierra del Fuego,2013-05-01,39.905
Tucumán,2013-05-01,160.878
Buenos Aires,2013-06-01,1926.539
C.A.B.A.,2013-06-01,1520.84
Catamarca,2013-06-01,31.899
Chaco,2013-06-01,69.616
Chubut,2013-06-01,93.95
Corrientes,2013-06-01,71.046
Córdoba,2013-06-01,501.273
Entre Ríos,2013-06-01,135.542
Formosa,2013-06-01,25.482
Jujuy,2013-06-01,56.15
La Pampa,2013-06-01,36.451
La Rioja,2013-06-01,31.29
Mendoza,2013-06-01,243.182
Misiones,2013-06-01,100.271
Neuquén,2013-06-01,95.929
Río Negro,2013-06-01,104.426
Salta,2013-06-01,108.394
San Juan,2013-06-01,91.85
San Luis,2013-06-01,56.247
Santa Cruz,2013-06-01,60.784
Santa Fe,2013-06-01,495.037
Santiago del Estero,2013-06-01,48.982
Tierra del Fuego,2013-06-01,40.084
Tucumán,2013-06-01,158.96
Buenos Aires,2013-07-01,1927.26
C.A.B.A.,2013-07-01,1520.678
Catamarca,2013-07-01,32.107
Chaco,2013-07-01,70.439
Chubut,2013-07-01,94.542
Corrientes,2013-07-01,70.974
Córdoba,2013-07-01,502.163
Entre Ríos,2013-07-01,135.671
Formosa,2013-07-01,25.82
Jujuy,2013-07-01,56.247
La Pampa,2013-07-01,36.499
La Rioja,2013-07-01,31.586
Mendoza,2013-07-01,243.729
Misiones,2013-07-01,100.466
Neuquén,2013-07-01,97.072
Río Negro,2013-07-01,105.029
Salta,2013-07-01,108.817
San Juan,2013-07-01,91.358
San Luis,2013-07-01,56.564
Santa Cruz,2013-07-01,60.796
Santa Fe,2013-07-01,495.311
Santiago del Estero,2013-07-01,48.863
Tierra del Fuego,2013-07-01,40.116
Tucumán,2013-07-01,158.935
Buenos Aires,2013-08-01,1935.453
C.A.B.A.,2013-08-01,1519.815
Catamarca,2013-08-01,32.535
Chaco,2013-08-01,72.041
Chubut,2013-08-01,94.793
Corrientes,2013-08-01,71.489
Córdoba,2013-08-01,502.81
Entre Ríos,2013-08-01,136.094
Formosa,2013-08-01,25.905
Jujuy,2013-08-01,56.429
La Pampa,2013-08-01,36.612
La Rioja,2013-08-01,31.387
Mendoza,2013-08-01,244.554
Misiones,2013-08-01,100.432
Neuquén,2013-08-01,97.66
Río Negro,2013-08-01,104.692
Salta,2013-08-01,110.094
San Juan,2013-08-01,90.013
San Luis,2013-08-01,56.793
Santa Cruz,2013-08-01,60.795
Santa Fe,2013-08-01,495.631
Santiago del Estero,2013-08-01,48.728
Tierra del Fuego,2013-08-01,40.311
Tucumán,2013-08-01,157.938
Buenos Aires,2013-09-01,1932.993
C.A.B.A.,2013-09-01,1519.325
Catamarca,2013-09-01,32.055
Chaco,2013-09-01,72.132
Chubut,2013-09-01,94.955
Corrientes,2013-09-01,71.055
Córdoba,2013-09-01,503.167
Entre Ríos,2013-09-01,135.063
Formosa,2013-09-01,25.751
Jujuy,2013-09-01,56.154
La Pampa,2013-09-01,36.362
La Rioja,2013-09-01,31.428
Mendoza,2013-09-01,244.394
Misiones,2013-09-01,100.787
Neuquén,2013-09-01,97.81
Río Negro,2013-09-01,104.776
Salta,2013-09-01,109.649
San Juan,2013-09-01,88.693
San Luis,2013-09-01,56.884
Santa Cruz,2013-09-01,60.747
Santa Fe,2013-09-01,495.436
Santiago del Estero,2013-09-01,48.877
Tierra del Fuego,2013-09-01,40.284
Tucumán,2013-09-01,158.248
Buenos Aires,2013-10-01,1931.12
C.A.B.A.,2013-10-01,1519.464
Catamarca,2013-10-01,31.908
Chaco,2013-10-01,72.943
Chubut,2013-10-01,95.627
Corrientes,2013-10-01,71.297
Córdoba,2013-10-01,503.7
Entre Ríos,2013-10-01,132.707
Formosa,2013-10-01,26.666
Jujuy,2013-10-01,55.948
La Pampa,2013-10-01,36.244
La Rioja,2013-10-01,31.364
Mendoza,2013-10-01,242.807
Misiones,2013-10-01,101.538
Neuquén,2013-10-01,98.038
Río Negro,2013-10-01,104.413
Salta,2013-10-01,111.934
San Juan,2013-10-01,91.435
San Luis,2013-10-01,57.062
Santa Cruz,2013-10-01,60.793
Santa Fe,2013-10-01,495.472
Santiago del Estero,2013-10-01,50.722
Tierra del Fuego,2013-10-01,40.465
Tucumán,2013-10-01,151.615
Buenos Aires,2013-11-01,1933.125
C.A.B.A.,2013-11-01,1519.303
Catamarca,2013-11-01,31.574
Chaco,2013-11-01,73.826
Chubut,2013-11-01,95.67
Corrientes,2013-11-01,71.466
Córdoba,2013-11-01,502.751
Entre Ríos,2013-11-01,133.29
Formosa,2013-11-01,27.317
Jujuy,2013-11-01,56.371
La Pampa,2013-11-01,36.139
La Rioja,2013-11-01,31.191
Mendoza,2013-11-01,241.998
Misiones,2013-11-01,102.406
Neuquén,2013-11-01,99.006
Río Negro,2013-11-01,103.634
Salta,2013-11-01,112.656
San Juan,2013-11-01,87.18
San Luis,2013-11-01,57.349
Santa Cruz,2013-11-01,61.174
Santa Fe,2013-11-01,496.101
Santiago del Estero,2013-11-01,50.873
Tierra del Fuego,2013-11-01,40.427
Tucumán,2013-11-01,156.951
Buenos Aires,2013-12-01,1935.17
C.A.B.A.,2013-12-01,1519.031
Catamarca,2013-12-01,31.886
Chaco,2013-12-01,72.944
Chubut,2013-12-01,96.153
Corrientes,2013-12-01,71.698
Córdoba,2013-12-01,501.151
Entre Ríos,2013-12-01,135.222
Formosa,2013-12-01,27.344
Jujuy,2013-12-01,56.236
La Pampa,2013-12-01,36.021
La Rioja,2013-12-01,31.529
Mendoza,2013-12-01,242.116
Misiones,2013-12-01,101.214
Neuquén,2013-12-01,99.903
Río Negro,2013-12-01,104.775
Salta,2013-12-01,111.764
San Juan,2013-12-01,86.05
San Luis,2013-12-01,57.138
Santa Cruz,2013-12-01,61.13
Santa Fe,2013-12-01,496.031
Santiago del Estero,2013-12-01,51.004
Tierra del Fuego,2013-12-01,40.318
Tucumán,2013-12-01,156.008
Buenos Aires,2014-01-01,1930.278
C.A.B.A.,2014-01-01,1519.818
Catamarca,2014-01-01,31.358
Chaco,2014-01-01,72.95
Chubut,2014-01-01,96.568
Corrientes,2014-01-01,71.769
Córdoba,2014-01-01,500.634
Entre Ríos,2014-01-01,135.798
Formosa,2014-01-01,27.692
Jujuy,2014-01-01,55.934
La Pampa,2014-01-01,35.812
La Rioja,2014-01-01,30.943
Mendoza,2014-01-01,240.52
Misiones,2014-01-01,101.118
Neuquén,2014-01-01,101.286
Río Negro,2014-01-01,105.133
Salta,2014-01-01,114.024
San Juan,2014-01-01,84.247
San Luis,2014-01-01,57.802
Santa Cruz,2014-01-01,60.37
Santa Fe,2014-01-01,495.591
Santiago del Estero,2014-01-01,51.345
Tierra del Fuego,2014-01-01,39.373
Tucumán,2014-01-01,156.453
Buenos Aires,2014-02-01,1931.08
C.A.B.A.,2014-02-01,1518.301
Catamarca,2014-02-01,31.275
Chaco,2014-02-01,72.964
Chubut,2014-02-01,97.042
Corrientes,2014-02-01,71.871
Córdoba,2014-02-01,499.921
Entre Ríos,2014-02-01,135.338
Formosa,2014-02-01,27.435
Jujuy,2014-02-01,56.045
La Pampa,2014-02-01,35.697
La Rioja,2014-02-01,29.399
Mendoza,2014-02-01,240.654
Misiones,2014-02-01,101.109
Neuquén,2014-02-01,101.815
Río Negro,2014-02-01,104.675
Salta,2014-02-01,113.349
San Juan,2014-02-01,83.838
San Luis,2014-02-01,57.511
Santa Cruz,2014-02-01,61.107
Santa Fe,2014-02-01,494.509
Santiago del Estero,2014-02-01,51.428
Tierra del Fuego,2014-02-01,38.702
Tucumán,2014-02-01,156.454
Buenos Aires,2014-03-01,1926.966
C.A.B.A.,2014-03-01,1514.419
Catamarca,2014-03-01,30.976
Chaco,2014-03-01,72.549
Chubut,2014-03-01,96.341
Corrientes,2014-03-01,71.468
Córdoba,2014-03-01,496.201
Entre Ríos,2014-03-01,135.38
Formosa,2014-03-01,27.302
Jujuy,2014-03-01,56.15
La Pampa,2014-03-01,35.7
La Rioja,2014-03-01,29.196
Mendoza,2014-03-01,241.864
Misiones,2014-03-01,101.177
Neuquén,2014-03-01,102.162
Río Negro,2014-03-01,104.498
Salta,2014-03-01,113.626
San Juan,2014-03-01,85.443
San Luis,2014-03-01,56.909
Santa Cruz,2014-03-01,61.137
Santa Fe,2014-03-01,492.611
Santiago del Estero,2014-03-01,51.209
Tierra del Fuego,2014-03-01,38.858
Tucumán,2014-03-01,153.347
Buenos Aires,2014-04-01,1927.945
C.A.B.A.,2014-04-01,1513.444
Catamarca,2014-04-01,31.335
Chaco,2014-04-01,72.621
Chubut,2014-04-01,96.878
Corrientes,2014-04-01,71.612
Córdoba,2014-04-01,495.264
Entre Ríos,2014-04-01,135.736
Formosa,2014-04-01,27.284
Jujuy,2014-04-01,56.056
La Pampa,2014-04-01,35.709
La Rioja,2014-04-01,29.708
Mendoza,2014-04-01,244.542
Misiones,2014-04-01,100.886
Neuquén,2014-04-01,102.448
Río Negro,2014-04-01,104.719
Salta,2014-04-01,112.553
San Juan,2014-04-01,82.12
San Luis,2014-04-01,57.013
Santa Cruz,2014-04-01,61.694
Santa Fe,2014-04-01,494.09
Santiago del Estero,2014-04-01,52.253
Tierra del Fuego,2014-04-01,38.938
Tucumán,2014-04-01,151.505
Buenos Aires,2014-05-01,1929.148
C.A.B.A.,2014-05-01,1513.879
Catamarca,2014-05-01,31.855
Chaco,2014-05-01,72.667
Chubut,2014-05-01,97.662
Corrientes,2014-05-01,71.812
Córdoba,2014-05-01,496.39
Entre Ríos,2014-05-01,135.678
Formosa,2014-05-01,27.311
Jujuy,2014-05-01,56.096
La Pampa,2014-05-01,35.642
La Rioja,2014-05-01,29.674
Mendoza,2014-05-01,242.425
Misiones,2014-05-01,101.076
Neuquén,2014-05-01,103.294
Río Negro,2014-05-01,105.313
Salta,2014-05-01,114.007
San Juan,2014-05-01,81.789
San Luis,2014-05-01,57.168
Santa Cruz,2014-05-01,62.133
Santa Fe,2014-05-01,494.911
Santiago del Estero,2014-05-01,51.925
Tierra del Fuego,2014-05-01,38.75
Tucumán,2014-05-01,153.719
Buenos Aires,2014-06-01,1929.474
C.A.B.A.,2014-06-01,1513.063
Catamarca,2014-06-01,31.89
Chaco,2014-06-01,73.02
Chubut,2014-06-01,98.232
Corrientes,2014-06-01,71.731
Córdoba,2014-06-01,496.503
Entre Ríos,2014-06-01,136.077
Formosa,2014-06-01,27.34
Jujuy,2014-06-01,56.427
La Pampa,2014-06-01,35.765
La Rioja,2014-06-01,30.007
Mendoza,2014-06-01,242.544
Misiones,2014-06-01,101.104
Neuquén,2014-06-01,103.815
Río Negro,2014-06-01,105.864
Salta,2014-06-01,114.37
San Juan,2014-06-01,81.604
San Luis,2014-06-01,57.626
Santa Cruz,2014-06-01,62.545
Santa Fe,2014-06-01,495.457
Santiago del Estero,2014-06-01,52.154
Tierra del Fuego,2014-06-01,38.809
Tucumán,2014-06-01,155.292
Buenos Aires,2014-07-01,1928.056
C.A.B.A.,2014-07-01,1511.062
Catamarca,2014-07-01,32.08
Chaco,2014-07-01,73.018
Chubut,2014-07-01,98.418
Corrientes,2014-07-01,71.453
Córdoba,2014-07-01,496.325
Entre Ríos,2014-07-01,135.577
Formosa,2014-07-01,27.222
Jujuy,2014-07-01,56.787
La Pampa,2014-07-01,35.812
La Rioja,2014-07-01,30.304
Mendoza,2014-07-01,243.107
Misiones,2014-07-01,101.548
