jurisdiccion,fecha,puestos_miles
Río Negro,2009-07-01,93.147
Salta,2009-07-01,101.996
San Juan,2009-07-01,72.577
San Luis,2009-07-01,51.278
Santa Cruz,2009-07-01,52.271
Santa Fe,2009-07-01,449.059
Santiago del Estero,2009-07-01,42.993
Tierra del Fuego,2009-07-01,25.207
Tucumán,2009-07-01,152.298
Buenos Aires,2009-08-01,1740.019
C.A.B.A.,2009-08-01,1453.338
Catamarca,2009-08-01,29.313
Chaco,2009-08-01,61.602
Chubut,2009-08-01,89.788
Corrientes,2009-08-01,64.907
Córdoba,2009-08-01,451.053
Entre Ríos,2009-08-01,123.072
Formosa,2009-08-01,21.732
Jujuy,2009-08-01,51.675
La Pampa,2009-08-01,35.72
La Rioja,2009-08-01,27.445
Mendoza,2009-08-01,218.892
Misiones,2009-08-01,86.755
Neuquén,2009-08-01,86.165
Río Negro,2009-08-01,92.368
Salta,2009-08-01,101.787
San Juan,2009-08-01,71.722
San Luis,2009-08-01,51.548
Santa Cruz,2009-08-01,52.098
Santa Fe,2009-08-01,447.898
Santiago del Estero,2009-08-01,42.308
Tierra del Fuego,2009-08-01,25.183
Tucumán,2009-08-01,149.993
Buenos Aires,2009-09-01,1742.061
C.A.B.A.,2009-09-01,1453.672
Catamarca,2009-09-01,29.495
Chaco,2009-09-01,61.354
Chubut,2009-09-01,89.825
Corrientes,2009-09-01,65.094
Córdoba,2009-09-01,452.21
Entre Ríos,2009-09-01,122.98
Formosa,2009-09-01,21.794
Jujuy,2009-09-01,52.381
La Pampa,2009-09-01,35.974
La Rioja,2009-09-01,27.447
Mendoza,2009-09-01,219.159
Misiones,2009-09-01,86.631
Neuquén,2009-09-01,85.962
Río Negro,2009-09-01,92.765
Salta,2009-09-01,102.16
San Juan,2009-09-01,71.249
San Luis,2009-09-01,52.191
Santa Cruz,2009-09-01,52.301
Santa Fe,2009-09-01,452.287
Santiago del Estero,2009-09-01,42.671
Tierra del Fuego,2009-09-01,25.717
Tucumán,2009-09-01,150.206
Buenos Aires,2009-10-01,1749.205
C.A.B.A.,2009-10-01,1454.555
Catamarca,2009-10-01,29.466
Chaco,2009-10-01,61.242
Chubut,2009-10-01,89.579
Corrientes,2009-10-01,65.232
Córdoba,2009-10-01,453.193
Entre Ríos,2009-10-01,125.497
Formosa,2009-10-01,21.66
Jujuy,2009-10-01,51.594
La Pampa,2009-10-01,35.898
La Rioja,2009-10-01,27.161
Mendoza,2009-10-01,219.361
Misiones,2009-10-01,86.592
Neuquén,2009-10-01,85.04
Río Negro,2009-10-01,91.667
Salta,2009-10-01,102.663
San Juan,2009-10-01,71.205
San Luis,2009-10-01,52.03
Santa Cruz,2009-10-01,51.663
Santa Fe,2009-10-01,453.41
Santiago del Estero,2009-10-01,42.664
Tierra del Fuego,2009-10-01,26.048
Tucumán,2009-10-01,151.096
Buenos Aires,2009-11-01,1748.7
C.A.B.A.,2009-11-01,1455.045
Catamarca,2009-11-01,29.94
Chaco,2009-11-01,59.119
Chubut,2009-11-01,89.159
Corrientes,2009-11-01,66.307
Córdoba,2009-11-01,451.462
Entre Ríos,2009-11-01,127.522
Formosa,2009-11-01,21.7
Jujuy,2009-11-01,51.474
La Pampa,2009-11-01,35.776
La Rioja,2009-11-01,27.375
Mendoza,2009-11-01,219.46
Misiones,2009-11-01,85.764
Neuquén,2009-11-01,85.722
Río Negro,2009-11-01,93.36
Salta,2009-11-01,102.357
San Juan,2009-11-01,71.181
San Luis,2009-11-01,52.652
Santa Cruz,2009-11-01,51.67
Santa Fe,2009-11-01,453.07
Santiago del Estero,2009-11-01,42.775
Tierra del Fuego,2009-11-01,26.463
Tucumán,2009-11-01,152.5
Buenos Aires,2009-12-01,1754.14
C.A.B.A.,2009-12-01,1457.784
Catamarca,2009-12-01,29.598
Chaco,2009-12-01,59.367
Chubut,2009-12-01,88.894
Corrientes,2009-12-01,65.113
Córdoba,2009-12-01,455.312
Entre Ríos,2009-12-01,123.234
Formosa,2009-12-01,21.925
Jujuy,2009-12-01,50.963
La Pampa,2009-12-01,35.341
La Rioja,2009-12-01,27.377
Mendoza,2009-12-01,220.071
Misiones,2009-12-01,86.31
Neuquén,2009-12-01,85.789
Río Negro,2009-12-01,94.004
Salta,2009-12-01,101.998
San Juan,2009-12-01,71.897
San Luis,2009-12-01,52.845
Santa Cruz,2009-12-01,52.148
Santa Fe,2009-12-01,454.168
Santiago del Estero,2009-12-01,42.832
Tierra del Fuego,2009-12-01,26.936
Tucumán,2009-12-01,147.922
Buenos Aires,2010-01-01,1751.189
C.A.B.A.,2010-01-01,1461.225
Catamarca,2010-01-01,29.404
Chaco,2010-01-01,60.008
Chubut,2010-01-01,89.168
Corrientes,2010-01-01,64.853
Córdoba,2010-01-01,459.561
Entre Ríos,2010-01-01,122.388
Formosa,2010-01-01,21.923
Jujuy,2010-01-01,50.545
La Pampa,2010-01-01,35.471
La Rioja,2010-01-01,27.907
Mendoza,2010-01-01,221.638
Misiones,2010-01-01,86.138
Neuquén,2010-01-01,85.63
Río Negro,2010-01-01,95.417
Salta,2010-01-01,102.247
San Juan,2010-01-01,72.23
San Luis,2010-01-01,52.936
Santa Cruz,2010-01-01,52.237
Santa Fe,2010-01-01,454.377
Santiago del Estero,2010-01-01,43.537
Tierra del Fuego,2010-01-01,27.688
Tucumán,2010-01-01,144.26
Buenos Aires,2010-02-01,1756.846
C.A.B.A.,2010-02-01,1463.902
Catamarca,2010-02-01,31.588
Chaco,2010-02-01,60.514
Chubut,2010-02-01,89.844
Corrientes,2010-02-01,65.335
Córdoba,2010-02-01,461.505
Entre Ríos,2010-02-01,122.823
Formosa,2010-02-01,22.115
Jujuy,2010-02-01,51.033
La Pampa,2010-02-01,35.179
La Rioja,2010-02-01,28.259
Mendoza,2010-02-01,222.813
Misiones,2010-02-01,86.449
