anio,geocodigo,provincia,vab_millones_2004,la_rioja_region,poblacion,pbg_per_capita,pbg_pc_media_nac,pbg_pc_relativo_nac
2010,AR-B,Buenos Aires,182269.33693986316,1. Resto país,15716942,11596.997490979044,13795.33490838438,0.8406463176135539
2010,AR-C,CABA,120655.15237519846,1. Resto país,3028481,39840.15497379659,13795.33490838438,2.8879440215389747
2010,AR-K,Catamarca,4259.239751162789,2. NOA-Resto,377676,11277.4964550641,13795.33490838438,0.8174862393670475
2010,AR-H,Chaco,8467.187833029226,1. Resto país,1080017,7839.865328998733,13795.33490838438,0.5682982965664649
2010,AR-U,Chubut,11458.768602323513,1. Resto país,513433,22317.94333890403,13795.33490838438,1.6177891647516198
2010,AR-W,Corrientes,6496.763868723674,1. Resto país,1017731,6383.576670774177,13795.33490838438,0.46273444705531835
2010,AR-X,Córdoba,47523.28149297794,1. Resto país,3373025,14089.217095330732,13795.33490838438,1.0213030121340323
2010,AR-E,Entre Ríos,14954.008385108513,1. Resto país,1255574,11910.097202640794,13795.33490838438,0.8633423749214094
2010,AR-P,Formosa,3100.3046268192775,1. Resto país,551626,5620.301847301029,13795.33490838438,0.40740597344144086
2010,AR-Y,Jujuy,5060.90252510888,2. NOA-Resto,683513,7404.252040720337,13795.33490838438,0.5367214416969508
2010,AR-L,La Pampa,5516.95175858215,1. Resto país,327028,16869.967582537734,13795.33490838438,1.222874811997836
2010,AR-F,La Rioja,3282.873845962584,3. La Rioja,342582,9582.738865330297,13795.33490838438,0.6946361888979008
2010,AR-M,Mendoza,20145.172945051298,1. Resto país,1774737,11351.075086083907,13795.33490838438,0.8228198272435614
2010,AR-N,Misiones,6468.6908635545315,1. Resto país,1113279,5810.48494003258,13795.33490838438,0.42119201734646877
2010,AR-Q,Neuquén,13371.949372475256,1. Resto país,571910,23381.212730106585,13795.33490838438,1.6948637264250976
2010,AR-R,Río Negro,7692.065976336182,1. Resto país,648277,11865.400093380116,13795.33490838438,0.8601023586726184
2010,AR-A,Salta,9918.13896510284,2. NOA-Resto,1239111,8004.2376874249685,13795.33490838438,0.5802133649223868
2010,AR-J,San Juan,7882.314679278436,1. Resto país,696076,11323.92824817755,13795.33490838438,0.820851999852154
2010,AR-D,San Luis,5561.41246261179,1. Resto país,443944,12527.28376239298,13795.33490838438,0.9080811626239884
2010,AR-Z,Santa Cruz,8624.743771582336,1. Resto país,275452,31311.24033073761,13795.33490838438,2.2696977303325636
2010,AR-S,Santa Fe,46304.36523266648,1. Resto país,3257907,14212.918058332076,13795.33490838438,1.0302698812838462
2010,AR-G,Santiago del Estero,8390.523250390761,2. NOA-Resto,879246,9542.862009483992,13795.33490838438,0.6917455844935039
2010,AR-V,Tierra del Fuego,4812.189528128276,1. Resto país,131661,36549.847928606614,13795.33490838438,2.649435346900693
2010,AR-T,Tucumán,10474.030477857295,2. NOA-Resto,1489225,7033.208868946798,13795.33490838438,0.5098251630464028
2011,AR-B,Buenos Aires,193638.3165152875,1. Resto país,15909607,12171.156491501488,14377.313103001887,0.8465529271224004
2011,AR-C,CABA,126646.75399574771,1. Resto país,3033639,41747.47028098851,14377.313103001887,2.903704606131998
2011,AR-K,Catamarca,4231.855095013623,2. NOA-Resto,381548,11091.278410615763,14377.313103001887,0.7714430597118997
2011,AR-H,Chaco,9356.35750823711,1. Resto país,1092625,8563.191862017718,14377.313103001887,0.5956044638291824
2011,AR-U,Chubut,11917.564547769189,1. Resto país,524201,22734.723031373822,14377.313103001887,1.5812915020002565
2011,AR-W,Corrientes,7129.12807891337,1. Resto país,1028248,6933.276873782755,14377.313103001887,0.48223731542266635
2011,AR-X,Córdoba,49660.89707397725,1. Resto país,3411773,14555.744791337891,14377.313103001887,1.01241064217338
2011,AR-E,Entre Ríos,15653.316549820926,1. Resto país,1268744,12337.647744399914,14377.313103001887,0.8581330639466909
2011,AR-P,Formosa,3372.559232613471,1. Resto país,557223,6052.44082281864,14377.313103001887,0.4209716224066186
2011,AR-Y,Jujuy,5317.735136918633,2. NOA-Resto,692379,7680.381896213826,14377.313103001887,0.5342014770903343
2011,AR-L,La Pampa,5899.745282450161,1. Resto país,330268,17863.508673108387,14377.313103001887,1.2424789350507088
2011,AR-F,La Rioja,3460.6633689226396,3. La Rioja,347494,9958.915460188204,14377.313103001887,0.6926826583549084
2011,AR-M,Mendoza,21286.625291997538,1. Resto país,1797235,11844.096788676796,14377.313103001887,0.8238046082618753
2011,AR-N,Misiones,6890.465907207836,1. Resto país,1128798,6104.25063404421,14377.313103001887,0.4245752033298686
2011,AR-Q,Neuquén,13374.221019897424,1. Resto país,581720,22990.82207917456,14377.313103001887,1.5991042216625462
2011,AR-R,Río Negro,8273.49624116294,1. Resto país,658486,12564.422388878336,14377.313103001887,0.8739061533169901
2011,AR-A,Salta,10461.221803958191,2. NOA-Resto,1258111,8315.022922427504,14377.313103001887,0.5783433151143786
2011,AR-J,San Juan,8298.24585670661,1. Resto país,704652,11776.37451778553,14377.313103001887,0.8190942517156911
2011,AR-D,San Luis,5907.646956054552,1. Resto país,450434,13115.455218865698,14377.313103001887,0.912232704741422
2011,AR-Z,Santa Cruz,8600.132145826134,1. Resto país,284414,30238.07599424126,14377.313103001887,2.1031799041733152
2011,AR-S,Santa Fe,47627.4867516752,1. Resto país,3285408,14496.673396934324,14377.313103001887,1.0083019889097022
2011,AR-G,Santiago del Estero,8891.230805307678,2. NOA-Resto,888809,10003.533723564544,14377.313103001887,0.6957860381767629
2011,AR-V,Tierra del Fuego,5967.517359276793,1. Resto país,135742,43962.20299742743,14377.313103001887,3.057748181629877
2011,AR-T,Tucumán,11366.17830163894,2. NOA-Resto,1509932,7527.609390117529,14377.313103001887,0.5235755343288597
2012,AR-B,Buenos Aires,192659.467346774,1. Resto país,16100618,11965.967228510981,14012.944826319632,0.8539223822558737
2012,AR-C,CABA,124780.94368182396,1. Resto país,3038860,41061.761213686696,14012.944826319632,2.93027352370381
2012,AR-K,Catamarca,4326.093906418369,2. NOA-Resto,385408,11224.712269642481,14012.944826319632,0.8010245104626268
2012,AR-H,Chaco,8524.385441823115,1. Resto país,1105280,7712.421686652356,14012.944826319632,0.5503783667346352
2012,AR-U,Chubut,11490.8649725293,1. Resto país,534945,21480.46055674752,14012.944826319632,1.5329012440270315
2012,AR-W,Corrientes,7167.112387447054,1. Resto país,1038786,6899.508067539468,14012.944826319632,0.49236674753621784
2012,AR-X,Córdoba,47383.62463873097,1. Resto país,3450673,13731.705275675491,14012.944826319632,0.9799300179848061
2012,AR-E,Entre Ríos,15594.778391664342,1. Resto país,1281931,12165.068472222252,14012.944826319632,0.8681307621630944
2012,AR-P,Formosa,3375.438269871582,1. Resto país,562794,5997.644377643653,14012.944826319632,0.42800742113668033
2012,AR-Y,Jujuy,5446.28169601939,2. NOA-Resto,701252,7766.511462383552,14012.944826319632,0.5542383530830866
2012,AR-L,La Pampa,5904.047691236079,1. Resto país,333496,17703.503763871468,14012.944826319632,1.263367834762333
2012,AR-F,La Rioja,3333.5046082027775,3. La Rioja,352476,9457.394569283519,14012.944826319632,0.6749041465945324
2012,AR-M,Mendoza,21445.5384080032,1. Resto país,1819608,11785.80134182923,14012.944826319632,0.8410652784197581
2012,AR-N,Misiones,6971.963933073057,1. Resto país,1144189,6093.367383424466,14012.944826319632,0.4348384625035901
2012,AR-Q,Neuquén,12838.23082268295,1. Resto país,591422,21707.394758197956,14012.944826319632,1.5490958558137133
2012,AR-R,Río Negro,8428.350503925463,1. Resto país,668663,12604.780739962378,14012.944826319632,0.8995097673037014
2012,AR-A,Salta,9929.634629378415,2. NOA-Resto,1277062,7775.373967261116,14012.944826319632,0.5548708043620583
2012,AR-J,San Juan,8372.92429618724,1. Resto país,713240,11739.280321052158,14012.944826319632,0.8377454180082838
2012,AR-D,San Luis,5823.114665609325,1. Resto país,456924,12744.164599822565,14012.944826319632,0.9094565601861219
2012,AR-Z,Santa Cruz,9212.686501727394,1. Resto país,293407,31399.00037056851,14012.944826319632,2.240713908442267
2012,AR-S,Santa Fe,45930.21647172726,1. Resto país,3313212,13862.746021602983,14012.944826319632,0.9892814246699566
2012,AR-G,Santiago del Estero,8183.76504136105,2. NOA-Resto,898484,9108.414887033103,14012.944826319632,0.6500000535166127
2012,AR-V,Tierra del Fuego,6426.001554341259,1. Resto país,139852,45948.5853212057,14012.944826319632,3.27900993622007
2012,AR-T,Tucumán,11257.054084287522,2. NOA-Resto,1530689,7354.239877785442,14012.944826319632,0.524817586091714
2013,AR-B,Buenos Aires,196304.0611707295,1. Resto país,16289599,12050.883583489654,14162.055405392608,0.850927583498998
2013,AR-C,CABA,124883.37075653732,1. Resto país,3044076,41025.050214428724,14162.055405392608,2.8968288175745496
2013,AR-K,Catamarca,4137.898631744011,2. NOA-Resto,389256,10630.275786998816,14162.055405392608,0.7506167348385768
2013,AR-H,Chaco,8943.206457758806,1. Resto país,1117953,7999.626511811146,14162.055405392608,0.5648633819611424
2013,AR-U,Chubut,11845.076630322814,1. Resto país,545656,21707.95635037975,14162.055405392608,1.5328252664591204
2013,AR-W,Corrientes,7353.947986551492,1. Resto país,1049325,7008.265300599426,14162.055405392608,0.4948621580685829
2013,AR-X,Córdoba,50922.606885005785,1. Resto país,3489669,14592.388815387872,14162.055405392608,1.0303863667862365
2013,AR-E,Entre Ríos,16112.887389498032,1. Resto país,1295121,12441.221622920199,14162.055405392608,0.8784898284032167
2013,AR-P,Formosa,3460.1020785069295,1. Resto país,568331,6088.181145330677,14162.055405392608,0.42989389400442735
2013,AR-Y,Jujuy,5467.744686933372,2. NOA-Resto,710121,7699.736646196031,14162.055405392608,0.543687792893688
2013,AR-L,La Pampa,5959.897276703966,1. Resto país,336706,17700.59718776608,14162.055405392608,1.24986074980515
2013,AR-F,La Rioja,3489.539524733442,3. La Rioja,357516,9760.512885390981,14162.055405392608,0.6892017158522333
2013,AR-M,Mendoza,21583.07161135012,1. Resto país,1841813,11718.383794310343,14162.055405392608,0.8274493679673244
2013,AR-N,Misiones,7275.60287575051,1. Resto país,1159445,6275.073742825671,14162.055405392608,0.443090608192103
2013,AR-Q,Neuquén,12817.811729117544,1. Resto país,601003,21327.367299526864,14162.055405392608,1.5059514095253335
2013,AR-R,Río Negro,8704.659686288845,1. Resto país,678797,12823.656684235264,14162.055405392608,0.9054940343865827
