fecha,ANO4,TRIMESTRE,provincia,empleados_publicos,pob_tot,n_obs_publicos,empleados_publicos_cada_1000
2019-Q3,2019,3,Santa Cruz,57749,344794,341,167.48841337146237
2019-Q3,2019,3,Santa Fe,226086,3204351,376,70.55594096901369
2019-Q3,2019,3,Santiago del Estero,71715,692906,352,103.49888729495775
2019-Q3,2019,3,Tierra del Fuego,18796,161743,129,116.20904768676233
2019-Q3,2019,3,Tucumán,97756,1341357,319,72.87843579300663
2020-Q3,2020,3,Buenos Aires,1181845,16975154,572,69.62204878966047
2020-Q3,2020,3,C.A.B.A.,272488,3000320,89,90.81964590443685
2020-Q3,2020,3,Catamarca,51880,327373,311,158.4736676512724
2020-Q3,2020,3,Chaco,96783,1014396,195,95.4094850531745
2020-Q3,2020,3,Chubut,52411,567208,348,92.4017291716619
2020-Q3,2020,3,Corrientes,86156,941274,264,91.53126507265685
2020-Q3,2020,3,Córdoba,156003,3373714,139,46.24073054206729
2020-Q3,2020,3,Entre Ríos,96037,1212983,291,79.17423409891153
2020-Q3,2020,3,Formosa,35259,496924,189,70.95451215880094
2020-Q3,2020,3,Jujuy,67162,675790,393,99.38294440580654
2020-Q3,2020,3,La Pampa,27016,307885,140,87.74704841093265
2020-Q3,2020,3,La Rioja,60053,344195,500,174.47377213498163
2020-Q3,2020,3,Mendoza,115377,1620204,259,71.21140300851003
2020-Q3,2020,3,Misiones,83859,963908,258,86.99896670636616
2020-Q3,2020,3,Neuquén,68932,594658,273,115.91872975727225
2020-Q3,2020,3,Río Negro,76214,660281,356,115.42661382047946
2020-Q3,2020,3,Salta,97737,1261399,272,77.48301687253597
2020-Q3,2020,3,San Juan,61537,680771,272,90.39309841341655
2020-Q3,2020,3,San Luis,60002,444130,406,135.10008330894107
2020-Q3,2020,3,Santa Cruz,50661,353788,146,143.19592524336608
2020-Q3,2020,3,Santa Fe,204223,3225368,314,63.31773614669706
2020-Q3,2020,3,Tucumán,83538,1358269,150,61.503281014290984
2021-Q3,2021,3,Buenos Aires,1295276,17135902,760,75.58843415421026
2021-Q3,2021,3,C.A.B.A.,282198,3002328,112,93.99306138436573
2021-Q3,2021,3,Catamarca,50978,331130,501,153.95162020958537
2021-Q3,2021,3,Chaco,91438,1025296,222,89.18205084190322
2021-Q3,2021,3,Chubut,57783,577076,391,100.13065870006723
2021-Q3,2021,3,Corrientes,88705,950962,233,93.27922671988996
2021-Q3,2021,3,Córdoba,206175,3411905,317,60.42811860236437
2021-Q3,2021,3,Entre Ríos,112509,1226739,371,91.71388534969542
2021-Q3,2021,3,Formosa,34749,501811,197,69.24718668980951
2021-Q3,2021,3,Jujuy,81181,683735,471,118.73167235844296
2021-Q3,2021,3,La Pampa,30569,311314,133,98.19346383394257
2021-Q3,2021,3,La Rioja,67241,349161,589,192.57878170815184
2021-Q3,2021,3,Mendoza,131821,1638867,272,80.43422681645308
2021-Q3,2021,3,Misiones,89978,978609,263,91.94479102481175
2021-Q3,2021,3,Neuquén,67038,601691,284,111.41599259420533
2021-Q3,2021,3,Río Negro,77254,670338,361,115.24633841435217
2021-Q3,2021,3,Salta,98804,1279359,357,77.2292999853833
2021-Q3,2021,3,San Juan,59659,688415,287,86.661388842486
2021-Q3,2021,3,San Luis,63820,449747,415,141.9020026815076
2021-Q3,2021,3,Santa Cruz,56305,362914,281,155.14694941501293
2021-Q3,2021,3,Santa Fe,199925,3258674,349,61.35164180277008
2021-Q3,2021,3,Santiago del Estero,73630,713433,336,103.20520637537092
2021-Q3,2021,3,Tierra del Fuego,23329,168859,137,138.15668693999135
2021-Q3,2021,3,Tucumán,99678,1375233,289,72.48080870659736
2022-Q3,2022,3,Buenos Aires,1083267,17294491,833,62.63653553030269
2022-Q3,2022,3,C.A.B.A.,316135,3003897,177,105.24162446315569
2022-Q3,2022,3,Catamarca,52521,336386,459,156.1331327700915
2022-Q3,2022,3,Chaco,113204,1043892,252,108.44416855383507
2022-Q3,2022,3,Chubut,70083,590823,388,118.61928191691928
2022-Q3,2022,3,Corrientes,94047,966761,226,97.28050676433989
2022-Q3,2022,3,Córdoba,182377,3477195,267,52.44945998139305
2022-Q3,2022,3,Entre Ríos,115269,1251557,352,92.10047964255723
2022-Q3,2022,3,Formosa,39006,508680,190,76.68082094833687
2022-Q3,2022,3,Jujuy,87814,696127,448,126.14652211449922
2022-Q3,2022,3,La Pampa,32444,316915,201,102.37445371787388
2022-Q3,2022,3,La Rioja,69812,355587,562,196.32888716404142
2022-Q3,2022,3,Mendoza,145706,1667612,280,87.37404144369313
2022-Q3,2022,3,Misiones,104768,1003144,302,104.4396417662868
