anio,la_rioja_region,letra,letra_desc,tipo_sector,vab_millones_2004,vab_total,share
2005,1. Resto país,M,Enseñanza,Servicios,16273.922388438248,418025.8713309788,0.038930419154734816
2005,1. Resto país,N,Salud,Servicios,13266.608064501856,418025.8713309788,0.031736332543872155
2005,1. Resto país,O,"Serv. comunitarios, sociales y personales",Servicios,12892.13954769696,418025.8713309788,0.03084053029217753
2005,1. Resto país,P,Servicio doméstico,Servicios,3082.5927892319887,418025.8713309788,0.007374167487330696
2005,2. NOA-Resto,A,Agro,Bienes,3994.204338252148,29414.681051500535,0.1357894831923867
2005,2. NOA-Resto,B,Pesca,Bienes,0,29414.681051500535,0
2005,2. NOA-Resto,C,Petróleo y minería,Bienes,2895.947953967361,29414.681051500535,0.09845246830645576
2005,2. NOA-Resto,D,Industria manufacturera,Bienes,4085.804847771954,29414.681051500535,0.1389035917342889
2005,2. NOA-Resto,E,"Electricidad, gas y agua",Bienes,598.5955803512066,29414.681051500535,0.020350231889414636
2005,2. NOA-Resto,F,Construcción,Bienes,1312.3778083765908,29414.681051500535,0.044616421510021514
2005,2. NOA-Resto,G,Comercio,Servicios,4888.71278850951,29414.681051500535,0.16619975514778262
2005,2. NOA-Resto,H,Hotelería y restaurantes,Servicios,415.5136477419239,29414.681051500535,0.014126063342805726
2005,2. NOA-Resto,I,Transporte y comunicaciones,Servicios,2082.721793446742,29414.681051500535,0.0708055202026573
2005,2. NOA-Resto,J,Finanzas,Servicios,656.2905981664458,29414.681051500535,0.022311668007461406
2005,2. NOA-Resto,K,Serv. inmobiliarios y profesionales,Servicios,2856.9456794337343,29414.681051500535,0.0971265224474699
2005,2. NOA-Resto,L,Adm. pública y defensa,Servicios,2024.7813387649746,29414.681051500535,0.06883574005850675
2005,2. NOA-Resto,M,Enseñanza,Servicios,1652.394568694025,29414.681051500535,0.0561758451774792
2005,2. NOA-Resto,N,Salud,Servicios,1143.523439344647,29414.681051500535,0.03887594216447614
2005,2. NOA-Resto,O,"Serv. comunitarios, sociales y personales",Servicios,612.9230396055252,29414.681051500535,0.020837317206751017
2005,2. NOA-Resto,P,Servicio doméstico,Servicios,193.9436290737463,29414.681051500535,0.006593429612042407
2005,3. La Rioja,A,Agro,Bienes,131.23783211117882,2718.6692214556588,0.04827282078873504
2005,3. La Rioja,B,Pesca,Bienes,0,2718.6692214556588,0
2005,3. La Rioja,C,Petróleo y minería,Bienes,6.848471305281802,2718.6692214556588,0.002519052796579247
2005,3. La Rioja,D,Industria manufacturera,Bienes,784.1803908542379,2718.6692214556588,0.2884427368601921
2005,3. La Rioja,E,"Electricidad, gas y agua",Bienes,33.02422719157258,2718.6692214556588,0.012147203098834655
2005,3. La Rioja,F,Construcción,Bienes,187.06410253018015,2718.6692214556588,0.06880723151381406
2005,3. La Rioja,G,Comercio,Servicios,451.26744027071743,2718.6692214556588,0.16598835809422047
2005,3. La Rioja,H,Hotelería y restaurantes,Servicios,70.03850896179131,2718.6692214556588,0.02576205608576778
2005,3. La Rioja,I,Transporte y comunicaciones,Servicios,120.38935560755769,2718.6692214556588,0.044282457997261444
2005,3. La Rioja,J,Finanzas,Servicios,64.90060594260646,2718.6692214556588,0.02387219652556948
2005,3. La Rioja,K,Serv. inmobiliarios y profesionales,Servicios,265.43192558590846,2718.6692214556588,0.09763303438723894
2005,3. La Rioja,L,Adm. pública y defensa,Servicios,244.23074763718083,2718.6692214556588,0.08983466826700315
2005,3. La Rioja,M,Enseñanza,Servicios,179.7772556809909,2718.6692214556588,0.06612693234697108
2005,3. La Rioja,N,Salud,Servicios,105.8017234736015,2718.6692214556588,0.03891673273034371
2005,3. La Rioja,O,"Serv. comunitarios, sociales y personales",Servicios,52.06886520500028,2718.6692214556588,0.019152335559645985
2005,3. La Rioja,P,Servicio doméstico,Servicios,22.407769097852498,2718.6692214556588,0.008242182947822793
2006,1. Resto país,A,Agro,Bienes,40749.37618763243,448702.9197065595,0.0908159372225202
2006,1. Resto país,B,Pesca,Bienes,2131.108713664878,448702.9197065595,0.004749487066093908
2006,1. Resto país,C,Petróleo y minería,Bienes,22611.06354687742,448702.9197065595,0.05039205798273943
2006,1. Resto país,D,Industria manufacturera,Bienes,102321.50415969637,448702.9197065595,0.22803841844089642
2006,1. Resto país,E,"Electricidad, gas y agua",Bienes,9101.183340528956,448702.9197065595,0.020283316512584547
2006,1. Resto país,F,Construcción,Bienes,17249.601872891064,448702.9197065595,0.03844325747684431
2006,1. Resto país,G,Comercio,Servicios,66908.44472381541,448702.9197065595,0.14911524259207376
2006,1. Resto país,H,Hotelería y restaurantes,Servicios,8144.468998279984,448702.9197065595,0.018151138850636992
2006,1. Resto país,I,Transporte y comunicaciones,Servicios,36058.089667928325,448702.9197065595,0.08036071994251656
2006,1. Resto país,J,Finanzas,Servicios,17924.21517518104,448702.9197065595,0.03994673176386512
2006,1. Resto país,K,Serv. inmobiliarios y profesionales,Servicios,56475.47487779731,448702.9197065595,0.12586384531380107
2006,1. Resto país,L,Adm. pública y defensa,Servicios,21010.786761688796,448702.9197065595,0.04682560740952906
2006,1. Resto país,M,Enseñanza,Servicios,16942.739586224252,448702.9197065595,0.03775937004667672
2006,1. Resto país,N,Salud,Servicios,13554.4281058597,448702.9197065595,0.030208022971466193
2006,1. Resto país,O,"Serv. comunitarios, sociales y personales",Servicios,14153.45593114556,448702.9197065595,0.03154304398197713
2006,1. Resto país,P,Servicio doméstico,Servicios,3366.9780573479984,448702.9197065595,0.007503802425778548
2006,2. NOA-Resto,A,Agro,Bienes,4933.167669526483,32755.028869796224,0.1506079475349024
2006,2. NOA-Resto,B,Pesca,Bienes,0,32755.028869796224,0
2006,2. NOA-Resto,C,Petróleo y minería,Bienes,2936.960474865334,32755.028869796224,0.08966441417407933
2006,2. NOA-Resto,D,Industria manufacturera,Bienes,4535.363896023259,32755.028869796224,0.1384631323041015
2006,2. NOA-Resto,E,"Electricidad, gas y agua",Bienes,637.8887741001472,32755.028869796224,0.01947452944205314
2006,2. NOA-Resto,F,Construcción,Bienes,1388.746457153959,32755.028869796224,0.04239796162825359
2006,2. NOA-Resto,G,Comercio,Servicios,5827.156984514432,32755.028869796224,0.17790114023949827
2006,2. NOA-Resto,H,Hotelería y restaurantes,Servicios,460.682740058298,32755.028869796224,0.014064488903048981
2006,2. NOA-Resto,I,Transporte y comunicaciones,Servicios,2324.7196063033684,32755.028869796224,0.07097290665028289
2006,2. NOA-Resto,J,Finanzas,Servicios,746.3822938281662,32755.028869796224,0.022786800060384426
2006,2. NOA-Resto,K,Serv. inmobiliarios y profesionales,Servicios,3065.828694116714,32755.028869796224,0.09359871750697031
2006,2. NOA-Resto,L,Adm. pública y defensa,Servicios,2082.737752207584,32755.028869796224,0.06358528214054177
2006,2. NOA-Resto,M,Enseñanza,Servicios,1724.509588253026,32755.028869796224,0.05264869694079908
2006,2. NOA-Resto,N,Salud,Servicios,1208.5045988918223,32755.028869796224,0.036895238398223416
2006,2. NOA-Resto,O,"Serv. comunitarios, sociales y personales",Servicios,669.674758271327,32755.028869796224,0.02044494483376388
2006,2. NOA-Resto,P,Servicio doméstico,Servicios,212.70458168230076,32755.028869796224,0.006493799243096929
2006,3. La Rioja,A,Agro,Bienes,122.8317711644902,2851.713936585146,0.04307296380210495
2006,3. La Rioja,B,Pesca,Bienes,0,2851.713936585146,0
2006,3. La Rioja,C,Petróleo y minería,Bienes,8.054395037867838,2851.713936585146,0.002824404977840368
2006,3. La Rioja,D,Industria manufacturera,Bienes,809.035663771623,2851.713936585146,0.28370154993190605
2006,3. La Rioja,E,"Electricidad, gas y agua",Bienes,35.850421993737456,2851.713936585146,0.012571535150775822
2006,3. La Rioja,F,Construcción,Bienes,199.44514977218657,2851.713936585146,0.06993869448596131
