anio,geocodigo,provincia,ingresos_totales,gastos_totales,resultado_financiero,resultado_primario,resultado_sobre_ingresos,primario_sobre_ingresos,la_rioja_region
2005,AR-B,Buenos Aires,21793.544008189998,22102.7895491963,-309.2455410063012,180.8757999999978,-0.014189777527238661,0.008299512916853945,1. Resto país
2005,AR-C,CABA,6238.095328730002,5890.130686759697,347.9646419703049,486.7963106600022,0.05578059065043916,0.07803604866665413,1. Resto país
2005,AR-K,Catamarca,1208.62107894,1128.9286777996892,79.69240114031072,120.90931780999992,0.06593663020522822,0.10003906097355288,2. NOA-Resto
2005,AR-H,Chaco,2523.17311689,2439.491550042756,83.68156684724408,186.29648418969992,0.03316521022163865,0.07383420619958266,1. Resto país
2005,AR-U,Chubut,2108.5626918099997,2105.83253154437,2.73016026562982,35.895744772182645,0.001294796818816062,0.01702379773274352,1. Resto país
2005,AR-W,Corrientes,1914.7753900599998,1983.401395722568,-68.6260056625681,-12.87484994000053,-0.035840237982386905,-0.006723947888006381,1. Resto país
2005,AR-X,Córdoba,6320.9079842266665,6186.186125918484,134.72185830818216,316.63046263666706,0.021313687629114373,0.050092560028842964,1. Resto país
2005,AR-E,Entre Ríos,2925.8042755085185,2762.8626226872548,162.9416528212637,233.85906700851814,0.05569123477780948,0.07992983979349484,1. Resto país
2005,AR-P,Formosa,1596.8843175099998,1591.0906102496526,5.793707260347219,76.89678098333336,0.003628132105011381,0.04815425897803134,1. Resto país
2005,AR-Y,Jujuy,1395.0386344566664,1362.136809142678,32.90182531398841,99.64241281932094,0.02358488467726406,0.07142627476989498,2. NOA-Resto
2005,AR-L,La Pampa,1442.37344161032,1175.998898140384,266.37454346993604,277.2812960659869,0.18467793137715116,0.19223960180272012,1. Resto país
2005,AR-F,La Rioja,1142.0514134700002,1172.1246014968865,-30.073188026886328,-3.523810739999714,-0.026332604357550058,-0.0030855097226253543,3. La Rioja
2005,AR-M,Mendoza,2986.7001862999996,2798.3047192354716,188.39546706452802,293.7198919999998,0.06307813148728435,0.09834261013117206,1. Resto país
2005,AR-N,Misiones,1957.5331242700001,1924.1139626989614,33.419161571038785,103.41152711000002,0.017072079729686006,0.05282747240793898,1. Resto país
2005,AR-Q,Neuquén,3174.5213802,3101.015660133005,73.50572006699485,130.64338664399997,0.02315489841254869,0.04115372712839289,1. Resto país
2005,AR-R,Río Negro,1557.08283895,1554.8494630233538,2.233375926646204,84.4695612799601,0.001434333402680267,0.054248598190781636,1. Resto país
2005,AR-A,Salta,1859.78020596,1817.3217943865266,42.45841157347354,80.26244242000024,0.022829800767535824,0.04315695057017212,2. NOA-Resto
2005,AR-J,San Juan,1494.0245452200002,1294.194256744037,199.83028847596324,244.45057104000026,0.1337530157153727,0.1636188453677674,1. Resto país
2005,AR-D,San Luis,1127.80035207,1128.9997011798,-1.199349109800096,4.411776322999904,-0.00106344097836002,0.003911841590492849,1. Resto país
2005,AR-Z,Santa Cruz,1955.5351250499998,1944.0796625024223,11.455462547577554,21.62273437777737,0.0058579681851967024,0.011057195598685302,1. Resto país
2005,AR-S,Santa Fe,6015.8340709700005,5424.736459212536,591.0976117574646,684.8058061100013,0.09825696732725131,0.11383389203079904,1. Resto país
2005,AR-G,Santiago del Estero,1819.682031927555,1652.205944589,167.4760873385551,177.23050779755508,0.09203590759268575,0.09739641579568609,2. NOA-Resto
2005,AR-V,Tierra del Fuego,997.433040068361,935.9156661013803,61.5173739669807,72.43163785836109,0.06167569299966691,0.0726180454714001,1. Resto país
2005,AR-T,Tucumán,2586.3682237400003,2508.0791126559097,78.28911108409056,172.9953116000002,0.030269901387390663,0.06688734806285297,2. NOA-Resto
2006,AR-B,Buenos Aires,26731.5029332,27569.233694369344,-837.7307611693432,-79.38712473389819,-0.031338707863256654,-0.002969796533037465,1. Resto país
2006,AR-C,CABA,7610.6221339,8221.831383356457,-611.2092494564567,-434.5284160800009,-0.08031002442414621,-0.05709499281858715,1. Resto país
2006,AR-K,Catamarca,1615.54635338,1585.4031167075266,30.14323667247345,65.89197200000012,0.018658230764724656,0.040786184724531625,2. NOA-Resto
2006,AR-H,Chaco,3044.6324311804437,2960.2154947974554,84.4169363829883,179.7526664090148,0.02772647874287365,0.05903920110951533,1. Resto país
2006,AR-U,Chubut,2765.292173022381,2504.800373744609,260.4917992777723,292.72269014238145,0.09420046164346628,0.10585597174798508,1. Resto país
2006,AR-W,Corrientes,2294.348859,2192.430455683105,101.91840331689536,155.35135900000003,0.04442149367002403,0.06771043487593707,1. Resto país
2006,AR-X,Córdoba,7863.0855403,7847.125051689232,15.960488610767243,229.80160381000047,0.002029799692368386,0.02922537248669342,1. Resto país
2006,AR-E,Entre Ríos,3620.6295546079473,3552.872961469363,67.75659313858432,139.2381418200004,0.018714036362088196,0.03845688704683778,1. Resto país
2006,AR-P,Formosa,1991.6425668200004,1897.074028448557,94.56853837144331,157.72990880513376,0.04748268587291656,0.07919589158860803,1. Resto país
2006,AR-Y,Jujuy,1720.74268229,1688.4420538370564,32.300628452943556,88.21562872358973,0.018771329836461785,0.05126601997585749,2. NOA-Resto
2006,AR-L,La Pampa,1757.1527957098144,1413.619432209885,343.53336349992946,354.7036889284709,0.19550568643699348,0.2018627462531998,1. Resto país
2006,AR-F,La Rioja,1427.82917487,1348.1634957479573,79.66567912204277,97.76424241000022,0.05579496519903798,0.06847054544805851,3. La Rioja
2006,AR-M,Mendoza,4017.94706785,3741.579267867238,276.36779998276234,436.9721110200003,0.0687833351997458,0.1087550691039401,1. Resto país
2006,AR-N,Misiones,2435.46988757661,2372.010647995153,63.45923958145704,127.64564513994347,0.026056261218898306,0.052411095612828945,1. Resto país
2006,AR-Q,Neuquén,3700.7931930300006,3614.206502801366,86.58669022863478,137.66337980777817,0.023396792447551624,0.03719834441628638,1. Resto país
2006,AR-R,Río Negro,1988.66720339,1960.3654660001043,28.301737389895607,102.93354205666647,0.014231510099654074,0.05176006416820263,1. Resto país
2006,AR-A,Salta,2355.286942230001,2229.764831463826,125.52211076617505,176.94514857000078,0.05329376583191596,0.0751267904548683,2. NOA-Resto
2006,AR-J,San Juan,2065.1477971975746,1942.2851405654146,122.86265663216,164.2548847675746,0.05949339645273128,0.07953662444425046,1. Resto país
2006,AR-D,San Luis,1417.4636017,1424.758336671131,-7.294734971130993,3.515456247854079,-0.005146329656988887,0.0024801033646563502,1. Resto país
