tipo,provincia,ANO4,TRIMESTRE,rama,empleados_publicos,empleados_publicos_tot,share,n_obs
provincia,Chaco,2025,3,Adm. pública y defensa,40848,93560,0.4365968362548098,83
provincia,Chaco,2025,3,Enseñanza,35950,93560,0.38424540401881147,71
provincia,Chaco,2025,3,Salud y asistencia social,10429,93560,0.11146857631466439,24
provincia,Chaco,2025,3,"Electricidad, gas y agua",1158,93560,0.012377084224027363,3
provincia,Chaco,2025,3,Transporte,540,93560,0.005771697306541257,1
provincia,Chaco,2025,3,Finanzas y seguros,1622,93560,0.017336468576314663,4
provincia,Chaco,2025,3,Construcción,346,93560,0.0036981616075245833,1
provincia,Chaco,2025,3,Servicios de seguridad / edificios,119,93560,0.001271911073108166,1
provincia,Chaco,2025,3,Otros,2548,93560,0.027233860624198376,8
provincia,Chubut,2025,3,Adm. pública y defensa,31131,59925,0.5194993742177723,129
provincia,Chubut,2025,3,Enseñanza,17517,59925,0.2923153942428035,67
provincia,Chubut,2025,3,Salud y asistencia social,5350,59925,0.08927826449728828,23
provincia,Chubut,2025,3,Transporte,1197,59925,0.01997496871088861,4
provincia,Chubut,2025,3,Finanzas y seguros,868,59925,0.014484772632457238,3
provincia,Chubut,2025,3,Construcción,941,59925,0.01570296203587818,5
provincia,Chubut,2025,3,Servicios de seguridad / edificios,502,59925,0.008377138089278265,3
provincia,Chubut,2025,3,Otros,2419,59925,0.04036712557363371,11
provincia,Corrientes,2025,3,Adm. pública y defensa,37421,82690,0.45254565243681216,76
provincia,Corrientes,2025,3,Enseñanza,29037,82690,0.35115491595114284,59
provincia,Corrientes,2025,3,Salud y asistencia social,9992,82690,0.12083686056355061,25
provincia,Corrientes,2025,3,Finanzas y seguros,85,82690,0.0010279356633208368,1
provincia,Corrientes,2025,3,Construcción,1183,82690,0.01430644576127706,3
provincia,Corrientes,2025,3,Servicios de seguridad / edificios,243,82690,0.0029386866610230985,1
provincia,Corrientes,2025,3,Otros,4729,82690,0.05718950296287338,6
provincia,Córdoba,2025,3,Adm. pública y defensa,86505,197443,0.4381264466200372,101
provincia,Córdoba,2025,3,Enseñanza,69202,197443,0.35049102779029895,92
provincia,Córdoba,2025,3,Salud y asistencia social,22335,197443,0.11312125524835015,35
provincia,Córdoba,2025,3,"Electricidad, gas y agua",376,197443,0.001904347077384359,1
provincia,Córdoba,2025,3,Transporte,3731,197443,0.018896592940747456,5
provincia,Córdoba,2025,3,Finanzas y seguros,3350,197443,0.016966922099036177,4
provincia,Córdoba,2025,3,Construcción,1779,197443,0.009010195347518018,5
provincia,Córdoba,2025,3,Servicios de seguridad / edificios,664,197443,0.0033629959026149317,2
provincia,Córdoba,2025,3,Otros,9501,197443,0.04812021697401275,17
provincia,Entre Ríos,2025,3,Adm. pública y defensa,40273,107068,0.37614413270071356,137
provincia,Entre Ríos,2025,3,Enseñanza,35410,107068,0.3307243994470804,114
provincia,Entre Ríos,2025,3,Salud y asistencia social,14612,107068,0.13647401651287033,61
provincia,Entre Ríos,2025,3,"Electricidad, gas y agua",1247,107068,0.011646803900325027,5
provincia,Entre Ríos,2025,3,Transporte,3411,107068,0.031858258303134455,11
provincia,Entre Ríos,2025,3,Finanzas y seguros,661,107068,0.0061736466544625845,4
provincia,Entre Ríos,2025,3,Construcción,1788,107068,0.016699667501027384,7
provincia,Entre Ríos,2025,3,Servicios de seguridad / edificios,2471,107068,0.023078791048679343,5
provincia,Entre Ríos,2025,3,Otros,7195,107068,0.06720028393170695,17
provincia,Formosa,2025,3,Adm. pública y defensa,21063,43947,0.47928186224315655,89
provincia,Formosa,2025,3,Enseñanza,10654,43947,0.24242837963911074,51
provincia,Formosa,2025,3,Salud y asistencia social,3503,43947,0.07970965026054111,18
provincia,Formosa,2025,3,Transporte,1123,43947,0.025553507634195737,4
provincia,Formosa,2025,3,Finanzas y seguros,288,43947,0.006553348351423305,2
provincia,Formosa,2025,3,Construcción,1060,43947,0.024119962682321888,3
provincia,Formosa,2025,3,Servicios de seguridad / edificios,4239,43947,0.09645709604751178,8
provincia,Formosa,2025,3,Otros,1683,43947,0.03829612942862994,7
provincia,Formosa,2025,3,Sin clasificar / NsNr,334,43947,0.007600063713108972,1
provincia,Jujuy,2025,3,Adm. pública y defensa,34138,74194,0.46011806884653744,168
provincia,Jujuy,2025,3,Enseñanza,24833,74194,0.3347036148475618,126
provincia,Jujuy,2025,3,Salud y asistencia social,11841,74194,0.15959511550799255,59
provincia,Jujuy,2025,3,Transporte,356,74194,0.004798231662937704,2
provincia,Jujuy,2025,3,Finanzas y seguros,931,74194,0.012548184489311805,4
provincia,Jujuy,2025,3,Construcción,805,74194,0.01084993395692374,3
provincia,Jujuy,2025,3,Otros,1043,74194,0.014057740518101195,6
provincia,Jujuy,2025,3,Sin clasificar / NsNr,247,74194,0.003329110170633744,1
provincia,La Pampa,2025,3,Adm. pública y defensa,14628,37351,0.391636100773741,103
provincia,La Pampa,2025,3,Enseñanza,13972,37351,0.374072983320393,87
provincia,La Pampa,2025,3,Salud y asistencia social,4667,37351,0.1249498005408155,28
provincia,La Pampa,2025,3,"Electricidad, gas y agua",372,37351,0.009959572702203422,2
provincia,La Pampa,2025,3,Transporte,162,37351,0.004337233273540199,1
provincia,La Pampa,2025,3,Finanzas y seguros,60,37351,0.0016063826939037777,1
provincia,La Pampa,2025,3,Construcción,623,37351,0.016679606971700893,5
provincia,La Pampa,2025,3,Servicios de seguridad / edificios,588,37351,0.015742550400257023,5
provincia,La Pampa,2025,3,Otros,2279,37351,0.06101576932344516,13
provincia,La Rioja,2025,3,Adm. pública y defensa,35325,73064,0.48348023650498195,242
provincia,La Rioja,2025,3,Enseñanza,16904,73064,0.23135880871564657,140
provincia,La Rioja,2025,3,Salud y asistencia social,7803,73064,0.10679678090441257,49
provincia,La Rioja,2025,3,"Electricidad, gas y agua",532,73064,0.007281287638234972,5
provincia,La Rioja,2025,3,Transporte,404,73064,0.005529398883170919,2
provincia,La Rioja,2025,3,Finanzas y seguros,138,73064,0.0018887550640534327,2
provincia,La Rioja,2025,3,Construcción,2139,73064,0.029275703492828205,11
provincia,La Rioja,2025,3,Servicios de seguridad / edificios,3173,73064,0.043427679842330015,21
provincia,La Rioja,2025,3,Otros,5429,73064,0.07430471915033396,35
provincia,La Rioja,2025,3,Sin clasificar / NsNr,1217,73064,0.016656629804007447,8
provincia,Mendoza,2025,3,Adm. pública y defensa,51229,143382,0.35729031538128914,75
provincia,Mendoza,2025,3,Enseñanza,59383,143382,0.41415937844359824,90
provincia,Mendoza,2025,3,Salud y asistencia social,20790,143382,0.1449972799933046,32
provincia,Mendoza,2025,3,"Electricidad, gas y agua",1612,143382,0.011242694340991198,2
provincia,Mendoza,2025,3,Transporte,475,143382,0.0033128286674756944,1
provincia,Mendoza,2025,3,Construcción,1464,143382,0.010210486671967193,2
provincia,Mendoza,2025,3,Otros,8429,143382,0.058787016501373954,15
provincia,Misiones,2025,3,Adm. pública y defensa,49080,87642,0.5600054768261792,106
provincia,Misiones,2025,3,Enseñanza,28795,87642,0.3285525204810479,78
provincia,Misiones,2025,3,Salud y asistencia social,8168,87642,0.09319732548321581,22
provincia,Misiones,2025,3,"Electricidad, gas y agua",307,87642,0.0035028867437986353,1
provincia,Misiones,2025,3,Construcción,190,87642,0.002167910362611533,1
provincia,Misiones,2025,3,Otros,1102,87642,0.012573880103146893,4
provincia,Neuquén,2025,3,Adm. pública y defensa,32783,79224,0.4138013733212158,136
provincia,Neuquén,2025,3,Enseñanza,25169,79224,0.31769413309098254,99
provincia,Neuquén,2025,3,Salud y asistencia social,11133,79224,0.14052559830354439,48
provincia,Neuquén,2025,3,"Electricidad, gas y agua",987,79224,0.012458345955770979,3
provincia,Neuquén,2025,3,Transporte,1385,79224,0.017482076138543877,5
provincia,Neuquén,2025,3,Finanzas y seguros,473,79224,0.00597041300615975,2
provincia,Neuquén,2025,3,Construcción,645,79224,0.008141472281126931,3
provincia,Neuquén,2025,3,Otros,6185,79224,0.07806977683530243,25
provincia,Neuquén,2025,3,Sin clasificar / NsNr,464,79224,0.005856811067353327,1
provincia,Río Negro,2025,3,Adm. pública y defensa,37401,74598,0.5013673288828119,122
provincia,Río Negro,2025,3,Enseñanza,27867,74598,0.3735622938952787,87
provincia,Río Negro,2025,3,Salud y asistencia social,5854,74598,0.07847395372530094,20
provincia,Río Negro,2025,3,"Electricidad, gas y agua",462,74598,0.006193195528030242,2
provincia,Río Negro,2025,3,Finanzas y seguros,132,74598,0.0017694844365800692,1
provincia,Río Negro,2025,3,Construcción,165,74598,0.0022118555457250866,1
provincia,Río Negro,2025,3,Otros,2717,74598,0.03642188798627309,12
provincia,Salta,2025,3,Adm. pública y defensa,37718,84162,0.4481595019129774,117
provincia,Salta,2025,3,Enseñanza,30347,84162,0.36057840830778737,84
provincia,Salta,2025,3,Salud y asistencia social,12165,84162,0.1445426677122692,35
provincia,Salta,2025,3,Transporte,2156,84162,0.025617261947197073,5
provincia,Salta,2025,3,Finanzas y seguros,362,84162,0.004301228582970937,1
provincia,Salta,2025,3,Construcción,245,84162,0.0029110524939996675,1
provincia,Salta,2025,3,Servicios de seguridad / edificios,384,84162,0.004562629215085193,1
provincia,Salta,2025,3,Otros,785,84162,0.00932724982771322,2
provincia,San Juan,2025,3,Adm. pública y defensa,23854,50828,0.46930825529235853,77
provincia,San Juan,2025,3,Enseñanza,12828,50828,0.25238057763437477,58
provincia,San Juan,2025,3,Salud y asistencia social,7852,50828,0.15448178169512866,24
provincia,San Juan,2025,3,"Electricidad, gas y agua",1730,50828,0.03403635791296136,5
provincia,San Juan,2025,3,Transporte,1147,50828,0.022566302038246635,3
provincia,San Juan,2025,3,Finanzas y seguros,219,50828,0.0043086487762650505,1
provincia,San Juan,2025,3,Otros,3198,50828,0.06291807665066498,11
provincia,San Luis,2025,3,Adm. pública y defensa,22748,58036,0.39196360879454134,123
provincia,San Luis,2025,3,Enseñanza,18673,58036,0.32174856985319455,96
provincia,San Luis,2025,3,Salud y asistencia social,10625,58036,0.1830760217795851,44
provincia,San Luis,2025,3,"Electricidad, gas y agua",723,58036,0.012457784823213178,3
provincia,San Luis,2025,3,Transporte,807,58036,0.013905162313047075,6
provincia,San Luis,2025,3,Finanzas y seguros,268,58036,0.00461782341994624,1
provincia,San Luis,2025,3,Construcción,1063,58036,0.0183162175201599,5
provincia,San Luis,2025,3,Servicios de seguridad / edificios,457,58036,0.007874422772072507,2
provincia,San Luis,2025,3,Otros,2672,58036,0.04604038872424013,15
provincia,Santa Cruz,2025,3,Adm. pública y defensa,30454,55851,0.5452722422158959,132
provincia,Santa Cruz,2025,3,Enseñanza,13977,55851,0.25025514314873504,62
provincia,Santa Cruz,2025,3,Salud y asistencia social,4680,55851,0.08379438147929312,21
provincia,Santa Cruz,2025,3,"Electricidad, gas y agua",366,55851,0.006553150346457539,3
provincia,Santa Cruz,2025,3,Transporte,532,55851,0.009525344219441012,2
provincia,Santa Cruz,2025,3,Finanzas y seguros,1064,55851,0.019050688438882024,2
provincia,Santa Cruz,2025,3,Construcción,588,55851,0.01052801203201375,4
provincia,Santa Cruz,2025,3,Servicios de seguridad / edificios,555,55851,0.00993715421389053,4
provincia,Santa Cruz,2025,3,Otros,3635,55851,0.06508388390539113,15
provincia,Santa Fe,2025,3,Adm. pública y defensa,98793,220701,0.44763277012791064,129
provincia,Santa Fe,2025,3,Enseñanza,68242,220701,0.3092056673961604,105
provincia,Santa Fe,2025,3,Salud y asistencia social,28910,220701,0.13099170370773128,35
provincia,Santa Fe,2025,3,"Electricidad, gas y agua",2129,220701,0.009646535357791763,4
provincia,Santa Fe,2025,3,Transporte,3794,220701,0.017190678791668367,7
provincia,Santa Fe,2025,3,Finanzas y seguros,1845,220701,0.008359726507809207,2
provincia,Santa Fe,2025,3,Construcción,3422,220701,0.015505140438874314,5
provincia,Santa Fe,2025,3,Servicios de seguridad / edificios,315,220701,0.0014272703793820599,2
provincia,Santa Fe,2025,3,Otros,13251,220701,0.060040507292671984,16
provincia,Santiago del Estero,2025,3,Adm. pública y defensa,24918,58806,0.4237322722171207,91
provincia,Santiago del Estero,2025,3,Enseñanza,21254,58806,0.36142570486004827,76
provincia,Santiago del Estero,2025,3,Salud y asistencia social,6313,58806,0.10735299119137504,27
provincia,Santiago del Estero,2025,3,"Electricidad, gas y agua",766,58806,0.0130258817127504,3
provincia,Santiago del Estero,2025,3,Transporte,538,58806,0.009148726320443492,3
provincia,Santiago del Estero,2025,3,Construcción,1029,58806,0.017498214467911437,3
provincia,Santiago del Estero,2025,3,Servicios de seguridad / edificios,1341,58806,0.022803795531068257,4
provincia,Santiago del Estero,2025,3,Otros,2471,58806,0.04201952181750161,11
provincia,Santiago del Estero,2025,3,Sin clasificar / NsNr,176,58806,0.0029928918817807705,1
provincia,Tierra del Fuego,2025,3,Adm. pública y defensa,10390,27000,0.38481481481481483,54
provincia,Tierra del Fuego,2025,3,Enseñanza,9341,27000,0.34596296296296297,55
provincia,Tierra del Fuego,2025,3,Salud y asistencia social,3103,27000,0.11492592592592593,23
provincia,Tierra del Fuego,2025,3,"Electricidad, gas y agua",713,27000,0.026407407407407407,3
provincia,Tierra del Fuego,2025,3,Transporte,686,27000,0.025407407407407406,2
provincia,Tierra del Fuego,2025,3,Finanzas y seguros,137,27000,0.005074074074074074,1
provincia,Tierra del Fuego,2025,3,Construcción,991,27000,0.036703703703703704,4
provincia,Tierra del Fuego,2025,3,Otros,1556,27000,0.05762962962962963,9
provincia,Tierra del Fuego,2025,3,Sin clasificar / NsNr,83,27000,0.003074074074074074,1
provincia,Tucumán,2025,3,Adm. pública y defensa,46158,96072,0.4804521608793405,127
provincia,Tucumán,2025,3,Enseñanza,21306,96072,0.22177117162128404,57
provincia,Tucumán,2025,3,Salud y asistencia social,18891,96072,0.19663377466899826,49
provincia,Tucumán,2025,3,Transporte,412,96072,0.004288450328919976,1
provincia,Tucumán,2025,3,Finanzas y seguros,246,96072,0.0025605795653260055,1
provincia,Tucumán,2025,3,Construcción,695,96072,0.007234157715047048,3
provincia,Tucumán,2025,3,Servicios de seguridad / edificios,6084,96072,0.0633275043717212,18
provincia,Tucumán,2025,3,Otros,2280,96072,0.023732200849362978,5
