fecha,la_rioja_region,formales,asalariados,tasa_inf_aportes
2023-Q3,3. La Rioja,55387,88004,37.063088041452666
2023-Q4,1. Resto país,6397986,9040058,29.226272663294864
2023-Q4,2. NOA-Resto,484087,839351,42.3260352343656
2023-Q4,3. La Rioja,54713,84235,35.047189410577545
2024-Q1,1. Resto país,6279602,8891654,29.376446721836004
2024-Q1,2. NOA-Resto,478657,814974,41.2672060703777
2024-Q1,3. La Rioja,58009,84971,31.730825811159107
2024-Q2,1. Resto país,6245905,8921498,29.99040071521621
2024-Q2,2. NOA-Resto,482074,806750,40.24493337465138
2024-Q2,3. La Rioja,54282,80274,32.37910157709844
2024-Q3,1. Resto país,6229331,8886268,29.8993570754337
2024-Q3,2. NOA-Resto,461047,796162,42.09130805037166
2024-Q3,3. La Rioja,55322,84168,34.27193232582454
2024-Q4,1. Resto país,6339529,8942610,29.108738947577933
2024-Q4,2. NOA-Resto,455692,803721,43.30221556983083
2024-Q4,3. La Rioja,60206,86912,30.727632547864502
2025-Q1,1. Resto país,6196030,8730809,29.032578767901114
2025-Q1,2. NOA-Resto,474818,816720,41.86281712214712
2025-Q1,3. La Rioja,56268,85934,34.521842344124565
2025-Q2,1. Resto país,6048871,8747516,30.850415134993753
2025-Q2,2. NOA-Resto,462374,797910,42.051860485518425
2025-Q2,3. La Rioja,49558,83540,40.67751975101748
2025-Q3,1. Resto país,6194236,8902991,30.42522451162762
2025-Q3,2. NOA-Resto,438030,791715,44.673272579147806
2025-Q3,3. La Rioja,52918,82343,35.734670828121395
2025-Q4,1. Resto país,6170146,8768369,29.631770743224877
2025-Q4,2. NOA-Resto,461293,798498,42.22991165914004
2025-Q4,3. La Rioja,59288,91657,35.31536052892851
