jurisdiccion,subrubro,tipo_fila,fecha,anio,exportaciones_millones_usd,provisorio,la_rioja_region
Jujuy,"Papel, cartón, impresos y publicaciones",subrubro,1993-01-01,1993,3.298,FALSE,2. NOA-Resto
Jujuy,Resto de productos,subrubro,1993-01-01,1993,13.006,FALSE,2. NOA-Resto
Jujuy,Tabaco sin elaborar,subrubro,1993-01-01,1993,35.873,FALSE,2. NOA-Resto
Jujuy,Total,total,1993-01-01,1993,70.328,FALSE,2. NOA-Resto
La Pampa,Carnes,subrubro,1993-01-01,1993,6.96,FALSE,1. Resto país
La Pampa,Cereales,subrubro,1993-01-01,1993,72.848,FALSE,1. Resto país
La Pampa,Miel,subrubro,1993-01-01,1993,6.019,FALSE,1. Resto país
La Pampa,Petróleo crudo,subrubro,1993-01-01,1993,7.91,FALSE,1. Resto país
La Pampa,Resto de productos,subrubro,1993-01-01,1993,4.08,FALSE,1. Resto país
La Pampa,Semillas y frutos oleaginosos,subrubro,1993-01-01,1993,7.515,FALSE,1. Resto país
La Pampa,Total,total,1993-01-01,1993,105.333,FALSE,1. Resto país
La Rioja,"Bebidas, líquidos alcohólicos y vinagre",subrubro,1993-01-01,1993,0,FALSE,3. La Rioja
La Rioja,"Papel, cartón, impresos y publicaciones",subrubro,1993-01-01,1993,0,FALSE,3. La Rioja
La Rioja,Pieles y cueros,subrubro,1993-01-01,1993,37.306,FALSE,3. La Rioja
La Rioja,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,7.62,FALSE,3. La Rioja
La Rioja,Resto de productos,subrubro,1993-01-01,1993,0.982,FALSE,3. La Rioja
La Rioja,Textiles y confecciones,subrubro,1993-01-01,1993,0.508,FALSE,3. La Rioja
La Rioja,Total,total,1993-01-01,1993,46.612,FALSE,3. La Rioja
Mendoza,"Bebidas, líquidos alcohólicos y vinagre",subrubro,1993-01-01,1993,25.786,FALSE,1. Resto país
Mendoza,Frutas frescas,subrubro,1993-01-01,1993,28.814,FALSE,1. Resto país
Mendoza,Hortalizas y legumbres sin elaborar,subrubro,1993-01-01,1993,42.689,FALSE,1. Resto país
Mendoza,Petróleo crudo,subrubro,1993-01-01,1993,33.224,FALSE,1. Resto país
Mendoza,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,35.85,FALSE,1. Resto país
Mendoza,Resto de productos,subrubro,1993-01-01,1993,305.483,FALSE,1. Resto país
Mendoza,Total,total,1993-01-01,1993,471.845,FALSE,1. Resto país
Misiones,"Café, té, yerba mate y especias",subrubro,1993-01-01,1993,54.788,FALSE,1. Resto país
Misiones,Frutas frescas,subrubro,1993-01-01,1993,2.746,FALSE,1. Resto país
Misiones,Grasas y aceites,subrubro,1993-01-01,1993,4.348,FALSE,1. Resto país
Misiones,"Papel, cartón, impresos y publicaciones",subrubro,1993-01-01,1993,42.527,FALSE,1. Resto país
Misiones,Resto de productos,subrubro,1993-01-01,1993,3.42,FALSE,1. Resto país
Misiones,Tabaco sin elaborar,subrubro,1993-01-01,1993,30.63,FALSE,1. Resto país
Misiones,Total,total,1993-01-01,1993,138.459,FALSE,1. Resto país
Neuquén,Carburantes,subrubro,1993-01-01,1993,22.341,FALSE,1. Resto país
Neuquén,Frutas frescas,subrubro,1993-01-01,1993,21.352,FALSE,1. Resto país
Neuquén,"Manufacturas de piedra, yeso, etc, productos cerámicos, vidrio y sus manufacturas.",subrubro,1993-01-01,1993,9.371,FALSE,1. Resto país
Neuquén,Petróleo crudo,subrubro,1993-01-01,1993,232.566,FALSE,1. Resto país
Neuquén,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,24.743,FALSE,1. Resto país
Neuquén,Resto de productos,subrubro,1993-01-01,1993,8.798,FALSE,1. Resto país
Neuquén,Total,total,1993-01-01,1993,319.171,FALSE,1. Resto país
Río Negro,Frutas frescas,subrubro,1993-01-01,1993,104.61,FALSE,1. Resto país
Río Negro,Lanas sucias,subrubro,1993-01-01,1993,6.389,FALSE,1. Resto país
Río Negro,Pescados y mariscos sin elaborar,subrubro,1993-01-01,1993,2.296,FALSE,1. Resto país
Río Negro,Petróleo crudo,subrubro,1993-01-01,1993,39.025,FALSE,1. Resto país
Río Negro,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,40.638,FALSE,1. Resto país
Río Negro,Resto de productos,subrubro,1993-01-01,1993,19.832,FALSE,1. Resto país
Río Negro,Total,total,1993-01-01,1993,212.789,FALSE,1. Resto país
Salta,Carburantes,subrubro,1993-01-01,1993,7.924,FALSE,2. NOA-Resto
Salta,Cereales,subrubro,1993-01-01,1993,6.743,FALSE,2. NOA-Resto
Salta,Hortalizas y legumbres sin elaborar,subrubro,1993-01-01,1993,66.946,FALSE,2. NOA-Resto
Salta,Pieles y cueros,subrubro,1993-01-01,1993,0,FALSE,2. NOA-Resto
Salta,Resto de productos,subrubro,1993-01-01,1993,48.6,FALSE,2. NOA-Resto
Salta,Tabaco sin elaborar,subrubro,1993-01-01,1993,45.968,FALSE,2. NOA-Resto
Salta,Total,total,1993-01-01,1993,176.23,FALSE,2. NOA-Resto
San Juan,"Bebidas, líquidos alcohólicos y vinagre",subrubro,1993-01-01,1993,6.444,FALSE,1. Resto país
San Juan,Frutas secas o procesadas,subrubro,1993-01-01,1993,3.599,FALSE,1. Resto país
San Juan,Hortalizas y legumbres sin elaborar,subrubro,1993-01-01,1993,14.405,FALSE,1. Resto país
San Juan,Metales comunes y sus manufacturas,subrubro,1993-01-01,1993,1.762,FALSE,1. Resto país
San Juan,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,3.404,FALSE,1. Resto país
San Juan,Resto de productos,subrubro,1993-01-01,1993,12.262,FALSE,1. Resto país
San Juan,Total,total,1993-01-01,1993,41.875,FALSE,1. Resto país
San Luis,Carnes,subrubro,1993-01-01,1993,21.115,FALSE,1. Resto país
San Luis,"Máquinas y aparatos, material eléctrico",subrubro,1993-01-01,1993,2.87,FALSE,1. Resto país
San Luis,"Papel, cartón, impresos y publicaciones",subrubro,1993-01-01,1993,3.145,FALSE,1. Resto país
San Luis,Pieles y cueros,subrubro,1993-01-01,1993,18.245,FALSE,1. Resto país
San Luis,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,8.342,FALSE,1. Resto país
San Luis,Resto de productos,subrubro,1993-01-01,1993,34.47,FALSE,1. Resto país
San Luis,Total,total,1993-01-01,1993,88.187,FALSE,1. Resto país
Santa Cruz,Gas de petróleo y otros hidrocarburos gaseosos,subrubro,1993-01-01,1993,0,FALSE,1. Resto país
Santa Cruz,Lanas sucias,subrubro,1993-01-01,1993,8.16,FALSE,1. Resto país
Santa Cruz,Pescados y mariscos elaborados,subrubro,1993-01-01,1993,21.074,FALSE,1. Resto país
Santa Cruz,Pescados y mariscos sin elaborar,subrubro,1993-01-01,1993,247.486,FALSE,1. Resto país
Santa Cruz,Petróleo crudo,subrubro,1993-01-01,1993,36.915,FALSE,1. Resto país
Santa Cruz,Resto de productos,subrubro,1993-01-01,1993,14.473,FALSE,1. Resto país
Santa Cruz,Total,total,1993-01-01,1993,328.389,FALSE,1. Resto país
Santa Fe,Carnes,subrubro,1993-01-01,1993,242.172,FALSE,1. Resto país
Santa Fe,Cereales,subrubro,1993-01-01,1993,259.261,FALSE,1. Resto país
Santa Fe,Grasas y aceites,subrubro,1993-01-01,1993,521.184,FALSE,1. Resto país
Santa Fe,Residuos y desperdicios de la industria alimenticia,subrubro,1993-01-01,1993,914.589,FALSE,1. Resto país
Santa Fe,Resto de productos,subrubro,1993-01-01,1993,342.253,FALSE,1. Resto país
Santa Fe,Semillas y frutos oleaginosos,subrubro,1993-01-01,1993,222.41,FALSE,1. Resto país
Santa Fe,Total,total,1993-01-01,1993,2501.869,FALSE,1. Resto país
Santiago del Estero,Calzado y sus componentes,subrubro,1993-01-01,1993,1.299,FALSE,2. NOA-Resto
Santiago del Estero,Cereales,subrubro,1993-01-01,1993,13.464,FALSE,2. NOA-Resto
Santiago del Estero,Fibras de algodón,subrubro,1993-01-01,1993,2.738,FALSE,2. NOA-Resto
Santiago del Estero,Hortalizas y legumbres sin elaborar,subrubro,1993-01-01,1993,11.155,FALSE,2. NOA-Resto
Santiago del Estero,Resto de productos,subrubro,1993-01-01,1993,1.742,FALSE,2. NOA-Resto
Santiago del Estero,Semillas y frutos oleaginosos,subrubro,1993-01-01,1993,7.953,FALSE,2. NOA-Resto
Santiago del Estero,Total,total,1993-01-01,1993,38.351,FALSE,2. NOA-Resto
Tierra del Fuego,Lanas elaboradas,subrubro,1993-01-01,1993,NA,FALSE,1. Resto país
Tierra del Fuego,"Máquinas y aparatos, material eléctrico",subrubro,1993-01-01,1993,4.417,FALSE,1. Resto país
Tierra del Fuego,Pescados y mariscos elaborados,subrubro,1993-01-01,1993,62.463,FALSE,1. Resto país
Tierra del Fuego,Pescados y mariscos sin elaborar,subrubro,1993-01-01,1993,3.732,FALSE,1. Resto país
Tierra del Fuego,Petróleo crudo,subrubro,1993-01-01,1993,109.691,FALSE,1. Resto país
Tierra del Fuego,Resto de productos,subrubro,1993-01-01,1993,15.262,FALSE,1. Resto país
Tierra del Fuego,Total,total,1993-01-01,1993,195.641,FALSE,1. Resto país
Tucumán,"Azúcar, cacao y artículos de confitería",subrubro,1993-01-01,1993,8.064,FALSE,2. NOA-Resto
Tucumán,Frutas frescas,subrubro,1993-01-01,1993,11.445,FALSE,2. NOA-Resto
Tucumán,Material de transporte terrestre,subrubro,1993-01-01,1993,41.646,FALSE,2. NOA-Resto
Tucumán,"Preparados de hortalizas, legumbres y frutas",subrubro,1993-01-01,1993,10.831,FALSE,2. NOA-Resto
Tucumán,Productos químicos y conexos,subrubro,1993-01-01,1993,23.296,FALSE,2. NOA-Resto
Tucumán,Resto de productos,subrubro,1993-01-01,1993,58.057,FALSE,2. NOA-Resto
Tucumán,Total,total,1993-01-01,1993,153.34,FALSE,2. NOA-Resto
Buenos Aires,Cereales,subrubro,1994-01-01,1994,622.062,FALSE,1. Resto país
Buenos Aires,Grasas y aceites,subrubro,1994-01-01,1994,509.482,FALSE,1. Resto país
Buenos Aires,Material de transporte terrestre,subrubro,1994-01-01,1994,468.626,FALSE,1. Resto país
Buenos Aires,Metales comunes y sus manufacturas,subrubro,1994-01-01,1994,504.118,FALSE,1. Resto país
Buenos Aires,Productos químicos y conexos,subrubro,1994-01-01,1994,481.027,FALSE,1. Resto país
Buenos Aires,Resto de productos,subrubro,1994-01-01,1994,3637.876,FALSE,1. Resto país
Buenos Aires,Total,total,1994-01-01,1994,6223.191,FALSE,1. Resto país
C.A.B.A.,Carnes,subrubro,1994-01-01,1994,24.868,FALSE,1. Resto país
C.A.B.A.,"Manufacturas de cuero, marroquinería, etc.",subrubro,1994-01-01,1994,20.256,FALSE,1. Resto país
C.A.B.A.,"Máquinas y aparatos, material eléctrico",subrubro,1994-01-01,1994,87.244,FALSE,1. Resto país
C.A.B.A.,Pieles y cueros,subrubro,1994-01-01,1994,35.532,FALSE,1. Resto país
C.A.B.A.,Productos químicos y conexos,subrubro,1994-01-01,1994,17.489,FALSE,1. Resto país
C.A.B.A.,Resto de productos,subrubro,1994-01-01,1994,121.527,FALSE,1. Resto país
C.A.B.A.,Total,total,1994-01-01,1994,306.914,FALSE,1. Resto país
Catamarca,"Azúcar, cacao y artículos de confitería",subrubro,1994-01-01,1994,0,FALSE,2. NOA-Resto
Catamarca,Calzado y sus componentes,subrubro,1994-01-01,1994,1.859,FALSE,2. NOA-Resto
