"CODUSU";"TRIM";"ANO4";"AGLOMERADO";"NRO_HOGAR";"PROVINCIA";"ITF";"IPCF";"REALIZADA";"PONDIH";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4";"PONDERA"
"TQRMNOPPXHKKKUCDEJMDB00603846";3;2017;46;1;30;26000;26000;1;383;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;327
"TQRMNOSRRHKKKTCDEJMDB00604200";3;2017;46;1;30;18600;9300;1;401;3;1;2;0;1;1;1;2;0;2;0;3;"";1;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;387
"TQRMNOQYUHKMLMCDEKOHJ00604999";3;2017;58;1;78;64000;21333,33;1;243;5;2;2;0;1;1;2;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;131
"TQRMNOQSQHKLLQCDEJMDB00603907";3;2017;46;1;30;18000;18000;1;496;3;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;445
"TQRMNORSRHKMLPCDEJMDB00604110";3;2017;46;1;30;0;0;1;0;5;3;2;0;1;1;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;0;5;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;377
"TQRMNORSSHKMLPCDEJMDB00604113";3;2017;46;1;30;2400;1200;1;496;1;1;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;377
"TQSMNORSSHKMLPCDEJMDB00604118";3;2017;46;1;30;7000;7000;1;475;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;1;"";2;3;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;377
"TQTMNORSSHKMLPCDEJMDB00604107";3;2017;46;1;30;16000;8000;1;441;1;1;2;0;1;1;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";1;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;377
"TQRMNORTXHKOKQCDEJMDB00603898";3;2017;46;1;30;20700;6900;1;230;2;2;2;0;1;2;1;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;3;0;3;1;"";2;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;98;0;0;0;171
"TQRMNORUPHKOKQCDEJMDB00603911";3;2017;46;1;30;0;0;1;0;4;3;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;1;3;1;"";4;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;3;0;0;171
"TQRMNOQRVHKMLNCDEJMDB00604064";3;2017;46;1;30;0;0;1;0;3;1;2;0;1;2;1;2;0;2;0;1;"";2;"";1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;"";3;1;"";4;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;524
"TQRMNOQRXHKMLNCDEJMDB00604280";3;2017;46;1;30;47000;23500;1;614;5;1;2;0;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;524
"TQRMNOQTXHKKKRCDEJMDB00603877";3;2017;46;1;30;19000;19000;1;362;3;1;2;0;1;1;1;2;0;2;0;2;"";1;"";1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;1;0;98;0;0;0;328
"TQRMNOPUTHKOKPCDEJMDB00604125";3;2017;46;1;30;6000;1500;1;212;2;2;2;0;1;2;2;2;0;2;0;7;"";2;"";4;2;1;2;2;2;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;4;2;2;1;"";2;2;"";4;2;1;1;"";2;0;0;0;2;2;2;1;0;98;0;0;0;194
"TQRMNOQSXHKLMOCDEJMDB00603876";3;2017;46;1;30;10900;5450;1;350;2;1;2;0;1;2;2;2;0;2;0;1;"";2;"";1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;"";2;2;"";4;1;1;1;"";1;1;1;1;2;2;2;2;0;1;0;0;0;326
"TQRMNOQSYHKLMOCDEJMDB00604116";3;2017;46;1;30;20200;4040;1;280;5;2;2;0;1;1;2;2;0;2;0;1;"";2;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;5;1;4;1;"";5;1;"";4;1;1;1;"";1;1;1;1;2;2;2;2;4;1;3;0;0;326
