CODUSU;TRIM;ANO4;AGLOMERADO;NRO_HOGAR;PROVINCIA;ITF;IPCF;REALIZADA;PONDIH;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;PONDERA
TQRMNOTPSHLOKMCDEHLEH00637749;3;2019;25;1;46;36550;7310;1;132;4;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;1;4;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;138
TQRMNORYQHLMKOCDEHLEH00637634;3;2019;25;1;46;57900;14475;1;141;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;1;3;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;2;3;1;0;0;0;126
TQRMNOQPYHLMKPCDEHLEH00637744;3;2019;25;1;46;13000;13000;1;152;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;128
TQRMNOQQPHLMKPCDEHLEH00637750;3;2019;25;1;46;33500;33500;1;146;2;1;2;0;1;1;1;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;128
TQRMNOPWWHLMLOCDEGGFB00636121;3;2019;10;1;50;30000;15000;1;540;5;1;2;0;1;2;1;2;0;2;0;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;464
TQRMNOQYPHLMLOCDEGGFB00636183;3;2019;10;1;50;20000;20000;1;461;1;1;2;0;1;1;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;2;;1;1;;3;2;1;1;;1;1;1;1;2;2;2;1;0;98;0;0;0;464
TQRMNOPPWHLKMSCDEIIAD00638593;3;2019;32;1;2;70000;14000;1;1645;6;3;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;5;1;4;1;;6;1;;2;1;1;1;;1;1;1;1;2;2;2;1;2;3;0;0;0;1027
TQRMNORRVHLKMSCDEIIAD00638630;3;2019;32;1;2;121500;60750;1;1520;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;1;;3;1;;1;2;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;1027
TQRMNOPYPHLKMUCDEIIAD00638594;3;2019;32;1;2;73000;24333,33;1;1659;2;2;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;3;0;3;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;0;1;0;0;0;1079
TQRMNORPVHLLNMCDEIIAD00638608;3;2019;32;1;2;0;0;1;0;2;1;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;0;98;0;0;0;1548
